time,TravelKM
-0.00121875,178398
0.1987813,178398
0.3987812,178398
0.5987812,178398
0.7987813,178398
0.9987813,178398
1.198781,178398
1.398781,178398
1.598781,178398
1.798781,178398
1.998781,178398
2.198781,178398
2.398781,178398
2.598781,178398
2.798781,178398
2.998781,178398
3.198781,178398
3.398781,178398
3.598781,178398
3.798781,178398
3.998781,178398
4.198781,178398
4.398781,178398
4.598781,178398
4.798781,178398
4.998781,178398
5.198781,178398
5.398781,178398
5.598781,178398
5.798781,178398
5.998781,178398
6.198781,178398
6.398781,178398
6.598781,178398
6.798781,178398
6.998781,178398
7.198781,178398
7.398781,178398
7.598781,178398
7.798781,178398
7.998781,178398
8.198781,178398
8.398781,178398
8.598782,178398
8.798781,178398
8.998781,178398
9.198781,178398
9.398781,178398
9.598782,178398
9.798781,178398
9.998781,178398
10.19878,178398
10.39878,178398
10.59878,178398
10.79878,178398
10.99878,178398
11.19878,178398
11.39878,178398
11.59878,178398
11.79878,178398
11.99878,178398
12.19878,178398
12.39878,178398
12.59878,178398
12.79878,178398
12.99878,178398
13.19878,178398
13.39878,178398
13.59878,178398
13.79878,178398
13.99878,178398
14.19878,178398
14.39878,178398
14.59878,178398
14.79878,178398
14.99878,178398
15.19878,178398
15.39878,178398
15.59878,178398
15.79878,178398
15.99878,178398
16.19878,178398
16.39878,178398
16.59878,178398
16.79878,178398
16.99878,178398
17.19878,178398
17.39878,178398
17.59878,178398
17.79878,178398
17.99878,178398
18.19878,178398
18.39878,178398
18.59878,178398
18.79878,178398
18.99878,178398
19.19878,178398
19.39878,178398
19.59878,178398
19.79878,178398
19.99878,178398
20.19878,178398
20.39878,178398
20.59878,178398
20.79878,178398
20.99878,178398
21.19878,178398
21.39878,178398
21.59878,178398
21.79878,178398
21.99878,178398
22.19878,178398
22.39878,178398
22.59878,178398
22.79878,178398
22.99878,178398
23.19878,178398
23.39878,178398
23.59878,178398
23.79878,178398
23.99878,178398
24.19878,178398
24.39878,178398
24.59878,178398
24.79878,178398
24.99878,178398
25.19878,178398
25.39878,178398
25.59878,178398
25.79878,178398
25.99878,178398
26.19878,178398
26.39878,178398
26.59878,178398
26.79878,178398
26.99878,178398
27.19878,178398
27.39878,178398
27.59878,178398
27.79878,178398
27.99878,178398
28.19878,178398
28.39878,178398
28.59878,178398
28.79878,178398
28.99878,178398
29.19878,178398
29.39878,178398
29.59878,178398
29.79878,178398
29.99878,178398
30.19878,178398
30.39878,178398
30.59878,178398
30.79878,178398
30.99878,178398
31.19878,178398
31.39878,178398
31.59878,178398
31.79878,178398
31.99878,178398
32.19878,178398
32.39878,178398
32.59878,178398
32.79878,178398
32.99878,178398
33.19878,178398
33.39878,178398
33.59878,178398
33.79878,178398
33.99878,178398
34.19878,178398
34.39878,178398
34.59878,178398
34.79878,178398
34.99878,178398
35.19878,178398
35.39878,178398
35.59878,178398
35.79878,178398
35.99878,178398
36.19878,178398
36.39878,178398
36.59878,178398
36.79878,178398
36.99878,178398
37.19878,178398
37.39878,178398
37.59878,178398
37.79878,178398
37.99878,178398
38.19878,178398
38.39878,178398
38.59878,178398
38.79878,178398
38.99878,178398
39.19878,178398
39.39878,178398
39.59878,178398
39.79878,178398
39.99878,178398
40.19878,178398
40.39878,178398
40.59878,178398
40.79878,178398
40.99878,178398
41.19878,178398
41.39878,178398
41.59878,178398
41.79878,178398
41.99878,178398
42.19878,178398
42.39878,178398
42.59878,178398
42.79878,178398
42.99878,178398
43.19878,178398
43.39878,178398
43.59878,178398
43.79878,178398
43.99878,178398
44.19878,178398
44.39878,178398
44.59878,178398
44.79878,178398
44.99878,178398
45.19878,178398
45.39878,178398
45.59878,178398
45.79978,178398
45.99878,178398
46.19878,178398
46.39878,178398
46.59878,178398
46.79878,178398
46.99878,178398
47.19878,178398
47.39878,178398
47.59878,178398
47.79878,178398
47.99878,178398
48.19878,178398
48.39878,178398
48.59878,178398
48.79878,178398
48.99878,178398
49.19878,178398
49.39878,178398
49.59878,178398
49.79878,178398
49.99878,178398
50.19878,178398
50.39878,178398
50.59878,178398
50.79878,178398
50.99878,178398
51.19878,178398
51.39878,178398
51.59778,178398
51.79878,178398
51.99778,178398
52.19778,178398
52.39778,178398
52.59778,178398
52.79778,178398
52.99778,178398
53.19778,178398
53.39878,178398
53.59778,178398
53.79778,178398
53.99778,178398
54.19778,178398
54.39778,178398
54.59778,178398
54.79778,178398
54.99778,178398
55.19778,178398
55.39778,178398
55.59778,178398
55.79778,178398
55.99778,178398
56.19778,178398
56.39778,178398
56.59778,178398
56.79778,178398
56.99778,178398
57.19778,178398
57.39878,178398
57.59778,178398
57.79778,178398
57.99778,178398
58.19778,178398
58.39778,178398
58.59778,178398
58.79778,178398
58.99778,178398
59.19778,178398
59.39778,178398
59.59778,178398
59.79778,178398
59.99778,178398
60.19778,178398
60.39778,178398
60.59778,178398
60.79778,178398
60.99778,178398
61.19778,178398
61.39778,178398
61.59878,178398
61.79778,178398
61.99778,178398
62.19778,178398
62.39778,178398
62.59778,178398
62.79778,178398
62.99778,178398
63.19778,178398
63.39778,178398
63.59778,178398
63.79778,178398
63.99778,178398
64.19778,178398
64.39778,178398
64.59778,178398
64.79778,178398
64.99778,178398
65.19878,178398
65.39778,178398
65.59778,178398
65.79778,178398
65.99778,178398
66.19778,178398
66.39778,178398
66.59778,178398
66.79778,178398
66.99778,178398
67.19778,178398
67.39778,178398
67.59778,178398
67.79778,178398
67.99778,178398
68.19778,178398
68.39778,178398
68.59778,178398
68.79778,178398
68.99778,178398
69.19778,178398
69.39778,178398
69.59778,178398
69.79778,178398
69.99778,178398
70.19778,178398
70.39778,178398
70.59778,178398
70.79778,178398
70.99778,178398
71.19778,178398
71.39778,178398
71.59778,178398
71.79778,178398
71.99778,178398
72.19778,178398
72.39778,178398
72.59778,178398
72.79778,178398
72.99778,178398
73.19778,178398
73.39778,178398
73.59778,178398
73.79778,178398
73.99778,178398
74.19778,178398
74.39778,178398
74.59778,178398
74.79778,178398
74.99778,178398
75.19778,178398
75.39778,178398
75.59778,178398
75.79778,178398
75.99778,178398
76.19778,178398
76.39778,178398
76.59778,178398
76.79878,178398
76.99778,178398
77.19778,178398
77.39778,178398
77.59778,178398
77.79778,178398
77.99778,178398
78.19778,178398
78.39778,178398
78.59778,178398
78.79778,178398
78.99778,178398
79.19778,178398
79.39778,178398
79.59778,178398
79.79778,178398
79.99778,178398
80.19778,178398
80.39778,178398
80.59778,178398
80.79778,178398
80.99778,178398
81.19778,178398
81.39778,178398
81.59778,178398
81.79778,178398
81.99778,178398
82.19778,178398
82.39778,178398
82.59778,178398
82.79778,178398
82.99778,178398
83.19778,178398
83.39778,178398
83.59778,178398
83.79778,178398
83.99778,178398
84.19778,178398
84.39778,178398
84.59778,178398
84.79778,178398
84.99778,178398
85.19778,178398
85.39778,178398
85.59778,178398
85.79778,178398
85.99778,178398
86.19778,178398
86.39778,178398
86.59778,178398
86.79778,178398
86.99778,178398
87.19778,178398
87.39778,178398
87.59778,178398
87.79778,178398
87.99778,178398
88.19778,178398
88.39778,178398
88.59778,178398
88.79778,178398
88.99778,178398
89.19778,178398
89.39778,178398
89.59778,178398
89.79778,178398
89.99778,178398
90.19778,178398
90.39778,178398
90.59778,178398
90.79778,178398
90.99778,178398
91.19778,178398
91.39778,178398
91.59778,178398
91.79778,178398
91.99778,178398
92.19778,178398
92.39778,178398
92.59778,178398
92.79778,178398
92.99778,178398
93.19778,178398
93.39778,178398
93.59778,178398
93.79778,178398
93.99778,178398
94.19778,178398
94.39778,178398
94.59778,178398
94.79778,178398
94.99778,178398
95.19778,178398
95.39778,178398
95.59778,178398
95.79778,178399
95.99778,178399
96.19778,178399
96.39778,178399
96.59778,178399
96.79778,178399
96.99778,178399
97.19778,178399
97.39778,178399
97.59778,178399
97.79778,178399
97.99778,178399
98.19778,178399
98.39778,178399
98.59778,178399
98.79778,178399
98.99778,178399
99.19778,178399
99.39778,178399
99.59778,178399
99.79778,178399
99.99778,178399
100.1978,178399
100.3978,178399
100.5978,178399
100.7978,178399
100.9978,178399
101.1978,178399
101.3978,178399
101.5978,178399
101.7978,178399
101.9978,178399
102.1978,178399
102.3978,178399
102.5978,178399
102.7978,178399
102.9978,178399
103.1978,178399
103.3978,178399
103.5978,178399
103.7978,178399
103.9978,178399
104.1978,178399
104.3978,178399
104.5978,178399
104.7978,178399
104.9978,178399
105.1978,178399
105.3978,178399
105.5978,178399
105.7978,178399
105.9978,178399
106.1978,178399
106.3978,178399
106.5978,178399
106.7978,178399
106.9978,178399
107.1978,178399
107.3978,178399
107.5978,178399
107.7978,178399
107.9978,178399
108.1978,178399
108.3978,178399
108.5978,178399
108.7978,178399
108.9978,178399
109.1978,178399
109.3978,178399
109.5978,178399
109.7978,178399
109.9978,178399
110.1978,178399
110.3978,178399
110.5978,178399
110.7978,178399
110.9978,178399
111.1978,178399
111.3978,178399
111.5978,178399
111.7978,178399
111.9978,178399
112.1978,178399
112.3978,178399
112.5978,178399
112.7978,178399
112.9978,178399
113.1978,178399
113.3978,178399
113.5978,178399
113.7978,178399
113.9978,178399
114.1978,178399
114.3978,178399
114.5978,178399
114.7978,178399
114.9978,178399
115.1978,178399
115.3978,178399
115.5978,178399
115.7978,178399
115.9978,178399
116.1978,178399
116.3978,178399
116.5978,178399
116.7978,178399
116.9978,178399
117.1978,178399
117.3978,178399
117.5978,178399
117.7978,178399
117.9978,178399
118.1978,178399
118.3978,178399
118.5978,178399
118.7978,178399
118.9978,178399
119.1978,178399
119.3978,178399
119.5978,178399
119.7978,178399
119.9978,178399
120.1978,178399
120.3968,178399
120.5978,178399
120.7968,178399
120.9968,178399
121.1968,178399
121.3968,178399
121.5968,178399
121.7968,178399
121.9968,178399
122.1968,178399
122.3968,178399
122.5968,178399
122.7978,178399
122.9968,178399
123.1978,178399
123.3978,178399
123.5978,178399
123.7968,178399
123.9968,178399
124.1968,178399
124.3968,178399
124.5968,178399
124.7968,178399
124.9968,178399
125.1968,178399
125.3968,178399
125.5968,178399
125.7978,178399
125.9968,178399
126.1968,178399
126.3978,178399
126.5968,178399
126.7968,178399
126.9968,178399
127.1968,178399
127.3968,178399
127.5968,178399
127.7968,178399
127.9968,178399
128.1968,178399
128.3968,178399
128.5968,178399
128.7968,178399
128.9968,178399
129.1968,178399
129.3968,178399
129.5968,178399
129.7968,178399
129.9968,178399
130.1968,178399
130.3968,178399
130.5968,178399
130.7968,178399
130.9968,178399
131.1968,178399
131.3968,178399
131.5968,178399
131.7968,178399
131.9968,178399
132.1968,178399
132.3968,178399
132.5968,178399
132.7968,178399
132.9968,178399
133.1968,178399
133.3968,178399
133.5968,178399
133.7968,178399
133.9968,178399
134.1968,178399
134.3968,178399
134.5968,178399
134.7968,178399
134.9968,178399
135.1968,178399
135.3968,178399
135.5968,178399
135.7968,178399
135.9968,178399
136.1968,178399
136.3968,178399
136.5968,178399
136.7968,178399
136.9968,178399
137.1968,178399
137.3968,178399
137.5968,178399
137.7968,178399
137.9968,178399
138.1968,178399
138.3968,178399
138.5968,178399
138.7968,178399
138.9968,178399
139.1968,178399
139.3968,178399
139.5968,178399
139.7968,178399
139.9968,178399
140.1968,178399
140.3968,178399
140.5968,178399
140.7968,178399
140.9968,178399
141.1968,178399
141.3968,178399
141.5968,178399
141.7968,178399
141.9968,178399
142.1968,178399
142.3968,178399
142.5968,178399
142.7968,178399
142.9968,178399
143.1968,178399
143.3968,178399
143.5968,178399
143.7968,178399
143.9968,178399
144.1968,178399
144.3968,178399
144.5968,178399
144.7968,178399
144.9968,178399
145.1968,178399
145.3968,178399
145.5968,178399
145.7968,178399
145.9968,178399
146.1968,178399
146.3968,178399
146.5968,178399
146.7968,178399
146.9968,178399
147.1968,178399
147.3968,178399
147.5968,178399
147.7968,178399
147.9968,178399
148.1968,178399
148.3968,178399
148.5968,178399
148.7968,178399
148.9968,178399
149.1968,178399
149.3968,178399
149.5968,178399
149.7968,178399
149.9968,178399
150.1968,178399
150.3968,178399
150.5968,178399
150.7968,178399
150.9968,178399
151.1968,178399
151.3968,178399
151.5968,178399
151.7968,178399
151.9968,178399
152.1968,178399
152.3968,178399
152.5968,178399
152.7968,178399
152.9968,178399
153.1968,178399
153.3968,178399
153.5968,178399
153.7968,178399
153.9968,178399
154.1968,178399
154.3968,178399
154.5968,178399
154.7968,178399
154.9968,178399
155.1968,178399
155.3968,178399
155.5968,178399
155.7968,178399
155.9968,178399
156.1968,178399
156.3968,178399
156.5968,178399
156.7968,178399
156.9968,178399
157.1968,178399
157.3968,178399
157.5968,178399
157.7968,178399
157.9968,178399
158.1968,178399
158.3968,178399
