time,WheelSpd
-0.00015625,149.975
0.00984375,134.925
0.01984375,134.925
0.02984375,134.925
0.03984375,134.925
0.04984375,134.925
0.05984375,119.875
0.06984375,119.875
0.07984375,119.875
0.08984375,105
0.09984375,105
0.1098438,119.875
0.1198438,105
0.1298438,105
0.1398437,89.95
0.1498438,89.95
0.1598437,89.95
0.1698437,89.95
0.1798438,105
0.1898437,105
0.1998437,105
0.2098438,89.95
0.2198437,105
0.2298438,119.875
0.2398438,134.925
0.2498437,134.925
0.2598437,164.85
0.2698438,164.85
0.2808438,164.85
0.2908438,179.9
0.3008437,179.9
0.3108437,210
0.3208438,210
0.3308437,210
0.3408437,224.875
0.3508438,224.875
0.3608437,210
0.3708437,224.875
0.3808438,239.925
0.3908437,224.875
0.4008437,239.925
0.4108438,224.875
0.4208438,239.925
0.4308437,239.925
0.4408438,224.875
0.4508438,224.875
0.4608437,239.925
0.4708438,224.875
0.4808438,224.875
0.4908437,224.875
0.5008438,210
0.5108438,224.875
0.5208437,210
0.5308437,194.95
0.5408437,194.95
0.5508438,194.95
0.5608438,179.9
0.5708438,164.85
0.5808437,149.975
0.5908437,149.975
0.6008437,149.975
0.6108438,119.875
0.6208438,119.875
0.6308438,105
0.6408437,105
0.6518437,105
0.6618438,89.95
0.6718438,105
0.6818438,89.95
0.6918437,74.9
0.7018437,74.9
0.7118437,74.9
0.7218438,59.85
0.7318438,59.85
0.7418438,59.85
0.7518438,44.975
0.7618437,44.975
0.7718437,29.925
0.7818437,0
0.7918438,0
0.8018438,0
0.8118438,0
0.8218437,0
0.8318437,0
0.8418437,0
0.8518438,0
0.8618438,0
0.8718438,0
0.8818437,0
0.8918437,0
0.9018437,0
0.9118438,0
0.9218438,0
0.9318438,0
0.9418437,0
0.9518437,0
0.9618437,0
0.9718438,0
0.9818438,0
0.9918438,0
1.001844,0
1.011844,0
1.021844,0
1.031844,0
1.042844,0
1.052844,0
1.062844,0
1.072844,0
1.082844,0
1.092844,0
1.102844,0
1.112844,0
1.122844,0
1.132844,0
1.142844,0
1.152844,0
1.162844,0
1.172844,0
1.182844,0
1.192844,0
1.202844,0
1.212844,-14.875
1.222844,-14.875
1.232844,-14.875
1.242844,-14.875
1.252844,-14.875
1.262844,-14.875
1.272844,-14.875
1.282844,-29.925
1.292844,-29.925
1.302844,-29.925
1.312844,-14.875
1.322844,-29.925
1.332844,-44.975
1.342844,-44.975
1.352844,-59.85
1.362844,-59.85
1.372844,-74.9
1.382844,-59.85
1.392844,-74.9
1.402844,-89.95
1.412844,-89.95
1.422844,-89.95
1.432844,-74.9
1.443844,-89.95
1.453844,-74.9
1.463844,-89.95
1.473844,-74.9
1.483844,-89.95
1.493844,-89.95
1.503844,-74.9
1.513844,-89.95
1.523844,-74.9
1.533844,-89.95
1.543844,-74.9
1.553844,-105
1.563844,-89.95
1.573844,-105
1.583844,-105
1.593844,-89.95
1.603844,-105
1.613844,-105
1.623844,-119.875
1.633844,-105
1.643844,-119.875
1.653844,-105
1.663844,-105
1.673844,-119.875
1.683844,-105
1.693844,-119.875
1.703844,-119.875
1.713844,-119.875
1.723844,-119.875
1.733844,-134.925
1.743844,-134.925
1.753844,-119.875
1.763844,-134.925
1.773844,-134.925
1.783844,-149.975
1.793844,-149.975
1.803844,-134.925
1.813844,-134.925
1.823844,-149.975
1.834844,-149.975
1.844844,-164.85
1.854844,-179.9
1.864844,-179.9
1.874844,-164.85
1.884844,-179.9
1.894844,-179.9
1.904844,-194.95
1.914844,-210
1.924844,-194.95
1.934844,-194.95
1.944844,-194.95
1.954844,-194.95
1.964844,-194.95
1.974844,-194.95
1.984844,-194.95
1.994844,-194.95
2.004844,-194.95
2.014844,-194.95
2.024844,-194.95
2.034844,-210
2.044844,-194.95
2.054844,-210
2.064844,-210
2.074844,-224.875
2.084844,-210
2.094844,-210
2.104844,-224.875
2.114844,-210
2.124844,-224.875
2.134844,-224.875
2.144844,-224.875
2.154844,-210
2.164844,-224.875
2.174844,-210
2.184844,-224.875
2.194844,-224.875
2.204844,-224.875
2.215844,-224.875
2.225844,-224.875
2.235844,-210
2.245844,-210
2.255844,-224.875
2.265844,-224.875
2.275844,-224.875
2.285844,-224.875
2.295844,-224.875
2.305844,-224.875
2.315844,-239.925
2.325844,-224.875
2.335844,-239.925
