time,OperTime
-0.00121875,91876
0.1987813,91876
0.3987812,91876
0.5987812,91876
0.7987813,91876
0.9987813,91876
1.198781,91876
1.398781,91876
1.598781,91876
1.798781,91876
1.998781,91876
2.198781,91876
2.398781,91876
2.598781,91876
2.798781,91876
2.998781,91876
3.198781,91876
3.398781,91876
3.598781,91876
3.798781,91876
3.998781,91876
4.198781,91876
4.398781,91876
4.598781,91876
4.798781,91876
4.998781,91876
5.198781,91876
5.398781,91876
5.598781,91876
5.798781,91876
5.998781,91876
6.198781,91876
6.398781,91876
6.598781,91876
6.798781,91876
6.998781,91876
7.198781,91876
7.398781,91876
7.598781,91876
7.798781,91876
7.998781,91876
8.198781,91876
8.398781,91876
8.598782,91876
8.798781,91876
8.998781,91876
9.198781,91876
9.398781,91876
9.598782,91876
9.798781,91876
9.998781,91876
10.19878,91876
10.39878,91876
10.59878,91876
10.79878,91876
10.99878,91876
11.19878,91876
11.39878,91876
11.59878,91876
11.79878,91876
11.99878,91876
12.19878,91876
12.39878,91876
12.59878,91876
12.79878,91876
12.99878,91876
13.19878,91876
13.39878,91876
13.59878,91876
13.79878,91876
13.99878,91876
14.19878,91876
14.39878,91876
14.59878,91876
14.79878,91876
14.99878,91876
15.19878,91876
15.39878,91876
15.59878,91876
15.79878,91876
15.99878,91876
16.19878,91876
16.39878,91876
16.59878,91876
16.79878,91876
16.99878,91876
17.19878,91876
17.39878,91876
17.59878,91876
17.79878,91876
17.99878,91876
18.19878,91876
18.39878,91876
18.59878,91876
18.79878,91876
18.99878,91876
19.19878,91876
19.39878,91876
19.59878,91876
19.79878,91876
19.99878,91876
20.19878,91876
20.39878,91876
20.59878,91876
20.79878,91876
20.99878,91876
21.19878,91876
21.39878,91876
21.59878,91876
21.79878,91876
21.99878,91876
22.19878,91876
22.39878,91876
22.59878,91876
22.79878,91876
22.99878,91876
23.19878,91876
23.39878,91876
23.59878,91876
23.79878,91876
23.99878,91876
24.19878,91876
24.39878,91876
24.59878,91876
24.79878,91876
24.99878,91876
25.19878,91876
25.39878,91876
25.59878,91876
25.79878,91876
25.99878,91876
26.19878,91876
26.39878,91876
26.59878,91876
26.79878,91876
26.99878,91876
27.19878,91876
27.39878,91876
27.59878,91876
27.79878,91876
27.99878,91876
