time,GRAAccel
0.00184375,0
0.02184375,0
0.04184375,0
0.06184375,0
0.08184375,0
0.1018438,0
0.1218437,0
0.1418438,0
0.1618437,0
0.1818437,0
0.2018438,0
0.2218437,0
0.2418437,0
0.2618437,0
0.2818438,0
0.3018438,0
0.3218437,0
0.3418438,0
0.3618438,0
0.3818437,0
0.4018438,0
0.4218437,0
0.4418437,0
0.4618438,0
0.4818437,0
0.5018438,0
0.5218437,0
0.5418438,0
0.5618438,0
0.5818437,0
0.6018438,0
0.6218438,0
0.6418437,0
0.6618438,0
0.6818438,0
0.7018437,0
0.7218438,0
0.7418438,0
0.7618437,0
0.7818437,0
0.8018438,0
0.8218437,0
0.8418437,0
0.8618438,0
0.8818437,0
0.9018437,0
0.9218438,0
0.9418437,0
0.9618437,0
0.9818438,0
1.001844,0
1.021844,0
1.041844,0
1.061844,0
1.081844,0
1.101844,0
1.121844,0
1.141844,0
1.161844,0
1.181844,0
1.201844,0
1.221844,0
1.241844,0
1.261844,0
1.281844,0
1.301844,0
1.321844,0
1.341844,0
1.360844,0
1.380844,0
1.400844,0
1.420844,0
1.440844,0
1.460844,0
1.480844,0
1.500844,0
1.520844,0
1.540844,0
1.560844,0
1.580844,0
1.600844,0
1.620844,0
1.640844,0
1.660844,0
1.680844,0
1.700844,0
1.720844,0
1.740844,0
1.760844,0
1.780844,0
1.800844,0
1.820844,0
1.840844,0
1.860844,0
1.880844,0
1.900844,0
1.920844,0
1.940844,0
1.960844,0
1.980844,0
2.000844,0
2.020844,0
2.040844,0
2.060844,0
2.080844,0
2.100844,0
2.120844,0
2.140844,0
2.160844,0
2.180844,0
2.200844,0
2.220844,0
2.240844,0
2.260844,0
2.280844,0
2.300844,0
2.320844,0
2.340844,0
2.360844,0
2.380844,0
2.400844,0
2.420844,0
2.440844,0
2.460844,0
2.480844,0
2.500844,0
2.520844,0
2.540844,0
2.560844,0
2.580844,0
2.600844,0
2.620844,0
2.640844,0
2.660844,0
2.680844,0
2.700844,0
2.720844,0
2.740844,0
2.760844,0
2.780844,0
2.800844,0
2.820844,0
2.840844,0
2.859844,0
2.879844,0
2.899844,0
2.919844,0
2.939844,0
2.959844,0
2.979844,0
2.999844,0
3.019844,0
3.039844,0
3.059844,0
3.079844,0
3.099844,0
3.119844,0
3.139844,0
3.159844,0
3.179844,0
3.199844,0
3.219844,0
3.239844,0
3.259844,0
3.279844,0
3.299844,0
3.319844,0
3.339844,0
3.359844,0
3.379844,0
3.399844,0
3.419844,0
3.439844,0
3.459844,0
3.479844,0
3.499844,0
3.519844,0
3.539844,0
3.559844,0
3.579844,0
3.599844,0
3.619844,0
3.639844,0
3.659844,0
3.679844,0
3.699844,0
3.719844,0
3.739844,0
3.759844,0
3.779844,0
3.799844,0
3.819844,0
3.839844,0
3.859844,0
3.879844,0
3.899844,0
3.919844,0
3.939844,0
3.959844,0
3.979844,0
3.999844,0
4.019844,0
4.039844,0
4.059844,0
4.079844,0
4.099844,0
4.119844,0
4.139844,0
4.159844,0
4.179844,0
4.199844,0
4.219844,0
4.239844,0
4.259844,0
4.279844,0
4.299844,0
4.319844,0
4.339844,0
4.358844,0
4.378844,0
4.398844,0
4.418844,0
4.438844,0
4.458844,0
4.478844,0
4.498844,0
4.518844,0
4.538844,0
4.558844,0
4.578844,0
4.598844,0
4.618844,0
4.638844,0
4.659844,0
4.678844,0
4.698844,0
4.718844,0
4.738844,0
4.758844,0
4.778844,0
4.798844,0
4.818844,0
4.838844,0
4.858844,0
4.878844,0
4.898844,0
4.918844,0
4.938844,0
4.958844,0
4.978844,0
4.998844,0
5.018844,0
5.038844,0
5.058844,0
5.078844,0
5.098844,0
5.118844,0
5.138844,0
5.158844,0
5.178844,0
5.198844,0
5.218844,0
5.238844,0
5.258844,0
5.278844,0
5.298844,0
5.318844,0
5.338844,0
5.358844,0
5.378844,0
5.398844,0
5.418844,0
5.438844,0
5.458844,0
5.478844,0
5.498844,0
5.518844,0
5.538844,0
5.558844,0
5.578844,0
5.598844,0
5.618844,0
5.638844,0
5.658844,0
5.678844,0
5.698844,0
5.718844,0
5.738844,0
5.758844,0
5.778844,0
5.798844,0
5.818844,0
5.838844,0
5.858844,0
5.877844,0
5.898844,0
5.918844,0
5.938844,0
5.957844,0
5.977844,0
5.998844,0
6.018844,0
6.038844,0
6.057844,0
6.077844,0
6.098844,0
6.117844,0
6.137844,0
6.157844,0
6.177844,0
6.198844,0
6.217844,0
6.238844,0
6.258844,0
6.278844,0
6.298844,0
6.318844,0
6.337844,0
6.358844,0
6.377844,0
6.397844,0
6.417844,0
6.437844,0
6.457844,0
6.477844,0
6.497844,0
6.517844,0
6.537844,0
6.557844,0
6.577844,0
6.597844,0
6.617844,0
6.637844,0
6.657844,0
6.677844,0
6.697844,0
6.717844,0
6.737844,0
6.757844,0
6.777844,0
6.797844,0
6.817844,0
6.837844,0
6.857844,0
6.877844,0
6.897844,0
6.917844,0
6.937844,0
6.957844,0
6.977844,0
6.997844,0
7.017844,0
7.037844,0
7.057844,0
7.077844,0
7.097844,0
7.117844,0
7.137844,0
7.157844,0
7.177844,0
7.197844,0
7.217844,0
7.237844,0
7.257844,0
7.277844,0
7.297844,0
7.317844,0
7.337844,0
7.356844,0
7.376844,0
7.397844,0
7.416844,0
7.437844,0
7.456844,0
7.476844,0
7.496844,0
7.516844,0
7.536844,0
7.556844,0
7.576844,0
7.596844,0
7.616844,0
7.636844,0
7.656844,0
7.676844,0
7.696844,0
7.716844,0
7.736844,0
7.756844,0
7.776844,0
7.796844,0
7.816844,0
7.836844,0
7.856844,0
7.876844,0
7.896844,0
7.916844,0
7.936844,0
7.956844,0
7.976844,0
7.996844,0
8.016844,0
8.036843,0
8.056844,0
8.076844,0
8.096844,0
8.116844,0
8.136844,0
8.156844,0
8.176844,0
8.196844,0
8.216844,0
8.236844,0
8.256844,0
8.276844,0
8.296844,0
8.316844,0
8.336843,0
8.356844,0
8.376843,0
8.396844,0
8.416843,0
8.436844,0
8.456843,0
8.476844,0
8.496843,0
8.516844,0
8.536843,0
8.556844,0
8.576844,0
8.596844,0
8.616844,0
8.636844,0
8.656844,0
8.676844,0
8.696844,0
8.716844,0
8.736844,0
8.756844,0
8.776844,0
8.796844,0
8.816844,0
8.836843,0
8.855844,0
8.875844,0
8.895844,0
8.915844,0
8.935843,0
8.955844,0
8.975843,0
8.995844,0
9.015843,0
9.035844,0
9.055843,0
9.075844,0
9.095843,0
9.115844,0
9.135843,0
9.155844,0
9.175844,0
9.195844,0
9.215844,0
9.235844,0
9.255844,0
9.275844,0
9.295844,0
9.315844,0
9.335844,0
9.355844,0
9.375844,0
9.395844,0
9.415844,0
9.435843,0
9.455844,0
9.475843,0
9.495844,0
9.515843,0
9.535844,0
9.555843,0
9.575844,0
9.595843,0
9.615844,0
9.635843,0
9.655844,0
9.675844,0
9.695844,0
9.715844,0
9.735844,0
9.755844,0
9.775844,0
9.795844,0
9.815844,0
9.835844,0
9.855844,0
9.875844,0
9.895844,0
9.915844,0
9.935843,0
9.955844,0
9.975843,0
9.995844,0
10.01584,0
10.03584,0
10.05584,0
10.07584,0
10.09584,0
10.11584,0
10.13584,0
10.15584,0
10.17584,0
10.19584,0
10.21584,0
10.23584,0
10.25584,0
10.27584,0
10.29584,0
10.31584,0
10.33584,0
10.35584,0
10.37584,0
10.39584,0
10.41584,0
10.43584,0
10.45584,0
10.47584,0
10.49584,0
10.51584,0
10.53584,0
10.55584,0
10.57584,0
10.59584,0
10.61484,0
10.63484,0
10.65484,0
10.67484,0
10.69484,0
10.71484,0
10.73484,0
10.75484,0
10.77484,0
10.79484,0
10.81484,0
10.83484,0
10.85484,0
10.87484,0
10.89484,0
10.91484,0
10.93484,0
10.95484,0
10.97484,0
10.99484,0
11.01484,0
11.03484,0
11.05484,0
11.07484,0
11.09484,0
11.11484,0
11.13484,0
11.15484,0
11.17484,0
11.19484,0
11.21484,0
11.23484,0
11.25484,0
11.27484,0
11.29484,0
11.31484,0
11.33484,0
11.35484,0
11.37484,0
11.39484,0
11.41484,0
11.43484,0
11.45484,0
11.47484,0
11.49484,0
11.51484,0
11.53484,0
11.55484,0
11.57484,0
11.59484,0
11.61484,0
11.63484,0
11.65484,0
11.67484,0
11.69484,0
11.71484,0
11.73484,0
11.75484,0
11.77484,0
11.79484,0
11.81484,0
11.83484,0
11.85484,0
11.87484,0
11.89384,0
11.91384,0
11.93384,0
11.95484,0
11.97384,0
11.99384,0
12.01384,0
12.03384,0
12.05384,0
12.07384,0
12.09384,0
12.11384,0
12.13384,0
12.15384,0
12.17384,0
12.19384,0
12.21384,0
12.23384,0
12.25384,0
12.27384,0
12.29384,0
12.31384,0
12.33384,0
12.35384,0
12.37384,0
12.39384,0
12.41384,0
12.43384,0
12.45384,0
12.47384,0
12.49384,0
12.51384,0
12.53384,0
12.55384,0
12.57384,0
12.59384,0
12.61384,0
12.63384,0
12.65384,0
12.67384,0
12.69384,0
12.71384,0
12.73384,0
12.75384,0
12.77384,0
12.79384,0
12.81384,0
12.83384,0
12.85384,0
12.87384,0
12.89384,0
12.91384,0
12.93384,0
12.95384,0
12.97384,0
12.99384,0
13.01384,0
13.03384,0
13.05384,0
13.07384,0
13.09384,0
13.11384,0
13.13384,0
13.15384,0
13.17384,0
13.19384,0
13.21384,0
13.23384,0
13.25384,0
13.27384,0
13.29384,0
13.31384,0
13.33384,0
13.35384,0
13.37284,0
13.39284,0
13.41284,0
13.43384,0
13.45284,0
13.47284,0
13.49284,0
13.51284,0
13.53284,0
13.55284,0
13.57284,0
13.59284,0
13.61284,0
13.63284,0
13.65284,0
13.67284,0
13.69284,0
13.71284,0
13.73284,0
13.75284,0
13.77284,0
13.79284,0
13.81284,0
13.83284,0
13.85284,0
13.87284,0
13.89284,0
13.91284,0
13.93284,0
13.95284,0
13.97284,0
13.99284,0
14.01284,0
14.03284,0
14.05284,0
14.07284,0
14.09284,0
14.11284,0
14.13284,0
14.15284,0
14.17284,0
14.19284,0
14.21284,0
14.23284,0
14.25284,0
14.27284,0
14.29284,0
14.31284,0
14.33284,0
14.35284,0
14.37284,0
14.39284,0
14.41284,0
14.43284,0
14.45284,0
14.47284,0
14.49284,0
14.51284,0
14.53284,0
14.55284,0
14.57284,0
14.59284,0
14.61284,0
14.63284,0
14.65284,0
14.67284,0
14.69284,0
14.71284,0
14.73284,0
14.75284,0
14.77284,0
14.79284,0
14.81284,0
14.83284,0
14.85184,0
14.87284,0
14.89184,0
14.91184,0
14.93184,0
14.95184,0
14.97184,0
14.99184,0
15.01184,0
15.03184,0
15.05184,0
