time,OutsTemp
0.001125,15.5
0.201125,15.5
0.401125,15.5
0.601125,15.5
0.801125,15.5
1.001125,15.5
1.201125,15.5
1.401125,15.5
1.601125,15.5
1.801125,15.5
2.001125,15.5
2.201125,15.5
2.401125,15.5
2.601125,15.5
2.801125,15.5
3.001125,15.5
3.201125,15.5
3.401125,15.5
3.601125,15.5
3.801125,15.5
4.001125,15.5
4.201125,15.5
4.401125,15.5
4.601125,15.5
4.801125,15.5
5.001125,15.5
5.201125,15.5
5.401125,15.5
5.601125,15.5
5.801125,15.5
6.001125,15.5
6.201125,15.5
6.401125,15.5
6.601125,15.5
6.801125,15.5
7.001125,15.5
7.201125,15.5
7.401125,15.5
7.601125,15.5
7.801125,15.5
8.001125,15.5
8.201125,15.5
8.401125,15.5
8.601125,15.5
8.801125,15.5
9.001125,15.5
9.201125,15.5
9.401125,15.5
9.601125,15.5
9.801125,15.5
10.00113,15.5
10.20113,15.5
10.40112,15.5
10.60112,15.5
10.80112,15.5
11.00113,15.5
11.20113,15.5
11.40112,15.5
11.60112,15.5
11.80112,15.5
12.00113,15.5
12.20113,15.5
12.40112,15.5
12.60112,15.5
12.80112,15.5
13.00113,15.5
13.20113,15.5
13.40112,15.5
13.60112,15.5
13.80112,15.5
14.00113,15.5
14.20113,15.5
14.40112,15.5
14.60112,15.5
14.80112,15.5
15.00113,15.5
15.20113,15.5
15.40112,15.5
15.60112,15.5
15.80112,15.5
16.00113,15.5
16.20112,15.5
16.40112,15.5
16.60113,15.5
16.80112,15.5
17.00113,15.5
17.20112,15.5
17.40112,15.5
17.60113,15.5
17.80112,15.5
18.00113,15.5
18.20112,15.5
18.40112,15.5
18.60113,15.5
18.80112,15.5
19.00113,15.5
19.20112,15.5
19.40112,15.5
19.60113,15.5
19.80112,15.5
20.00113,15.5
20.20112,15.5
20.40112,15.5
20.60113,15.5
20.80112,15.5
21.00113,15.5
21.20112,15.5
21.40112,15.5
21.60113,15.5
21.80112,15.5
22.00113,15.5
22.20112,15.5
22.40112,15.5
22.60113,15.5
22.80112,15.5
23.00113,15.5
23.20112,15.5
23.40112,15.5
23.60113,15.5
23.80112,15.5
24.00113,15.5
24.20112,15.5
24.40112,15.5
24.60113,15.5
24.80112,15.5
25.00113,15.5
25.20112,15.5
25.40112,15
25.60113,15
25.80112,15
26.00113,15
26.20112,15
26.40112,15
26.60113,15
26.80112,15
27.00113,15
27.20112,15
27.40112,15
27.60113,15
27.80112,15
28.00113,15
28.20112,15
28.40112,15
28.60113,15
28.80112,15
29.00113,15
29.20112,15
29.40112,15
29.60113,15
29.80112,15
30.00113,15
30.20112,15
30.40112,15
30.60113,15
30.80112,15
31.00113,15
31.20112,15
31.40112,15
31.60113,15
31.80112,15
32.00113,15
32.20113,15
32.40113,15
32.60112,15
32.80112,15
33.00113,15
33.20113,15
33.40113,15
33.60112,15
33.80112,15
34.00113,15
34.20113,15
34.40113,15
34.60112,15
34.80112,15
35.00113,15
35.20113,15
35.40113,15
35.60112,15
35.80112,15
36.00113,15
36.20113,15
36.40113,15
36.60112,15
36.80112,15
37.00113,15
37.20113,15
37.40113,15
37.60112,15
37.80112,15
38.00113,15
38.20113,15
38.40113,15
38.60112,15
38.80112,15
39.00113,15
39.20113,15
39.40113,15
39.60112,15
39.80112,15
40.00113,15
40.20113,15
40.40113,15
40.60112,15
40.80112,15
41.00113,15
41.20113,15
41.40113,15
41.60112,15
41.80112,15
42.00113,15
42.20113,15
42.40113,15
42.60112,15
42.80112,15
43.00113,15
43.20113,15
43.40113,15
43.60112,15
43.80112,15
44.00113,15
44.20113,15
44.40113,15
44.60112,15
44.80112,15
45.00113,15
45.20113,15
45.40113,15
45.60112,15
45.80212,15
46.00113,15
46.20113,15
46.40113,15
46.60112,15
46.80112,15
47.00113,15
47.20113,15
47.40113,15
47.60112,15
47.80112,15
48.00113,15
48.20113,15
48.40113,15
48.60112,15
48.80112,15
49.00113,15
49.20113,15
49.40113,15
49.60112,15
49.80112,15
50.00113,15
50.20113,15
50.40113,15
50.60112,15
50.80112,15
51.00113,15
51.20113,15
51.40113,15
51.60112,15
51.80112,15
52.00113,15
52.20113,15
52.40012,15
52.60112,15
52.80013,15
53.00013,15
53.20113,15
53.40113,15
53.60012,15
53.80013,15
54.00013,15
54.20013,15
54.40012,15
54.60012,15
54.80013,15
55.00013,15
55.20013,15
55.40012,15
55.60012,15
55.80013,15
56.00013,15
56.20013,14.5
56.40012,14.5
56.60012,14.5
56.80013,14.5
57.00013,14.5
57.20013,14.5
57.40012,14.5
57.60012,14.5
57.80013,14.5
58.00013,14.5
58.20013,14.5
58.40012,14.5
58.60012,14.5
58.80013,14.5
59.00013,14.5
59.20013,14.5
59.40012,14.5
59.60012,14.5
59.80013,14.5
60.00013,14.5
60.20013,14.5
60.40012,14.5
60.60012,14.5
60.80013,14.5
61.00013,14.5
61.20113,14.5
61.40113,14.5
61.60012,14.5
61.80013,14.5
62.00013,14.5
62.20013,14.5
62.40012,14.5
62.60012,14.5
62.80013,14.5
63.00013,14.5
63.20013,14.5
63.40012,14.5
63.60012,14.5
63.80013,14.5
64.00012,14.5
64.20013,14.5
64.40012,14.5
64.60013,14.5
64.80013,14.5
65.00012,14.5
65.20013,14.5
65.40012,14.5
65.60013,14.5
65.80013,14.5
66.00012,14.5
66.20013,14.5
66.40012,14.5
66.60013,14.5
66.80013,14.5
67.00012,14.5
67.20013,14.5
67.40012,14.5
67.60013,14.5
67.80013,14.5
68.00012,14.5
68.20013,14.5
68.40012,14.5
68.60013,14.5
68.80013,14.5
69.00012,14.5
69.20013,14.5
69.40012,14.5
69.60013,14.5
69.80013,14.5
70.00012,14.5
70.20013,14.5
70.40012,14.5
70.60013,14.5
70.80013,14.5
71.00012,14.5
71.20013,14.5
71.40012,14.5
71.60013,14.5
71.80013,14.5
72.00012,14.5
72.20013,14.5
72.40012,14.5
72.60013,14.5
72.80013,14.5
73.00012,14.5
73.20013,14.5
73.40012,14.5
73.60013,14.5
73.80013,14.5
74.00012,14.5
74.20013,14.5
74.40012,14.5
74.60013,14.5
74.80013,14.5
75.00012,14.5
75.20013,14.5
75.40012,14.5
75.60013,14.5
75.80013,14.5
76.00012,14.5
76.20013,14.5
76.40012,14.5
76.60013,14.5
76.80013,14.5
77.00012,14.5
77.20013,14.5
77.40012,14.5
77.60013,14.5
77.80013,14.5
78.00012,14.5
78.20013,14.5
78.40012,14.5
78.60013,14.5
78.80013,14.5
79.00012,14.5
79.20013,14.5
79.40012,14.5
79.60013,14.5
79.80013,14.5
80.00012,14.5
80.20013,14.5
80.40012,14.5
80.60013,14.5
80.80013,14.5
81.00012,14.5
81.20013,14.5
81.40012,14.5
81.60013,14.5
81.80013,14.5
82.00012,14.5
82.20013,14.5
82.40012,14.5
82.60013,14.5
82.80013,14.5
83.00012,14.5
83.20013,14.5
83.40012,14.5
83.60013,14.5
83.80013,14.5
84.00012,14.5
84.20013,14.5
84.40012,14.5
84.60013,14.5
84.80013,14.5
85.00012,14.5
85.20013,14.5
85.40012,14.5
85.60013,14.5
85.80013,14.5
86.00012,14.5
86.20013,14.5
86.40012,14.5
86.60013,14.5
86.80013,14.5
87.00012,14.5
87.20013,14.5
87.40012,14.5
87.60013,14.5
87.80013,14.5
88.00012,14.5
88.20013,14.5
88.40012,14.5
88.60013,14.5
88.80013,14.5
89.00012,14.5
89.20013,14.5
89.40012,14.5
89.60013,14.5
89.80013,14.5
90.00012,14.5
90.20013,14.5
90.40012,14.5
90.60013,14.5
90.80013,14.5
91.00012,14.5
91.20013,14.5
91.40012,14.5
91.60013,14.5
91.80013,14.5
92.00012,14.5
92.20013,14.5
92.40012,14.5
92.60013,14.5
92.80013,14.5
93.00012,14.5
93.20013,14
93.40012,14
93.60013,14
93.80013,14
94.00012,14
94.20013,14
94.40012,14
