"time,RevoPMin"
"5.497656,1119"
"5.517656,1121"
"5.537656,1123"
"5.557656,1128"
"5.577656,1131"
"5.597656,1131"
"5.617656,1132"
"5.637656,1133"
"5.657656,1133"
"5.677656,1140"
"5.697656,1140"
"5.717656,1144"
"5.737656,1147"
"5.757656,1148"
"5.776656,1148"
"5.796656,1145"
"5.816656,1142"
"5.836656,1145"
"5.856656,1148"
"5.876656,1154"
"5.896656,1157"
"5.916656,1161"
"5.936656,1167"
"5.956656,1168"
"5.976656,1167"
"5.996656,1167"
"6.016656,1163"
"6.036656,1165"
"6.056656,1169"
"6.076656,1170"
"6.096656,1171"
"6.116656,1168"
"6.136656,1169"
"6.156656,1172"
"6.176656,1173"
"6.196656,1174"
"6.216656,1175"
"6.236656,1182"
"6.256656,1189"
"6.276656,1190"
"6.296656,1191"
"6.316656,1191"
"6.336656,1193"
"6.356656,1196"
"6.376656,1198"
"6.396656,1198"
"6.416656,1197"
"6.436656,1201"
"6.456656,1205"
"6.476656,1210"
"6.496656,1209"
"6.516656,1207"
"6.536656,1208"
"6.556656,1215"
"6.576656,1218"
"6.596656,1221"
"6.616656,1221"
"6.636656,1221"
"6.656656,1225"
"6.676656,1225"
"6.696656,1225"
"6.716656,1221"
"6.736656,1222"
"6.756656,1223"
"6.776656,1224"
"6.796656,1224"
"6.816656,1224"
"6.836656,1227"
"6.856656,1232"
"6.876656,1231"
"6.896656,1230"
"6.916656,1231"
"6.936656,1235"
"6.956656,1236"
"6.976656,1235"
"6.996656,1232"
"7.016656,1232"
"7.036656,1239"
"7.056656,1242"
"7.076656,1247"
"7.096656,1251"
"7.116656,1253"
"7.136656,1262"
"7.156656,1265"
"7.176656,1264"
"7.196656,1263"
"7.216656,1264"
"7.236656,1272"
"7.256656,1275"
"7.276656,1276"
"7.295656,1276"
"7.315656,1279"
"7.335656,1286"
"7.355656,1290"
"7.375656,1286"
"7.395656,1284"
"7.415656,1287"
"7.435656,1290"
"7.455656,1291"
"7.475656,1291"
"7.495656,1293"
"7.515656,1296"
"7.535656,1298"
"7.555656,1299"
"7.575656,1294"
"7.595656,1298"
"7.615656,1300"
"7.635656,1303"
"7.655656,1305"
"7.675656,1306"
"7.695656,1311"
"7.715656,1318"
"7.735656,1321"
"7.755656,1323"
"7.775656,1330"
"7.795656,1333"
"7.815656,1334"
"7.835656,1338"
"7.855656,1341"
"7.875656,1344"
"7.895656,1347"
"7.915656,1344"
"7.935656,1344"
"7.955656,1349"
"7.975656,1354"
"7.995656,1352"
"8.015656,1351"
"8.035656,1355"
"8.055656,1358"
"8.075656,1363"
"8.095656,1363"
"8.115656,1364"
"8.135656,1368"
"8.155656,1370"
"8.175656,1370"
"8.195656,1367"
"8.215656,1364"
"8.235656,1367"
"8.255656,1371"
"8.275657,1374"
"8.295656,1378"
"8.315657,1384"
"8.335656,1387"
"8.355657,1387"
"8.375656,1382"
"8.395657,1382"
"8.415656,1383"
"8.435657,1386"
"8.455656,1387"
"8.475657,1389"
"8.495656,1390"
"8.515656,1391"
"8.535656,1394"
"8.555656,1396"
"8.575656,1401"
"8.595656,1405"
"8.615656,1409"
"8.635656,1412"
"8.655656,1419"
"8.675656,1423"
"8.695656,1428"
"8.715656,1432"
"8.735656,1438"
"8.755656,1443"
"8.774656,1442"
"8.794656,1440"
"8.814656,1439"
"8.834657,1439"
"8.854656,1441"
"8.874657,1445"
"8.894656,1453"
"8.914657,1457"
"8.934656,1459"
"8.954657,1460"
"8.974656,1463"
"8.994657,1467"
"9.014656,1468"
"9.034657,1473"
"9.054656,1473"
"9.074656,1477"
"9.094656,1480"
"9.114656,1485"
"9.134656,1489"
"9.154656,1496"
"9.174656,1499"
"9.194656,1502"
"9.214656,1502"
"9.234656,1508"
"9.254656,1509"
"9.274656,1510"
"9.294656,1512"
"9.314656,1516"
"9.334657,1518"
"9.354656,1520"
"9.374657,1521"
"9.394656,1530"
"9.414657,1532"
"9.434656,1534"
"9.454657,1539"
"9.474656,1544"
"9.494657,1546"
"9.514656,1548"
"9.534657,1551"
"9.554656,1555"
"9.574656,1558"
"9.594656,1559"
"9.614656,1564"
"9.634656,1569"
"9.654656,1574"
"9.674656,1574"
"9.694656,1579"
"9.714656,1581"
"9.734656,1584"
"9.754656,1585"
"9.774656,1591"
"9.794656,1595"
"9.814656,1603"
"9.834657,1602"
"9.854656,1608"
"9.874657,1613"
"9.894656,1617"
"9.914657,1623"
"9.934656,1629"
"9.954657,1633"
"9.974656,1631"
"9.994657,1634"
"10.01466,1632"
"10.03466,1631"
"10.05466,1624"
"10.07466,1627"
"10.09466,1630"
"10.11466,1629"
"10.13466,1628"
"10.15466,1627"
"10.17466,1627"
"10.19466,1625"
"10.21466,1628"
"10.23466,1630"
"10.25466,1635"
"10.27366,1633"
"10.29366,1637"
"10.31366,1642"
"10.33366,1647"
"10.35366,1649"
"10.37366,1649"
"10.39366,1650"
"10.41366,1651"
"10.43366,1657"
"10.45366,1659"
"10.47366,1668"
"10.49366,1666"
"10.51366,1664"
"10.53366,1665"
"10.55366,1668"
"10.57366,1671"
"10.59366,1669"
"10.61366,1674"
"10.63366,1669"
"10.65366,1666"
"10.67366,1662"
"10.69366,1667"
"10.71366,1667"
"10.73366,1665"
"10.75366,1665"
"10.77366,1661"
"10.79366,1660"
"10.81366,1655"
"10.83366,1661"
"10.85366,1660"
"10.87366,1658"
"10.89366,1659"
"10.91366,1661"
"10.93366,1662"
"10.95366,1664"
"10.97366,1672"
"10.99366,1665"
"11.01366,1664"
"11.03366,1662"
"11.05366,1665"
"11.07366,1666"
"11.09366,1667"
"11.11366,1670"
"11.13366,1669"
"11.15366,1666"
"11.17366,1666"
"11.19366,1670"
"11.21366,1666"
"11.23366,1666"
"11.25366,1666"
"11.27366,1666"
"11.29366,1665"
"11.31366,1662"
"11.33366,1659"
"11.35366,1652"
"11.37366,1650"
"11.39366,1648"
"11.41366,1648"
"11.43366,1642"
"11.45366,1642"
"11.47366,1640"
"11.49366,1633"
"11.51366,1627"
"11.53366,1623"
"11.55366,1624"
"11.57366,1615"
"11.59366,1613"
"11.61366,1613"
"11.63366,1610"
"11.65366,1600"
"11.67366,1601"
"11.69366,1611"
"11.71366,1613"
"11.73366,1616"
"11.75366,1622"
"11.77366,1627"
"11.79266,1630"
"11.81266,1628"
"11.83266,1625"
"11.85266,1625"
"11.87266,1620"
"11.89266,1618"
"11.91266,1614"
"11.93266,1612"
"11.95266,1610"
"11.97266,1607"
"11.99266,1599"
"12.01266,1592"
"12.03266,1586"
"12.05266,1586"
"12.07266,1582"
"12.09266,1574"
"12.11266,1575"
"12.13266,1572"
"12.15266,1565"
"12.17266,1558"
"12.19266,1557"
"12.21266,1556"
"12.23266,1557"
"12.25266,1555"
"12.27266,1560"
"12.29266,1561"
"12.31266,1561"
"12.33266,1555"
"12.35266,1553"
"12.37266,1551"
"12.39266,1552"
"12.41266,1552"
"12.43266,1551"
"12.45266,1551"
"12.47266,1548"
"12.49266,1543"
"12.51266,1539"
"12.53266,1534"
"12.55266,1529"
"12.57266,1526"
"12.59266,1525"
"12.61266,1524"
"12.63266,1523"
"12.65266,1522"
"12.67266,1522"
"12.69266,1516"
"12.71266,1510"
"12.73266,1505"
"12.75266,1503"
"12.77266,1501"
"12.79266,1501"
"12.81266,1503"
"12.83266,1501"
"12.85266,1496"
"12.87266,1491"
"12.89266,1488"
"12.91266,1488"
"12.93266,1487"
"12.95266,1490"
"12.97266,1491"
"12.99266,1489"
"13.01266,1481"
"13.03266,1480"
"13.05266,1476"
"13.07266,1473"
"13.09266,1469"
"13.11266,1474"
"13.13266,1474"
"13.15266,1466"
"13.17266,1457"
"13.19266,1465"
"13.21266,1465"
"13.23266,1456"
"13.25266,1446"
"13.27266,1456"
"13.29166,1458"
"13.31166,1449"
"13.33166,1438"
"13.35166,1438"
"13.37166,1455"
"13.39166,1436"
"13.41166,1424"
"13.43166,1434"
"13.45166,1436"
"13.47166,1437"
"13.49166,1427"
"13.51166,1428"
"13.53166,1445"
"13.55166,1439"
"13.57166,1434"
"13.59166,1425"
"13.61166,1434"
"13.63166,1435"
"13.65166,1429"
"13.67166,1417"
"13.69166,1430"
"13.71166,1428"
"13.73166,1417"
"13.75166,1413"
"13.77166,1420"
"13.79166,1421"
"13.81166,1414"
"13.83166,1418"
"13.85166,1422"
"13.87166,1422"
"13.89166,1423"
"13.91166,1420"
"13.93166,1432"
"13.95166,1436"
"13.97166,1440"
"13.99166,1434"
"14.01166,1434"
"14.03166,1437"
"14.05166,1416"
"14.07166,1407"
"14.09166,1403"
"14.11166,1401"
"14.13166,1399"
"14.15166,1398"
"14.17166,1399"
"14.19166,1401"
"14.21166,1401"
"14.23166,1402"
"14.25166,1401"
"14.27166,1403"
"14.29166,1404"
"14.31166,1408"
"14.33166,1411"
"14.35166,1415"
"14.37166,1421"
"14.39166,1427"
"14.41166,1430"
"14.43166,1429"
"14.45166,1429"
"14.47166,1428"
"14.49166,1427"
"14.51166,1425"
"14.53166,1423"
"14.55166,1422"
"14.57166,1421"
"14.59166,1415"
"14.61166,1413"
"14.63166,1412"
"14.65166,1413"
"14.67166,1412"
"14.69166,1412"
"14.71166,1412"
"14.73166,1414"
"14.75166,1415"
"14.77166,1417"
"14.79166,1419"
"14.81066,1424"
"14.83066,1429"
"14.85066,1429"
"14.87066,1431"
"14.89066,1428"
"14.91066,1426"
"14.93066,1426"
"14.95066,1426"
"14.97066,1426"
"14.99066,1430"
"15.01166,1435"
"15.03066,1437"
"15.05066,1438"
"15.07066,1442"
"15.09166,1447"
"15.11166,1450"
"15.13066,1449"
"15.15066,1449"
"15.17066,1455"
"15.19066,1459"
"15.21066,1460"
"15.23066,1462"
"15.25066,1466"
"15.27066,1471"
"15.29066,1473"
"15.31066,1474"
"15.33066,1480"
"15.35066,1484"
"15.37066,1486"
"15.39066,1488"
"15.41066,1493"
"15.43066,1498"
"15.45066,1501"
"15.47066,1502"
"15.49066,1507"
"15.51066,1509"
"15.53066,1506"
"15.55066,1510"
"15.57066,1518"
"15.59066,1525"
"15.61066,1526"
"15.63066,1531"
"15.65066,1540"
"15.67066,1546"
"15.69066,1548"
"15.71066,1550"
"15.73066,1556"
"15.75066,1560"
"15.77066,1560"
"15.79066,1560"
"15.81066,1563"
"15.83066,1566"
"15.85066,1561"
"15.87066,1571"
"15.89066,1580"
"15.91066,1586"
"15.93066,1588"
"15.95066,1600"
"15.97066,1612"
"15.99066,1617"
"16.01066,1619"
"16.03066,1625"
"16.05066,1628"
"16.07066,1631"
"16.09066,1638"
"16.11066,1655"
"16.13066,1663"
"16.15066,1660"
"16.17066,1662"
"16.19066,1661"
"16.21066,1665"
"16.23066,1669"
"16.25066,1677"
"16.27066,1684"
"16.28966,1688"
"16.30966,1695"
"16.32966,1698"
"16.34966,1701"
"16.36966,1700"
"16.38966,1704"
"16.40966,1708"
"16.42966,1711"
"16.44966,1719"
"16.46966,1729"
"16.48966,1736"
"16.50966,1739"
"16.52966,1746"
"16.54966,1751"
"16.56966,1753"
"16.58966,1758"
"16.60966,1761"
"16.62966,1761"
"16.64966,1760"
"16.66966,1765"
"16.68966,1772"
"16.70966,1773"
"16.72966,1784"
"16.74966,1786"
"16.76966,1785"
"16.78966,1791"
"16.80966,1795"
"16.82966,1797"
"16.84966,1797"
"16.86966,1799"
"16.88966,1803"
"16.90966,1802"
"16.92966,1814"
"16.94966,1819"
"16.96966,1818"
"16.98966,1822"
"17.00966,1825"
"17.02966,1825"
"17.04966,1826"
"17.06966,1834"
"17.08966,1833"
"17.10966,1828"
"17.12966,1835"
"17.14966,1839"
"17.16966,1839"
"17.18966,1850"
"17.20966,1857"
"17.22966,1850"
"17.24966,1856"
"17.26966,1867"
"17.28966,1870"
"17.30966,1874"
"17.32966,1878"
"17.34966,1877"
"17.36966,1871"
"17.38966,1871"
"17.40966,1874"
"17.42966,1869"
"17.44966,1882"
"17.46966,1883"
"17.48966,1881"
"17.50966,1887"
"17.52966,1892"
"17.54966,1889"
"17.56966,1887"
"17.58966,1890"
"17.60966,1893"
"17.62966,1896"
"17.64966,1909"
"17.66966,1911"
"17.68966,1911"
"17.70966,1916"
"17.72966,1920"
"17.74966,1917"
"17.76966,1919"
"17.78966,1921"
"17.80866,1915"
"17.82866,1920"
"17.84866,1920"
"17.86866,1919"
"17.88966,1924"
"17.90866,1929"
"17.92866,1928"
"17.94866,1931"
"17.96866,1935"
"17.98966,1933"
"18.00866,1934"
"18.02866,1939"
"18.04866,1937"
"18.06866,1941"
"18.08866,1942"
"18.10866,1941"
"18.12866,1942"
"18.14866,1947"
"18.16866,1942"
"18.18866,1944"
"18.20866,1946"
"18.22866,1947"
"18.24866,1946"
"18.26866,1957"
"18.28866,1959"
"18.30866,1958"
"18.32866,1961"
"18.34866,1966"
"18.36866,1964"
"18.38866,1964"
"18.40866,1964"
"18.42866,1964"
"18.44866,1963"
"18.46866,1966"
"18.48866,1964"
"18.50866,1970"
"18.52866,1972"
"18.54866,1969"
"18.56866,1975"
"18.58866,1974"
"18.60866,1970"
"18.62866,1972"
"18.64866,1972"
"18.66866,1970"
"18.68866,1975"
"18.70866,1977"
"18.72866,1974"
"18.74866,1977"
"18.76866,1979"
"18.78866,1978"
"18.80866,1981"
"18.82866,1982"
"18.84866,1980"
"18.86866,1984"
"18.88866,1984"
"18.90866,1980"
"18.92866,1984"
"18.94866,1984"
"18.96866,1982"
"18.98866,1984"
"19.00866,1983"
"19.02866,1976"
"19.04866,1978"
"19.06866,1975"
"19.08866,1973"
"19.10866,1977"
"19.12866,1980"
"19.14866,1982"
"19.16866,1986"
"19.18866,1988"
"19.20866,1986"
"19.22866,1990"
"19.24866,1990"
"19.26866,1986"
"19.28866,1988"
"19.30866,1988"
"19.32766,1986"
"19.34866,1987"
"19.36766,1985"
"19.38866,1982"
"19.40766,1983"
"19.42766,1983"
"19.44866,1984"
"19.46766,1983"
"19.48866,1982"
"19.50766,1983"
"19.52766,1982"
"19.54866,1982"
"19.56766,1984"
"19.58866,1982"
"19.60766,1981"
"19.62766,1982"
"19.64766,1982"
"19.66766,1983"
"19.68766,1985"
"19.70766,1986"
"19.72766,1987"
"19.74766,1987"
"19.76766,1988"
"19.78766,1989"
"19.80766,1992"
"19.82766,1991"
"19.84766,1991"
"19.86766,1990"
"19.88766,1990"
"19.90766,1989"
"19.92766,1987"
"19.94766,1989"
"19.96766,1988"
"19.98766,1987"
"20.00766,1984"
"20.02766,1986"
"20.04766,1985"
"20.06766,1984"
"20.08766,1984"
"20.10766,1989"
"20.12766,1985"
"20.14766,1982"
"20.16766,1986"
"20.18766,1986"
"20.20766,1989"
"20.22766,1993"
"20.24766,1994"
"20.26766,1992"
"20.28766,1992"
"20.30766,1988"
"20.32766,1986"
"20.34766,1987"
"20.36766,1985"
"20.38766,1988"
"20.40766,1991"
"20.42766,1987"
"20.44766,1986"
"20.46766,1984"
"20.48766,1978"
"20.50766,1976"
"20.52766,1974"
"20.54766,1969"
"20.56766,1969"
