"time,FuelCons"
"5.57775,25106"
"5.59775,25118"
"5.61775,25130"
"5.63775,25142"
"5.65775,25154"
"5.67775,25166"
"5.69775,25178"
"5.71775,25189"
"5.73775,25201"
"5.75775,25213"
"5.77775,25225"
"5.79775,25237"
"5.81775,25250"
"5.83675,25262"
"5.85675,25274"
"5.87675,25286"
"5.89675,25297"
"5.91675,25309"
"5.93675,25321"
"5.95675,25333"
"5.97675,25345"
"5.99675,25357"
"6.01675,25369"
"6.03675,25381"
"6.05675,25393"
"6.07675,25405"
"6.09675,25418"
"6.11675,25430"
"6.13675,25442"
"6.15675,25454"
"6.17675,25466"
"6.19675,25478"
"6.21675,25490"
"6.23675,25502"
"6.25675,25514"
"6.27675,25526"
"6.29675,25538"
"6.31675,25550"
"6.33675,25562"
"6.35675,25574"
"6.37675,25586"
"6.39675,25599"
"6.41675,25611"
"6.43675,25624"
"6.45675,25636"
"6.47675,25648"
"6.49675,25661"
"6.51675,25674"
"6.53675,25686"
"6.55675,25699"
"6.57675,25711"
"6.59675,25724"
"6.61675,25737"
"6.63675,25749"
"6.65675,25762"
"6.67675,25775"
"6.69675,25788"
"6.71675,25801"
"6.73675,25814"
"6.75675,25827"
"6.77675,25840"
"6.79675,25853"
"6.81675,25866"
"6.83675,25879"
"6.85675,25892"
"6.87675,25905"
"6.89675,25918"
"6.91675,25931"
"6.93675,25944"
"6.95675,25957"
"6.97675,25970"
"6.99675,25983"
"7.01675,25997"
"7.03675,26010"
"7.05675,26023"
"7.07675,26036"
"7.09675,26049"
"7.11675,26062"
"7.13675,26076"
"7.15675,26089"
"7.17675,26103"
"7.19675,26117"
"7.21675,26131"
"7.23675,26145"
"7.25675,26159"
"7.27675,26173"
"7.29675,26188"
"7.31575,26202"
"7.33575,26217"
"7.35575,26231"
"7.37575,26247"
"7.39575,26262"
"7.41575,26277"
"7.43675,26292"
"7.45575,26308"
"7.47575,26323"
"7.49575,26339"
"7.51575,26354"
"7.53575,26370"
"7.55575,26385"
"7.57575,26402"
"7.59575,26418"
"7.61575,26434"
"7.63575,26450"
"7.65575,26466"
"7.67575,26483"
"7.69575,26500"
"7.71575,26516"
"7.73575,26534"
"7.75575,26551"
"7.77575,26569"
"7.79575,26587"
"7.81575,26605"
"7.83575,26624"
"7.85575,26642"
"7.87575,26661"
"7.89575,26680"
"7.91575,26700"
"7.93575,26720"
"7.95575,26739"
"7.97575,26759"
"7.99575,26779"
"8.01575,26799"
"8.03575,26819"
"8.05575,26839"
"8.07575,26859"
"8.09575,26880"
"8.11575,26900"
"8.13575,26921"
"8.15575,26941"
"8.17575,26962"
"8.19575,26983"
"8.21575,27004"
"8.23575,27025"
"8.25575,27046"
"8.27575,27066"
"8.29575,27087"
"8.31575,27107"
"8.33575,27128"
"8.35575,27148"
"8.37575,27169"
"8.39575,27191"
"8.41575,27212"
"8.43575,27233"
"8.45575,27254"
"8.47575,27275"
"8.49575,27296"
"8.51575,27317"
"8.53575,27339"
"8.55575,27360"
"8.57575,27381"
"8.59575,27402"
"8.61575,27423"
"8.63575,27444"
"8.65575,27465"
"8.67575,27486"
"8.69575,27507"
"8.71575,27528"
"8.73575,27549"
"8.75575,27571"
"8.77575,27592"
"8.79575,27614"
"8.81475,27636"
"8.83475,27658"
"8.85475,27680"
"8.87475,27702"
"8.89475,27724"
"8.91475,27745"
"8.93475,27767"
"8.95475,27789"
"8.97475,27810"
"8.99475,27832"
"9.01475,27854"
"9.03475,27876"
"9.05475,27897"
"9.07475,27919"
"9.09475,27941"
"9.11475,27963"
"9.13475,27984"
"9.15475,28006"
"9.17475,28028"
"9.19475,28049"
"9.21475,28071"
"9.23475,28093"
"9.25475,28115"
"9.27475,28137"
"9.29475,28160"
"9.31475,28182"
"9.33475,28204"
"9.35475,28226"
"9.37475,28248"
"9.39475,28270"
"9.41475,28292"
"9.43475,28314"
"9.45475,28336"
"9.47475,28358"
"9.49475,28380"
"9.51475,28402"
"9.53475,28424"
"9.55475,28447"
"9.57475,28469"
"9.59475,28491"
"9.61475,28513"
"9.63475,28535"
"9.65475,28557"
"9.67475,28579"
"9.69475,28601"
"9.71475,28624"
"9.73475,28646"
"9.75475,28668"
"9.77475,28691"
"9.79475,28713"
"9.81475,28735"
"9.83475,28757"
"9.85475,28779"
"9.87475,28801"
"9.89475,28824"
"9.91475,28846"
"9.93475,28868"
"9.95475,28889"
"9.97475,28912"
"9.99475,28934"
"10.01475,28956"
"10.03475,28979"
"10.05475,29001"
"10.07475,29024"
"10.09475,29046"
"10.11475,29068"
"10.13475,29089"
"10.15475,29111"
"10.17475,29133"
"10.19475,29154"
"10.21475,29174"
"10.23475,29194"
"10.25475,29214"
"10.27475,29234"
"10.29475,29253"
"10.31475,29271"
"10.33475,29290"
"10.35475,29307"
"10.37475,29325"
"10.39475,29343"
"10.41475,29361"
"10.43475,29378"
"10.45375,29394"
"10.47375,29410"
"10.49375,29427"
"10.51375,29443"
"10.53375,29460"
"10.55375,29476"
"10.57375,29491"
"10.59375,29506"
"10.61375,29521"
"10.63375,29536"
"10.65375,29551"
"10.67375,29566"
"10.69375,29580"
"10.71375,29594"
"10.73375,29608"
"10.75375,29621"
"10.77375,29635"
"10.79375,29648"
"10.81375,29661"
"10.83375,29674"
"10.85375,29686"
"10.87375,29698"
"10.89375,29710"
"10.91375,29722"
"10.93375,29734"
"10.95375,29745"
"10.97375,29755"
"10.99375,29767"
"11.01375,29778"
"11.03375,29789"
"11.05375,29799"
"11.07375,29810"
"11.09375,29820"
"11.11375,29830"
"11.13375,29840"
"11.15375,29850"
"11.17375,29860"
"11.19375,29869"
"11.21375,29878"
"11.23375,29887"
"11.25375,29896"
"11.27375,29904"
"11.29375,29913"
"11.31375,29922"
"11.33375,29930"
"11.35375,29939"
"11.37375,29947"
"11.39375,29955"
"11.41375,29963"
"11.43375,29971"
"11.45375,29979"
"11.47375,29986"
"11.49375,29994"
"11.51375,30002"
"11.53375,30010"
"11.55375,30017"
"11.57375,30025"
"11.59375,30032"
"11.61375,30039"
"11.63375,30046"
"11.65375,30053"
"11.67375,30060"
"11.69375,30066"
"11.71375,30071"
"11.73375,30077"
"11.75375,30082"
"11.77375,30087"
"11.79375,30092"
"11.81275,30097"
"11.83275,30103"
"11.85275,30109"
"11.87275,30115"
"11.89275,30121"
"11.91275,30127"
"11.93275,30133"
"11.95275,30139"
"11.97275,30145"
"11.99275,30152"
"12.01275,30158"
"12.03275,30165"
"12.05275,30171"
"12.07275,30177"
"12.09275,30183"
"12.11275,30188"
"12.13275,30193"
"12.15275,30199"
"12.17275,30205"
"12.19275,30210"
"12.21275,30215"
"12.23275,30219"
"12.25275,30224"
"12.27275,30228"
"12.29275,30232"
"12.31275,30236"
"12.33275,30240"
"12.35275,30245"
"12.37275,30249"
"12.39275,30253"
"12.41275,30257"
"12.43275,30262"
"12.45275,30266"
"12.47275,30270"
"12.49275,30275"
"12.51275,30279"
"12.53275,30284"
"12.55275,30289"
"12.57275,30294"
"12.59275,30298"
"12.61275,30303"
"12.63275,30307"
"12.65275,30312"
"12.67275,30316"
"12.69275,30320"
"12.71275,30325"
"12.73275,30330"
"12.75275,30334"
"12.77275,30339"
"12.79275,30344"
"12.81275,30348"
"12.83275,30352"
"12.85275,30357"
"12.87275,30361"
"12.89275,30366"
"12.91275,30370"
"12.93275,30375"
"12.95275,30379"
"12.97275,30383"
"12.99275,30387"
"13.01275,30392"
"13.03275,30397"
"13.05275,30401"
"13.07275,30406"
"13.09275,30411"
"13.11275,30415"
"13.13275,30419"
"13.15275,30424"
"13.17275,30429"
"13.19275,30434"
"13.21275,30438"
"13.23275,30443"
"13.25275,30448"
"13.27275,30453"
"13.29275,30457"
"13.31175,30462"
