time,GRAAccel
-0.00125,0
0.01875,0
0.03875,0
0.05875,0
0.07875,0
0.09875,0
0.11975,0
0.13875,0
0.15875,0
0.17875,0
0.19875,0
0.21875,0
0.23875,0
0.25875,0
0.27875,0
0.29875,0
0.31875,0
0.33875,0
0.35875,0
0.37875,0
0.39875,0
0.41875,0
0.43875,0
0.45875,0
0.47875,0
0.49875,0
0.51875,0
0.53875,0
0.55875,0
0.57875,0
0.59875,0
0.61875,0
0.63875,0
0.65875,0
0.67875,0
0.69875,0
0.71875,0
0.73875,0
0.75875,0
0.77875,0
0.79875,0
0.81875,0
0.83875,0
0.85875,0
0.87875,0
0.89875,0
0.91875,0
0.93875,0
0.95875,0
0.97875,0
0.99875,0
1.01875,0
1.03875,0
1.05875,0
1.07875,0
1.09875,0
1.11875,0
1.13875,0
1.15875,0
1.17875,0
1.19875,0
1.21875,0
1.23875,0
1.25875,0
1.27875,0
1.29875,0
1.31875,0
1.33875,0
1.35875,0
1.37875,0
1.39875,0
1.41775,0
1.43875,0
1.45875,0
1.47775,0
1.49775,0
1.51875,0
1.53775,0
1.55775,0
1.57775,0
1.59875,0
1.61775,0
1.63775,0
1.65775,0
1.67775,0
1.69775,0
1.71775,0
1.73775,0
1.75775,0
1.77775,0
1.79775,0
1.81775,0
1.83775,0
1.85775,0
1.87775,0
1.89775,0
1.91775,0
1.93775,0
1.95775,0
1.97775,0
1.99775,0
2.01775,0
2.03775,0
2.05775,0
2.07775,0
2.09775,0
2.11775,0
2.13775,0
2.15775,0
2.17775,0
2.19775,0
2.21775,0
2.23775,0
2.25775,0
2.27775,0
2.29775,0
2.31775,0
2.33775,0
2.35775,0
2.37775,0
2.39775,0
2.41775,0
2.43775,0
2.45775,0
2.47775,0
2.49775,0
2.51775,0
2.53775,0
2.55775,0
2.57775,0
2.59775,0
2.61775,0
2.63775,0
2.65775,0
2.67775,0
2.69775,0
2.71775,0
2.73775,0
2.75775,0
2.77775,0
2.79775,0
2.81675,0
2.83675,0
2.85675,0
2.87675,0
2.89675,0
2.91775,0
2.93675,0
2.95675,0
2.97675,0
2.99775,0
3.01675,0
3.03675,0
3.05675,0
3.07675,0
3.09675,0
3.11675,0
3.13675,0
3.15675,0
3.17675,0
3.19675,0
3.21675,0
3.23675,0
3.25675,0
3.27675,0
3.29675,0
3.31675,0
3.33675,0
3.35675,0
3.37675,0
3.39675,0
3.41675,0
3.43675,0
3.45675,0
3.47675,0
3.49675,0
3.51675,0
3.53675,0
3.55675,0
3.57675,0
3.59675,0
3.61675,0
3.63675,0
3.65675,0
3.67675,0
3.69675,0
3.71675,0
3.73675,0
3.75675,0
3.77675,0
3.79675,0
3.81675,0
3.83675,0
3.85675,0
3.87675,0
3.89675,0
3.91675,0
3.93675,0
3.95675,0
3.97675,0
3.99675,0
4.01675,0
4.03675,0
4.05675,0
4.07675,0
4.09675,0
4.11675,0
4.13675,0
4.15675,0
4.17675,0
4.19675,0
4.21675,0
4.23675,0
4.25675,0
4.27675,0
4.29675,0
4.31575,0
4.33575,0
4.35575,0
4.37575,0
4.39575,0
4.41575,0
4.43575,0
4.45675,0
4.47675,0
4.49575,0
4.51575,0
4.53575,0
4.55575,0
4.57575,0
4.59575,0
4.61575,0
4.63575,0
4.65575,0
4.67575,0
4.69575,0
4.71575,0
4.73575,0
4.75575,0
4.77575,0
4.79575,0
4.81575,0
4.83575,0
4.85575,0
4.87575,0
4.89575,0
4.91575,0
4.93575,0
4.95575,0
4.97575,0
4.99575,0
5.01575,0
5.03575,0
5.05575,0
5.07575,0
5.09575,0
5.11575,0
5.13575,0
5.15575,0
5.17575,0
5.19575,0
5.21575,0
5.23575,0
5.25575,0
5.27575,0
5.29575,0
5.31575,0
5.33575,0
5.35575,0
5.37575,0
5.39575,0
5.41575,0
5.43575,0
5.45575,0
5.47575,0
5.49575,0
5.51575,0
5.53575,0
5.55575,0
5.57575,0
5.59575,0
5.61575,0
5.63575,0
5.65575,0
5.67575,0
5.69575,0
5.71575,0
5.73575,0
5.75575,0
5.77575,0
5.79575,0
5.81475,0
5.83475,0
5.85475,0
5.87475,0
5.89475,0
5.91475,0
5.93475,0
5.95475,0
5.97475,0
5.99475,0
6.01475,0
6.03475,0
6.05475,0
6.07475,0
6.09475,0
6.11475,0
6.13475,0
6.15475,0
6.17475,0
6.19475,0
6.21475,0
6.23475,0
6.25475,0
6.27475,0
6.29475,0
6.31475,0
6.33475,0
6.35475,0
6.37475,0
6.39475,0
6.41475,0
6.43475,0
6.45475,0
6.47475,0
6.49475,0
6.51475,0
6.53475,0
6.55475,0
6.57475,0
6.59475,0
6.61475,0
6.63475,0
6.65475,0
6.67475,0
6.69475,0
6.71475,0
6.73475,0
6.75475,0
6.77475,0
6.79475,0
6.81475,0
6.83475,0
6.85475,0
6.87475,0
6.89475,0
6.91475,0
6.93475,0
6.95475,0
6.97475,0
6.99475,0
7.01475,0
7.03475,0
7.05475,0
7.07475,0
7.09475,0
7.11475,0
7.13475,0
7.15475,0
7.17475,0
7.19475,0
7.21475,0
7.23475,0
7.25475,0
7.27475,0
7.29475,0
7.31475,0
7.33475,0
7.35375,0
7.37475,0
7.39375,0
7.41375,0
7.43375,0
7.45375,0
7.47375,0
7.49375,0
7.51375,0
7.53375,0
7.55475,0
7.57375,0
7.59375,0
7.61375,0
7.63375,0
7.65375,0
7.67375,0
7.69375,0
7.71375,0
7.73375,0
7.75375,0
7.77375,0
7.79375,0
7.81375,0
7.83375,0
7.85375,0
7.87375,0
7.89375,0
7.91375,0
7.93375,0
7.95375,0
7.97375,0
7.99375,0
8.01375,0
8.03375,0
8.05375,0
8.07375,0
8.09375,0
8.11375,0
8.13375,0
8.15375,0
8.17375,0
8.19375,0
8.21375,0
8.23375,0
8.25375,0
8.27375,0
8.29375,0
8.31375,0
8.33375,0
8.35375,0
8.37375,0
8.39375,0
8.41375,0
8.43375,0
8.45375,0
8.47375,0
8.49375,0
8.51375,0
8.53375,0
8.55375,0
8.57375,0
8.59375,0
8.61375,0
8.63375,0
8.65375,0
8.67375,0
8.69375,0
8.71375,0
8.73375,0
8.75375,0
8.77375,0
8.79375,0
8.81275,0
8.83275,0
8.85275,0
8.87275,0
8.89275,0
8.91275,0
8.93375,0
8.95275,0
8.97275,0
8.99275,0
9.01275,0
9.03275,0
9.05275,0
9.07275,0
9.09275,0
9.11275,0
9.13275,0
9.15275,0
9.17275,0
9.19275,0
9.21275,0
9.23275,0
9.25275,0
9.27275,0
9.29275,0
9.31275,0
9.33275,0
9.35275,0
9.37275,0
9.39275,0
