time,AccSignl
7.234844,24.8
7.254844,24.8
7.274844,24.8
7.294844,24.8
7.314844,25.2
7.333844,25.2
7.354844,25.2
7.373844,25.2
7.393844,25.6
7.414844,26
7.433844,26
7.453844,26
7.473844,26
7.493844,26
7.514844,26.8
7.533844,26.8
7.554844,26.8
7.573844,27.2
7.594844,27.6
7.613844,28.4
7.633844,28.8
7.653844,29.6
7.673844,30
7.693844,30.8
7.713844,31.2
7.733844,31.6
7.753844,31.6
7.773844,31.6
7.793844,32
7.813844,32
7.833844,32
7.853844,32
7.873844,32
7.894844,32
7.913844,32.4
7.933844,32.4
7.953844,32.4
7.973844,32.4
7.993844,32.4
8.013844,33.2
8.033844,33.2
8.053843,33.2
8.073844,33.2
8.093843,33.2
8.113844,33.2
8.133843,33.2
8.153844,33.2
8.173843,33.2
8.193844,33.2
8.213843,33.2
8.233844,33.2
8.253843,33.2
8.273844,33.2
8.293844,33.2
8.313844,33.2
8.333844,33.2
8.353844,33.2
8.373844,33.2
8.393844,33.6
8.413844,33.6
8.433844,34
8.453844,34
8.473844,34
8.493844,34
8.513844,34
8.533844,34
8.553843,34
8.573844,34
8.593843,34
8.613844,34
8.633843,34
8.653844,34
8.673843,34
8.693844,34
8.713843,34
8.733844,34
8.753843,34
8.773844,34
8.793844,34
8.813844,34
8.832844,34
8.852843,34
8.872844,34
8.892844,34
8.912844,34
8.932844,34
8.952844,34
8.972844,34
8.992844,34
9.012844,34
9.032844,34
9.052844,34
9.072844,34
9.092844,34
9.112844,34
9.132844,34
9.152843,34
9.172844,34
9.192843,34
9.212844,34
9.232843,34
9.252844,34
9.272843,34
9.292844,34
9.312843,34
9.332844,34
9.352843,34
9.372844,34
9.392844,34
9.412844,34
9.432844,34
9.452844,34
9.472844,34
9.492844,34
9.512844,34
9.532844,34
9.552844,34
9.572844,34
9.592844,34
9.612844,34
9.632844,34
9.652843,34
9.672844,34
9.692843,34
9.712844,34
9.732843,34
9.752844,34
9.772843,34
9.792844,34
9.812843,34
9.832844,34
9.852843,34
9.872844,34
9.892844,33.6
9.912844,32.8
9.932844,32.8
9.952844,32.8
9.972844,32.8
9.992844,32.8
10.01284,32.8
10.03284,32
10.05284,32
10.07284,31.6
10.09284,31.6
10.11284,31.2
10.13284,30.8
10.15284,30
10.17284,28.8
10.19284,28.8
10.21284,28.4
10.23284,28.4
10.25284,28.4
10.27284,27.6
10.29284,27.2
10.31284,27.2
10.33184,26.8
10.35184,26.8
10.37184,26.4
10.39184,26.4
10.41184,26.4
10.43184,26
10.45184,26
10.47184,25.6
10.49184,24.8
10.51184,24
10.53184,23.6
10.55184,23.6
10.57184,23.2
10.59184,22.8
10.61184,22
10.63184,22
10.65184,22
10.67184,21.6
10.69184,21.2
10.71184,21.2
10.73184,20.8
10.75184,20.8
10.77184,20.8
10.79184,20.4
10.81184,20.4
10.83184,20.4
10.85184,20.4
10.87184,20.4
10.89184,20.4
10.91184,20
10.93184,20
10.95184,20
10.97184,20
10.99184,19.2
11.01184,19.2
11.03184,18.4
11.05184,18
11.07184,18
11.09184,17.6
11.11184,16.8
11.13184,16
11.15184,16
11.17184,15.2
11.19184,15.2
11.21184,15.2
11.23184,15.2
11.25184,15.2
11.27184,15.2
11.29184,14.8
11.31184,14.8
11.33184,14.8
11.35184,14.8
11.37184,14.4
11.39184,14.4
11.41184,14.4
11.43184,14.4
11.45184,14.4
11.47184,14
11.49184,14
11.51184,14
11.53184,14
11.55184,13.6
11.57184,13.6
11.59184,13.6
11.61184,13.2
11.63184,13.2
11.65184,13.2
11.67184,13.2
11.69184,13.2
11.71184,13.2
11.73184,13.2
11.75184,13.2
11.77184,13.2
11.79184,13.2
11.81184,12.4
11.83184,12.4
11.85184,12.4
11.87184,12
11.89184,12
11.91084,11.6
11.93084,11.6
11.95084,11.6
11.97084,11.6
11.99084,11.2
12.01084,10.8
12.03084,10.8
12.05084,10.8
12.07084,10.8
12.09084,10.8
12.11084,10.8
12.13084,10.8
12.15084,10
12.17084,10
12.19084,10
12.21084,10
12.23084,10
12.25084,10
12.27084,10
12.29084,10
12.31084,10
12.33084,10
12.35084,10
12.37084,10
12.39084,10
12.41084,10
12.43084,10
12.45084,10
12.47084,10
12.49084,10
12.51084,10
12.53084,10
12.55084,10
12.57084,10
12.59084,10
12.61084,10
12.63084,10
12.65084,10
12.67084,10
12.69084,10
12.71084,10
12.73084,10
12.75084,10
12.77084,10
12.79084,10
12.81084,10
12.83084,10
12.85084,10
12.87084,10
12.89084,10
12.91084,10
12.93084,10
12.95084,10
12.97084,10
12.99084,10
13.01084,10
13.03084,10
13.05084,10
13.07084,10
13.09084,10
13.11084,10
13.13084,10
13.15084,10
13.17084,10
13.19084,10
13.21084,10
13.23084,10
13.25084,10
13.27084,10
13.29084,10
13.31084,10
13.33084,10
13.35084,10
13.36984,10
13.39084,10
13.41084,10
13.43084,10
13.44984,10
13.47084,10
13.48984,10
13.51084,10
13.52984,10
13.54984,10
13.56984,10
13.58984,10.4
13.60984,10.4
13.62984,10.4
13.64984,10.4
13.66984,10.8
13.68984,10.8
13.70984,10.8
13.72984,11.2
13.74984,11.6
13.76984,11.6
13.78984,12.4
13.80984,13.2
13.82984,13.6
13.84984,13.6
13.86984,14
13.88984,14
13.90984,14.4
13.92984,14.4
13.94984,14.4
13.96984,14.4
13.98984,14.8
14.00984,16
14.02984,16.4
14.04984,17.2
14.06984,18
14.08984,18
14.10984,19.2
14.12984,20.4
14.14984,20.4
14.16984,21.2
14.18984,21.2
14.20984,21.6
14.22984,22
14.24984,23.2
14.26984,24
14.28984,24
14.30984,24
14.32984,24.4
14.34984,24.8
14.36984,24.8
14.38984,24.8
14.40984,24.8
14.42984,25.2
14.44984,25.2
14.46984,26.8
14.48984,27.2
14.50984,27.2
14.52984,28
14.54984,28.4
14.56984,28.8
14.58984,28.8
14.60984,28.8
14.62984,28.8
14.64984,29.6
14.66984,29.6
14.68984,30
14.70984,30.8
14.72984,31.6
14.74984,31.6
14.76984,33.2
14.78984,33.2
14.80984,33.6
14.82884,34
14.84884,34.4
14.86884,35.2
14.88884,36
14.90884,36.4
14.92884,37.2
14.94984,37.2
14.96984,38
14.98884,38.4
15.00884,38.4
15.02884,39.2
15.04884,39.2
15.06884,40.4
15.08884,41.2
15.10884,42.4
15.12884,42.8
15.14884,42.8
15.16884,43.6
15.18884,43.6
15.20884,44
15.22884,44
15.24884,44.4
15.26884,44.4
15.28884,44.8
15.30884,45.2
15.32884,46
15.34884,46
15.36884,47.2
15.38884,47.2
15.40884,47.6
15.42884,47.6
15.44884,48
15.46884,48
15.48884,48.4
15.50884,48.4
15.52884,49.2
15.54884,49.2
15.56884,49.2
15.58884,49.2
15.60884,49.2
15.62884,49.2
15.64884,49.2
15.66884,50
15.68884,50.4
15.70884,50.8
15.72884,50.8
15.74884,52
15.76884,52
15.78884,52.4
15.80884,53.2
15.82884,53.2
15.84884,54
15.86884,54
15.88884,54
15.90884,54
15.92884,54
15.94884,54
15.96884,54
15.98884,54
16.00884,54
16.02884,54
16.04884,54
16.06884,54
16.08884,54
16.10884,54
16.12884,54
16.14884,54
16.16884,54
16.18884,54
16.20884,54
16.22884,54
16.24884,54
16.26884,54
16.28884,54
16.30884,54
16.32784,54
16.34784,54
16.36784,54
16.38784,54
16.40784,54
16.42784,54
16.44784,54
16.46784,54
16.48784,54
16.50784,54
16.52784,54
16.54784,54
16.56784,54
16.58784,54
16.60784,54
16.62784,53.6
16.64784,53.6
16.66784,53.2
16.68784,53.2
16.70784,53.2
16.72784,53.2
16.74784,53.2
16.76784,53.2
16.78784,53.2
16.80784,53.2
16.82784,53.2
16.84784,53.2
16.86784,53.2
16.88784,53.2
16.90784,53.2
16.92784,53.2
16.94784,53.2
16.96784,53.2
16.98784,53.2
17.00784,53.2
17.02784,53.2
17.04784,53.2
17.06784,53.2
17.08784,53.2
17.10784,53.2
17.12784,53.2
17.14784,53.2
17.16784,53.2
17.18784,53.2
17.20784,53.2
17.22784,53.2
17.24784,53.2
17.26784,53.2
17.28784,53.2
17.30784,53.2
17.32784,53.2
17.34784,53.2
17.36784,53.2
17.38784,53.2
17.40784,53.2
17.42784,53.2
17.44784,53.2
17.46784,53.2
17.48784,53.2
17.50784,53.2
17.52784,53.2
17.54784,53.2
17.56784,53.2
17.58784,53.2
17.60784,53.2
17.62784,53.2
17.64784,53.2
17.66784,53.2
17.68784,53.2
17.70784,53.2
17.72784,53.2
17.74784,53.2
17.76784,53.2
17.78784,53.2
17.80784,53.2
17.82684,53.2
17.84684,53.2
17.86684,52.4
17.88684,52.4
17.90684,51.2
17.92684,50.8
17.94784,50.8
17.96684,50.4
17.98684,50.4
18.00684,49.6
18.02684,49.2
18.04784,49.2
18.06784,48
18.08684,48
18.10684,47.6
18.12684,47.6
18.14684,47.6
18.16684,47.2
18.18684,46.8
18.20684,46.8
18.22684,46.8
18.24684,46.8
18.26684,46.4
18.28684,46.4
18.30684,46.4
18.32684,46.4
18.34684,46.4
18.36684,46.4
18.38684,46.4
18.40684,46.4
18.42684,46.4
18.44684,46.4
18.46684,46.4
18.48684,46.4
18.50684,46.4
18.52684,46.4
18.54684,46.4
18.56684,46.4
18.58684,46.4
18.60684,46.4
18.62684,46.4
18.64684,46.4
18.66684,46.4
18.68684,46.4
18.70684,46.4
18.72684,46.4
18.74684,46.4
18.76684,46.4
18.78684,46.4
18.80684,46.4
18.82684,45.6
18.84684,45.2
18.86684,45.2
18.88684,45.2
18.90684,45.2
18.92684,44.8
18.94684,44.8
18.96684,44.8
18.98684,44.8
19.00684,44.8
19.02684,44.8
19.04684,44.8
19.06684,44.8
19.08684,44.8
19.10684,44.8
19.12684,44.8
19.14684,44.8
19.16684,44.8
19.18684,44.4
19.20684,44.4
19.22684,44.4
19.24684,44.4
