"time,AccPedal"
"5.916656,19.2"
"5.936656,19.2"
"5.956656,19.2"
"5.976656,19.2"
"5.996656,19.2"
"6.016656,19.2"
"6.036656,19.6"
"6.056656,19.6"
"6.076656,19.6"
"6.096656,19.6"
"6.116656,19.6"
"6.136656,19.6"
"6.156656,19.6"
"6.176656,19.6"
"6.196656,19.6"
"6.216656,20"
"6.236656,20"
"6.256656,20"
"6.276656,20"
"6.296656,20.4"
"6.316656,20.4"
"6.336656,20.4"
"6.356656,20.4"
"6.376656,20.8"
"6.396656,20.8"
"6.416656,20.8"
"6.436656,20.8"
"6.456656,20.8"
"6.476656,21.2"
"6.496656,21.2"
"6.516656,21.2"
"6.536656,21.2"
"6.556656,21.2"
"6.576656,21.2"
"6.596656,21.2"
"6.616656,21.2"
"6.636656,21.2"
"6.656656,21.2"
"6.676656,21.2"
"6.696656,21.2"
"6.716656,21.2"
"6.736656,21.2"
"6.756656,21.2"
"6.776656,21.2"
"6.796656,21.6"
"6.816656,21.6"
"6.836656,21.6"
"6.856656,21.6"
"6.876656,21.6"
"6.896656,21.6"
"6.916656,21.6"
"6.936656,22"
"6.956656,22"
"6.976656,22.4"
"6.996656,22.4"
"7.016656,22.8"
"7.036656,22.8"
"7.056656,22.8"
"7.076656,23.2"
"7.096656,23.2"
"7.116656,23.6"
"7.136656,23.6"
"7.156656,24"
"7.176656,24"
"7.196656,24.4"
"7.216656,24.4"
"7.236656,24.4"
"7.256656,24.4"
"7.276656,24.8"
"7.295656,24.8"
"7.315656,24.8"
"7.335656,24.8"
"7.355656,25.2"
"7.375656,25.2"
"7.395656,25.2"
"7.415656,25.6"
"7.435656,25.6"
"7.455656,25.6"
"7.475656,26"
"7.495656,26"
"7.515656,26"
"7.535656,26.4"
"7.555656,26.4"
"7.575656,26.8"
"7.595656,27.2"
"7.615656,27.6"
"7.635656,28"
"7.655656,28.4"
"7.675656,29.2"
"7.695656,29.6"
"7.715656,30"
"7.735656,30.8"
"7.755656,30.8"
"7.775656,31.2"
"7.795656,31.6"
"7.815656,31.6"
"7.835656,32"
"7.855656,32"
"7.875656,32"
"7.895656,32"
"7.915656,32"
"7.935656,32"
"7.955656,32.4"
"7.975656,32.4"
"7.995656,32.4"
"8.015656,32.8"
"8.035656,32.8"
"8.055656,32.8"
"8.075656,32.8"
"8.095656,33.2"
"8.115656,33.2"
"8.135656,33.2"
"8.155656,33.2"
"8.175656,33.2"
"8.195656,33.2"
"8.215656,33.2"
"8.235656,33.2"
"8.255656,33.2"
"8.275657,33.2"
"8.295656,33.2"
"8.315657,33.2"
"8.335656,33.2"
"8.355657,33.2"
"8.375656,33.2"
"8.395657,33.2"
"8.415656,33.6"
"8.435657,33.6"
"8.455656,33.6"
"8.475657,33.6"
"8.495656,33.6"
"8.515656,34"
"8.535656,34"
"8.555656,34"
"8.575656,34"
"8.595656,34"
"8.615656,34"
"8.635656,34"
"8.655656,34"
"8.675656,34"
"8.695656,34"
"8.715656,34"
"8.735656,34"
"8.755656,34"
"8.774656,34"
"8.794656,34"
"8.814656,34"
"8.834657,34"
"8.854656,34"
"8.874657,34"
"8.894656,34"
"8.914657,34"
