"time,WheelSpd"
"2.514656,194.95"
"2.524656,210"
"2.534656,194.95"
"2.544656,194.95"
"2.554656,179.9"
"2.564656,179.9"
"2.574656,179.9"
"2.584656,164.85"
"2.595656,164.85"
"2.605656,164.85"
"2.615656,164.85"
"2.625656,149.975"
"2.635656,149.975"
"2.645656,149.975"
"2.655656,149.975"
"2.665656,149.975"
"2.675656,149.975"
"2.685656,134.925"
"2.695656,149.975"
"2.705656,134.925"
"2.715656,134.925"
"2.725656,134.925"
"2.735656,119.875"
"2.745656,119.875"
"2.755656,119.875"
"2.765656,105"
"2.775656,105"
"2.785656,119.875"
"2.795656,89.95"
"2.805656,105"
"2.815656,89.95"
"2.825656,74.9"
"2.835656,89.95"
"2.845656,89.95"
"2.855656,74.9"
"2.865656,74.9"
"2.875656,59.85"
"2.885656,59.85"
"2.895656,59.85"
"2.905656,44.975"
"2.915656,59.85"
"2.925656,59.85"
"2.935656,44.975"
"2.946656,29.925"
"2.956656,44.975"
"2.965656,59.85"
"2.976656,59.85"
"2.986656,44.975"
"2.996656,44.975"
"3.006656,59.85"
"3.016656,44.975"
"3.026656,44.975"
"3.036656,59.85"
"3.046656,59.85"
"3.056656,44.975"
"3.066656,44.975"
"3.076656,44.975"
"3.086656,44.975"
"3.096656,44.975"
"3.106656,44.975"
"3.116656,44.975"
"3.126656,44.975"
"3.136656,29.925"
"3.146656,44.975"
"3.156656,44.975"
"3.166656,0"
"3.176656,0"
"3.186656,0"
"3.196656,0"
"3.206656,0"
"3.216656,-14.875"
"3.226656,-14.875"
"3.236656,-14.875"
"3.246656,-14.875"
"3.256656,-29.925"
"3.266656,-29.925"
"3.276656,-44.975"
"3.286656,-44.975"
"3.296656,-59.85"
"3.306656,-59.85"
"3.316656,-59.85"
"3.326656,-74.9"
"3.336656,-74.9"
"3.346656,-89.95"
"3.356656,-89.95"
"3.367656,-89.95"
"3.377656,-89.95"
"3.387656,-105"
"3.397656,-89.95"
"3.407656,-105"
"3.417656,-105"
"3.427656,-89.95"
"3.437656,-105"
"3.447656,-89.95"
"3.457656,-74.9"
"3.467656,-89.95"
"3.477656,-89.95"
"3.487656,-74.9"
"3.497656,-74.9"
"3.507656,-74.9"
"3.517656,-59.85"
"3.527656,-59.85"
"3.537656,-44.975"
"3.547656,-44.975"
"3.557656,-44.975"
"3.567656,-29.925"
"3.577656,-14.875"
"3.587656,-14.875"
"3.597656,0"
"3.607656,0"
"3.617656,0"
"3.627656,0"
"3.637656,14.875"
"3.647656,14.875"
"3.657656,14.875"
"3.667656,29.925"
"3.677656,29.925"
"3.687656,29.925"
"3.697656,44.975"
"3.707656,44.975"
"3.717656,44.975"
"3.727656,59.85"
"3.737656,44.975"
"3.747656,44.975"
"3.758656,59.85"
"3.768656,44.975"
"3.778656,44.975"
"3.788656,59.85"
"3.798656,59.85"
"3.808656,59.85"
"3.818656,59.85"
"3.828656,44.975"
"3.838656,59.85"
"3.848656,59.85"
"3.858656,44.975"
"3.868656,59.85"
"3.878656,59.85"
"3.888656,44.975"
"3.898656,29.925"
"3.908656,44.975"
"3.918656,44.975"
"3.928656,44.975"
"3.938656,44.975"
"3.948656,44.975"
"3.958656,44.975"
"3.968656,29.925"
"3.978656,29.925"
"3.988656,29.925"
"3.998656,29.925"
"4.008656,14.875"
"4.018656,14.875"
"4.028656,14.875"
"4.038656,0"
"4.048656,0"
"4.058656,0"
"4.068656,0"
"4.078656,14.875"
"4.089656,14.875"
"4.098656,14.875"
"4.108656,14.875"
"4.118656,14.875"
"4.128656,14.875"
"4.138656,14.875"
"4.149656,0"
"4.159656,0"
"4.169656,0"
"4.179656,0"
"4.189656,0"
"4.199656,0"
"4.209656,0"
"4.219656,0"
"4.229656,0"
"4.239656,0"
"4.249656,14.875"
"4.259656,14.875"
"4.269656,14.875"
"4.279656,14.875"
"4.289656,14.875"
"4.299656,29.925"
"4.309656,29.925"
"4.319656,29.925"
"4.329656,29.925"
"4.339656,44.975"
"4.349656,29.925"
"4.359656,29.925"
"4.369656,44.975"
"4.379656,44.975"
"4.389656,59.85"
"4.399656,44.975"
"4.409656,44.975"
"4.419656,59.85"
"4.429656,59.85"
"4.439656,44.975"
"4.449656,59.85"
"4.459656,59.85"
"4.469656,44.975"
"4.479656,59.85"
"4.489656,44.975"
"4.500656,59.85"
"4.509656,59.85"
"4.520656,44.975"
"4.529656,44.975"
"4.540656,44.975"
"4.550656,29.925"
"4.560656,29.925"
"4.570656,44.975"
"4.580656,29.925"
"4.590656,29.925"
"4.600656,14.875"
"4.610656,0"
"4.620656,0"
"4.630656,0"
"4.640656,0"
"4.650656,0"
"4.660656,0"
"4.670656,0"
"4.680656,0"
"4.690656,0"
"4.700656,0"
"4.710656,-14.875"
"4.720656,-14.875"
"4.730656,-14.875"
"4.740656,-29.925"
"4.750656,-29.925"
"4.760656,-29.925"
"4.770656,-29.925"
"4.780656,-29.925"
"4.790656,-29.925"
"4.800656,-29.925"
"4.810656,-14.875"
"4.820656,-14.875"
"4.830656,-14.875"
"4.840656,0"
"4.851656,0"
"4.860656,0"
"4.871656,14.875"
"4.880656,14.875"
"4.891656,14.875"
"4.900656,14.875"
"4.911656,14.875"
"4.921656,29.925"
"4.931656,29.925"
"4.941656,29.925"
"4.951656,29.925"
"4.961656,29.925"
"4.971656,29.925"
"4.981656,29.925"
"4.991656,29.925"
"5.001656,29.925"
"5.011656,29.925"
"5.021656,14.875"
"5.031656,14.875"
"5.041656,14.875"
"5.051656,14.875"
"5.061656,14.875"
"5.071656,0"
"5.081656,0"
"5.091656,0"
"5.101656,0"
"5.111656,0"
"5.121656,0"
"5.131656,0"
"5.141656,0"
"5.151656,0"
"5.161656,0"
"5.171656,0"
"5.181656,-14.875"
"5.191656,-14.875"
"5.201656,-14.875"
"5.211656,-29.925"
"5.221656,-29.925"
"5.231656,-29.925"
"5.241656,-44.975"
"5.251656,-44.975"
"5.261656,-44.975"
"5.271656,-44.975"
"5.281656,-44.975"
"5.292656,-44.975"
"5.302656,-44.975"
"5.312656,-29.925"
"5.322656,-29.925"
"5.332656,-44.975"
"5.342656,-29.925"
"5.352656,-29.925"
"5.362656,-29.925"
"5.372656,-29.925"
"5.382656,-14.875"
"5.392656,-14.875"
"5.402656,-14.875"
"5.412656,-14.875"
"5.422656,-14.875"
"5.432656,0"
"5.442656,0"
"5.452656,0"
"5.462656,0"
"5.472656,0"
"5.482656,0"
"5.492656,0"
"5.502656,0"
"5.512656,0"
"5.522656,0"
"5.532656,0"
"5.542656,0"
"5.552656,0"
"5.562656,0"
"5.572656,0"
"5.582656,0"
"5.592656,0"
"5.602656,0"
"5.612656,0"
"5.622656,0"
"5.632656,0"
"5.643656,0"
"5.652656,0"
"5.663656,0"
"5.672656,0"
"5.683656,0"
"5.692656,0"
"5.703656,0"
"5.713656,0"
"5.723656,0"
"5.733656,0"
"5.743656,0"
"5.753656,0"
"5.763656,0"
"5.773656,0"
"5.783656,-14.875"
"5.793656,-14.875"
"5.803656,-14.875"
"5.813656,-14.875"
"5.823656,-14.875"
"5.833656,-14.875"
"5.843656,-29.925"
"5.853656,-29.925"
"5.863656,-29.925"
"5.873656,-29.925"
"5.883656,-14.875"
"5.893656,-14.875"
"5.903656,-14.875"
"5.913656,-29.925"
"5.923656,-29.925"
"5.933656,-29.925"
"5.943656,-14.875"
"5.953656,-14.875"
"5.963656,-29.925"
"5.973656,-29.925"
"5.983656,-29.925"
"5.993656,-29.925"
"6.003656,-44.975"
"6.013656,-29.925"
"6.023656,-29.925"
