"time,FuelTank"
"0.00165625,52"
"0.02165625,52"
"0.04165625,52"
"0.06165625,52"
"0.1016563,52"
"0.1216562,52"
"0.1416562,52"
"0.1606562,52"
"0.1806563,52"
"0.2016563,52"
"0.2216562,52"
"0.2416562,52"
"0.2616563,52"
"0.2816562,52"
"0.3016562,52"
"0.3216563,52"
"0.3416562,52"
"0.3616562,52"
"0.3816563,52"
"0.4016562,52"
"0.4216563,52"
"0.4416563,52"
"0.4616562,52"
"0.4816563,52"
"0.5016562,52"
"0.5206562,52"
"0.5416563,52"
"0.5606562,52"
"0.5816563,52"
"0.6016563,52"
"0.6206563,52"
"0.6416563,52"
"0.6606563,52"
"0.6806563,52"
"0.7016562,52"
"0.7206563,52"
"0.7416562,52"
"0.7606562,52"
"0.7806563,52"
"0.8016562,52"
"0.8216562,52"
"0.8416563,52"
"0.8616562,52"
"0.8816562,52"
"0.9016563,52"
"0.9216563,52"
"0.9416562,52"
"0.9616563,52"
"0.9816563,52"
"1.001656,52"
"1.021656,52"
"1.041656,52"
"1.061656,52"
"1.081656,52"
"1.101656,52"
"1.121656,52"
"1.141656,52"
"1.161656,52"
"1.181656,52"
"1.201656,52"
"1.221656,52"
"1.241656,52"
"1.261656,52"
"1.281656,52"
"1.301656,52"
"1.320656,52"
"1.341656,52"
"1.360656,52"
"1.381656,52"
"1.401656,52"
"1.420656,52"
"1.441656,52"
"1.460656,52"
"1.480656,52"
"1.501656,52"
"1.521656,52"
"1.541656,52"
"1.560656,52"
"1.581656,52"
"1.601656,52"
"1.620656,52"
"1.641656,52"
"1.660656,52"
"1.681656,52"
"1.700656,52"
"1.720656,52"
"1.741656,52"
"1.761656,52"
"1.781656,52"
"1.801656,52"
"1.821656,52"
"1.841656,52"
"1.861656,52"
"1.881656,52"
"1.901656,52"
"1.921656,52"
"1.941656,52"
"1.961656,52"
"1.981656,52"
"2.001656,52"
"2.021656,52"
"2.041656,52"
"2.061656,52"
"2.081656,52"
"2.101656,52"
"2.120656,52"
"2.141656,52"
"2.160656,52"
"2.181656,52"
"2.201656,52"
"2.220656,52"
"2.241656,52"
"2.260656,52"
"2.280656,52"
"2.302656,52"
"2.320656,52"
"2.341656,52"
"2.361656,52"
"2.380656,52"
"2.401656,52"
"2.420656,52"
"2.441656,52"
"2.460656,52"
"2.480656,52"
"2.501656,52"
"2.520656,52"
"2.541656,52"
"2.561656,52"
"2.581656,52"
"2.601656,52"
"2.621656,52"
"2.641656,52"
"2.661656,52"
"2.681656,52"
"2.701656,52"
"2.721656,52"
"2.741656,52"
"2.761656,52"
"2.781656,52"
"2.801656,52"
"2.821656,52"
"2.841656,52"
"2.861656,52"
"2.881656,52"
"2.901656,52"
"2.920656,52"
"2.941656,52"
"2.961656,52"
"2.981656,52"
"3.001656,52"
"3.021656,52"
"3.041656,52"
"3.061656,52"
"3.081656,52"
"3.101656,52"
"3.121656,52"
"3.141656,52"
"3.161656,52"
"3.180656,52"
"3.201656,52"
"3.220656,52"
"3.241656,52"
"3.261656,52"
"3.280656,52"
"3.301656,52"
"3.321656,52"
"3.341656,52"
"3.361656,52"
"3.381656,52"
"3.401656,52"
"3.421656,52"
"3.441656,52"
"3.461656,52"
"3.481656,52"
"3.501656,52"
"3.521656,52"
"3.541656,52"
"3.561656,52"
"3.581656,52"
"3.601656,52"
"3.621656,52"
"3.641656,52"
"3.660656,52"
"3.681656,52"
"3.701656,52"
"3.720656,52"
"3.741656,52"
"3.760656,52"
"3.781656,52"
"3.801656,52"
"3.820656,52"
"3.841656,52"
"3.860656,52"
"3.881656,52"
"3.900656,52"
"3.920656,52"
"3.941656,52"
"3.960656,52"
"3.981656,52"
"4.001656,52"
"4.020656,52"
"4.041656,52"
"4.060656,52"
"4.080656,52"
"4.101656,52"
"4.121656,52"
"4.141656,52"
"4.161656,52"
"4.181656,52"
"4.201656,52"
"4.221656,52"
"4.241656,52"
"4.261656,52"
"4.281656,52"
"4.301656,52"
"4.321656,52"
"4.341656,52"
"4.361656,52"
"4.381656,52"
"4.401656,52"
"4.420656,52"
"4.441656,52"
"4.460656,52"
"4.481656,52"
"4.501656,52"
"4.520656,52"
"4.541656,52"
"4.560656,52"
"4.580656,52"
"4.601656,52"
"4.620656,52"
"4.641656,52"
"4.660656,52"
"4.680656,52"
"4.701656,52"
"4.720656,52"
"4.741656,52"
"4.760656,52"
"4.780656,52"
"4.801656,52"
"4.820656,52"
"4.841656,52"
"4.861656,52"
"4.881656,52"
"4.901656,52"
"4.920656,52"
"4.941656,52"
"4.960656,52"
"4.981656,52"
"5.001656,52"
"5.021656,52"
"5.041656,52"
"5.060656,52"
"5.080656,52"
"5.101656,52"
"5.121656,52"
"5.141656,52"
"5.160656,52"
"5.180656,52"
"5.201656,52"
"5.220656,52"
"5.241656,52"
"5.260656,52"
"5.280656,52"
"5.301656,52"
"5.320656,52"
"5.341656,52"
"5.360656,52"
"5.380656,52"
"5.401656,52"
"5.420656,52"
"5.441656,52"
"5.460656,52"
"5.481656,52"
"5.501656,52"
"5.520656,52"
"5.541656,52"
"5.560656,52"
"5.580656,52"
"5.601656,52"
"5.620656,52"
"5.641656,52"
"5.660656,52"
"5.681656,52"
"5.701656,52"
"5.720656,52"
"5.741656,52"
"5.760656,52"
"5.781656,52"
"5.801656,52"
"5.820656,52"
"5.841656,52"
"5.861656,52"
"5.881656,52"
"5.901656,52"
"5.921656,52"
"5.941656,52"
"5.961656,52"
"5.981656,52"
"6.001656,52"
"6.021656,52"
"6.041656,52"
"6.061656,52"
"6.081656,52"
"6.101656,52"
"6.121656,52"
"6.141656,52"
"6.161656,52"
"6.180656,52"
"6.201656,52"
"6.220656,52"
"6.241656,52"
"6.260656,52"
"6.280656,52"
"6.301656,52"
"6.320656,52"
"6.341656,52"
"6.360656,52"
"6.381656,52"
"6.401656,52"
"6.420656,52"
"6.441656,52"
"6.461656,52"
"6.481656,52"
"6.501656,52"
"6.521656,52"
"6.541656,52"
"6.561656,52"
"6.581656,52"
"6.601656,52"
"6.621656,52"
"6.641656,52"
"6.661656,52"
"6.681656,52"
"6.701656,52"
"6.721656,52"
"6.741656,52"
"6.760656,52"
"6.781656,52"
"6.801656,52"
"6.820656,52"
"6.841656,52"
"6.861656,52"
"6.881656,52"
"6.901656,52"
"6.921656,52"
"6.941656,52"
"6.961656,52"
"6.981656,52"
"7.001656,52"
"7.020656,52"
"7.041656,52"
"7.060656,52"
"7.081656,52"
"7.101656,52"
"7.120656,52"
"7.141656,52"
"7.160656,52"
"7.181656,52"
"7.200656,52"
"7.221656,52"
"7.241656,52"
"7.261656,52"
"7.281656,52"
"7.302656,52"
"7.321656,52"
"7.341656,52"
"7.361656,52"
"7.381656,52"
"7.401656,52"
"7.421656,52"
"7.441656,52"
"7.461656,52"
"7.481656,52"
"7.501656,52"
"7.521656,52"
"7.541656,52"
"7.560656,52"
"7.581656,52"
"7.601656,52"
"7.620656,52"
"7.641656,52"
"7.660656,52"
"7.681656,52"
"7.701656,52"
"7.720656,52"
"7.741656,52"
"7.760656,52"
"7.780656,52"
"7.801656,52"
"7.820656,52"
"7.841656,52"
"7.860656,52"
"7.881656,52"
"7.901656,52"
"7.920656,52"
"7.941656,52"
"7.960656,52"
"7.980656,52"
"8.002656,52"
"8.020657,52"
"8.041656,52"
"8.061656,52"
"8.080656,52"
"8.102656,52"
"8.121656,52"
"8.141656,52"
"8.160656,52"
"8.181656,52"
"8.201656,52"
"8.221656,52"
"8.241656,52"
"8.261656,52"
"8.281656,52"
"8.301657,52"
"8.320656,52"
"8.341657,52"
"8.360656,52"
"8.381657,52"
"8.401656,52"
"8.420656,52"
"8.441656,52"
"8.460656,52"
"8.480657,52"
"8.501657,52"
"8.520657,52"
"8.541656,52"
"8.560657,52"
"8.580656,52"
"8.601656,52"
"8.620656,52"
"8.641656,52"
"8.660656,52"
"8.681656,52"
"8.701656,52"
"8.720656,52"
"8.741656,52"
"8.761656,52"
"8.781656,52"
"8.801657,52"
"8.820656,52"
"8.841657,52"
"8.861656,52"
"8.881657,52"
"8.901656,52"
"8.921657,52"
"8.941656,52"
"8.961657,52"
"8.981656,52"
"9.001657,52"
"9.021656,52"
"9.041656,52"
"9.061656,52"
"9.081656,52"
"9.101656,52"
"9.121656,52"
"9.141656,52"
"9.160656,52"
"9.180656,52"
"9.201656,52"
"9.220656,52"
"9.241656,52"
"9.260656,52"
"9.280656,52"
"9.301657,52"
"9.320656,52"
"9.341657,52"
"9.360656,52"
"9.381657,52"
"9.401656,52"
"9.420656,52"
"9.441656,52"
"9.460656,52"
"9.480657,52"
"9.501657,52"
"9.520657,52"
"9.541656,52"
"9.561656,52"
"9.581656,52"
"9.600657,52"
"9.621656,52"
"9.641656,52"
"9.660656,52"
"9.681656,52"
"9.701656,52"
"9.720656,52"
"9.741656,52"
"9.761656,52"
"9.781656,52"
"9.801657,52"
"9.821656,52"
"9.841657,52"
"9.860656,52"
"9.881657,52"
"9.900657,52"
"9.920656,52"
"9.941656,52"
"9.960656,52"
"9.981656,52"
"10.00166,52"
"10.02066,52"
"10.04166,52"
"10.06066,52"
"10.08066,52"
"10.10066,52"
"10.12066,52"
"10.14166,52"
"10.16066,52"
"10.18166,52"
"10.20166,52"
"10.22066,52"
"10.24166,52"
"10.26066,52"
"10.28166,52"
"10.30166,52"
"10.32066,52"
"10.34166,52"
"10.36166,52"
"10.38166,52"
"10.40166,52"
"10.42166,52"
"10.44166,52"
"10.46166,52"
"10.48166,52"
"10.50166,52"
"10.52166,52"
"10.54166,52"
"10.56166,52"
"10.58166,52"
"10.60166,52"
"10.62066,52"
"10.64166,52"
"10.66066,52"
"10.68066,52"
"10.70166,52"
"10.72066,52"
"10.74166,52"
"10.76066,52"
"10.78166,52"
"10.80166,52"
"10.82066,52"
"10.84166,52"
"10.86066,52"
"10.88166,52"
"10.90066,52"
"10.92066,52"
"10.94166,52"
"10.96066,52"
"10.98166,52"
"11.00166,52"
"11.02066,52"
"11.04166,52"
"11.06066,52"
"11.08066,52"
"11.10166,52"
"11.12166,52"
"11.14166,52"
"11.16066,52"
"11.18166,52"
"11.20166,52"
"11.22066,52"
"11.24166,52"
"11.26066,52"
"11.28166,52"
"11.30166,52"
"11.32066,52"
"11.34166,52"
"11.36166,52"
"11.38166,52"
"11.40166,52"
"11.42066,52"
"11.44166,52"
"11.46066,52"
"11.48066,52"
"11.50166,52"
"11.52066,52"
"11.54166,52"
"11.56066,52"
"11.58066,52"
"11.60166,52"
"11.62066,52"
"11.64166,52"
"11.66066,52"
"11.68066,52"
"11.70166,52"
"11.72066,52"
"11.74166,52"
"11.76066,52"
"11.78166,52"
"11.80266,52"
"11.82066,52"
"11.84166,52"
"11.86066,52"
"11.88166,52"
"11.90166,52"
"11.92166,52"
"11.94166,52"
"11.96166,52"
"11.98166,52"
"12.00166,52"
"12.02166,52"
"12.04166,52"
"12.06166,52"
"12.08166,52"
"12.10166,52"
"12.12166,52"
"12.14166,52"
"12.16166,52"
"12.18166,52"
"12.20166,52"
"12.22066,52"
"12.24166,52"
"12.26066,52"
"12.28166,52"
"12.30166,52"
"12.32066,52"
"12.34166,52"
"12.36066,52"
"12.38166,52"
"12.40166,52"
"12.42066,52"
"12.44166,52"
"12.46066,52"
"12.48066,52"
"12.50166,52"
"12.52066,52"
"12.54166,52"
"12.56066,52"
"12.58166,52"
"12.60166,52"
"12.62166,52"
"12.64166,52"
"12.66066,52"
"12.68166,52"
"12.70166,52"
"12.72166,52"
"12.74166,52"
"12.76166,52"
"12.78166,52"
"12.80166,52"
"12.82166,52"
"12.84166,52"
"12.86166,52"
"12.88166,52"
"12.90166,52"
"12.92166,52"
"12.94166,52"
"12.96166,52"
"12.98166,52"
"13.00166,52"
"13.02066,52"
"13.04166,52"
"13.06066,52"
"13.08166,52"
"13.10166,52"
"13.12066,52"
"13.14166,52"
"13.16066,52"
"13.18066,52"
"13.20066,52"
"13.22066,52"
"13.24166,52"
"13.26066,52"
"13.28166,52"
"13.30166,52"
"13.32066,52"
"13.34166,52"
"13.36066,52"
"13.38066,52"
"13.40166,52"
"13.42066,52"
"13.44166,52"
"13.46166,52"
"13.48166,52"
"13.50166,52"
"13.52166,52"
"13.54166,52"
"13.56166,52"
"13.58166,52"
"13.60166,52"
"13.62166,52"
"13.64166,52"
"13.66166,52"
"13.68166,52"
"13.70166,52"
"13.72166,52"
"13.74166,52"
"13.76166,52"
"13.78066,52"
"13.80166,52"
"13.82066,52"
"13.84166,52"
"13.86066,52"
"13.88066,52"
"13.90066,52"
"13.92066,52"
"13.94166,52"
"13.96066,52"
"13.98166,52"
"14.00066,52"
"14.02066,52"
"14.04166,52"
"14.06066,52"
"14.08066,52"
