"time,SpeedCom"
"5.760656,19.16"
"5.781656,19.03"
"5.801656,19.1"
"5.820656,19.1"
"5.841656,19.27"
"5.861656,19.26"
"5.881656,19.2"
"5.901656,19.36"
"5.921656,19.36"
"5.941656,19.43"
"5.961656,19.48"
"5.981656,19.44"
"6.001656,19.44"
"6.021656,19.41"
"6.041656,19.47"
"6.061656,19.47"
"6.081656,19.61"
"6.101656,19.55"
"6.121656,19.55"
"6.141656,19.57"
"6.161656,19.61"
"6.180656,19.77"
"6.201656,19.71"
"6.220656,19.71"
"6.241656,19.68"
"6.260656,19.82"
"6.280656,19.95"
"6.301656,19.84"
"6.320656,19.84"
"6.341656,19.84"
"6.360656,19.95"
"6.381656,20.05"
"6.401656,20.05"
"6.420656,20.02"
"6.441656,19.91"
"6.461656,20.14"
"6.481656,20.19"
"6.501656,20.19"
"6.521656,20.16"
"6.541656,20.19"
"6.561656,20.3"
"6.581656,20.41"
"6.601656,20.41"
"6.621656,20.3"
"6.641656,20.44"
"6.661656,20.37"
"6.681656,20.39"
"6.701656,20.39"
"6.721656,20.44"
"6.741656,20.44"
"6.760656,20.45"
"6.781656,20.44"
"6.801656,20.44"
"6.820656,20.48"
"6.841656,20.49"
"6.861656,20.49"
"6.881656,20.52"
"6.901656,20.52"
"6.921656,20.62"
"6.941656,20.62"
"6.961656,20.65"
"6.981656,20.69"
"7.001656,20.69"
"7.020656,20.83"
"7.041656,20.72"
"7.060656,20.81"
"7.081656,20.88"
"7.101656,20.88"
"7.120656,20.88"
"7.141656,20.97"
"7.160656,21.09"
"7.181656,21.04"
"7.200656,21.04"
"7.221656,21"
"7.241656,21.18"
"7.261656,21.29"
"7.281656,21.39"
"7.302656,21.23"
"7.321656,21.23"
"7.341656,21.39"
"7.361656,21.48"
"7.381656,21.55"
"7.401656,21.55"
"7.421656,21.5"
"7.441656,21.48"
"7.461656,21.43"
"7.481656,21.45"
"7.501656,21.45"
"7.521656,21.45"
"7.541656,21.66"
"7.560656,21.7"
"7.581656,21.7"
"7.601656,21.7"
"7.620656,21.63"
"7.641656,21.73"
"7.660656,21.89"
"7.681656,22.02"
"7.701656,22.02"
"7.720656,21.91"
"7.741656,21.96"
"7.760656,22.01"
"7.780656,22.05"
"7.801656,22.05"
"7.820656,22.17"
"7.841656,22.22"
"7.860656,22.31"
"7.881656,22.47"
"7.901656,22.27"
"7.920656,22.27"
"7.941656,22.71"
"7.960656,22.19"
"7.980656,22.48"
"8.002656,22.57"
"8.020657,22.57"
"8.041656,22.72"
"8.061656,22.54"
"8.080656,22.8"
"8.102656,22.75"
"8.121656,22.75"
"8.141656,22.64"
"8.160656,22.63"
"8.181656,22.61"
"8.201656,22.82"
"8.221656,22.82"
"8.241656,22.78"
"8.261656,23.03"
"8.281656,23.16"
"8.301657,23.16"
"8.320656,23.1"
"8.341657,23.13"
"8.360656,23.05"
"8.381657,23.14"
"8.401656,23.14"
"8.420656,22.98"
"8.441656,23.16"
"8.460656,23.13"
"8.480657,23.23"
"8.501657,23.23"
"8.520657,23.27"
"8.541656,23.3"
"8.560657,23.45"
"8.580656,23.51"
"8.601656,23.53"
"8.620656,23.53"
"8.641656,23.63"
"8.660656,23.69"
"8.681656,23.72"
"8.701656,23.79"
"8.720656,23.79"
"8.741656,23.87"
"8.761656,23.95"
"8.781656,24"
"8.801657,24"
"8.820656,23.97"
"8.841657,24.05"
"8.861656,24.22"
"8.881657,24.23"
"8.901656,24.34"
"8.921657,24.34"
"8.941656,24.41"
"8.961657,24.52"
"8.981656,24.53"
"9.001657,24.53"
"9.021656,24.63"
"9.041656,24.57"
"9.061656,24.67"
"9.081656,24.69"
"9.101656,24.69"
"9.121656,24.78"
"9.141656,24.81"
"9.160656,25.01"
"9.180656,25.01"
"9.201656,25.01"
"9.220656,25.01"
"9.241656,25.16"
"9.260656,25.29"
"9.280656,25.24"
"9.301657,25.36"
"9.320656,25.36"
"9.341657,25.38"
"9.360656,25.47"
"9.381657,25.5"
"9.401656,25.54"
"9.420656,25.54"
"9.441656,25.7"
"9.460656,25.78"
"9.480657,25.82"
"9.501657,25.82"
"9.520657,25.91"
"9.541656,25.91"
"9.561656,26.1"
"9.581656,26.07"
"9.600657,26.07"
"9.621656,26.16"
"9.641656,26.28"
"9.660656,26.27"
"9.681656,26.35"
"9.701656,26.35"
"9.720656,26.37"
"9.741656,26.35"
"9.761656,26.55"
"9.781656,26.69"
"9.801657,26.67"
"9.821656,26.67"
"9.841657,26.69"
"9.860656,26.91"
"9.881657,26.97"
"9.900657,26.97"
"9.920656,27.05"
"9.941656,27.04"
"9.960656,27.04"
"9.981656,27.11"
"10.00166,27.11"
"10.02066,27.13"
"10.04166,27.11"
"10.06066,27.22"
"10.08066,27.21"
"10.10066,27.21"
"10.12066,27.32"
"10.14166,27.22"
"10.16066,27.28"
"10.18166,27.18"
"10.20166,27.29"
"10.22066,27.29"
"10.24166,27.18"
