"time,DegOfDev"
"242.4527,1.07"
"242.4727,1.03"
"242.4928,1.06"
"242.5128,1.15"
"242.5327,1.05"
"242.5527,0.99"
"242.5728,1"
"242.5927,1"
"242.6127,0.98"
"242.6328,1"
"242.6528,1.08"
"242.6727,1.03"
"242.6927,1.07"
"242.7128,1.03"
"242.7328,1.01"
"242.7527,1.11"
"242.7728,1.08"
"242.7928,1.05"
"242.8127,1.03"
"242.8327,1"
"242.8528,0.87"
"242.8728,0.83"
"242.8927,0.83"
"242.9128,0.83"
"242.9328,0.83"
"242.9527,0.93"
"242.9727,0.88"
"242.9928,0.91"
"243.0128,0.91"
"243.0327,0.87"
"243.0527,1.05"
"243.0728,0.98"
"243.0927,0.95"
"243.1127,1"
"243.1328,0.91"
"243.1528,0.84"
"243.1727,0.79"
"243.1927,0.68"
"243.2128,0.68"
"243.2328,0.67"
"243.2527,0.79"
"243.2728,0.83"
"243.2928,0.82"
"243.3127,0.83"
"243.3327,0.81"
"243.3528,0.81"
"243.3728,0.82"
"243.3927,0.9"
"243.4128,0.88"
"243.4328,0.89"
"243.4527,0.88"
"243.4727,0.82"
"243.4928,0.78"
"243.5128,0.78"
"243.5327,0.79"
"243.5527,0.79"
"243.5728,0.67"
"243.5927,0.68"
"243.6127,0.58"
"243.6328,0.61"
"243.6528,0.51"
"243.6727,0.52"
"243.6927,0.51"
"243.7128,0.6"
"243.7328,0.54"
"243.7527,0.53"
"243.7728,0.5"
"243.7928,0.52"
"243.8127,0.52"
"243.8327,0.5"
"243.8528,0.54"
"243.8728,0.5"
"243.8927,0.55"
"243.9128,0.51"
"243.9328,0.56"
"243.9527,0.5"
"243.9727,0.54"
"243.9928,0.57"
"244.0128,0.52"
"244.0327,0.64"
"244.0527,0.67"
"244.0728,0.67"
"244.0927,0.56"
"244.1127,0.54"
"244.1328,0.58"
"244.1528,0.63"
"244.1727,0.67"
"244.1927,0.69"
"244.2128,0.72"
"244.2328,0.77"
"244.2527,0.77"
"244.2728,0.83"
"244.2928,0.88"
"244.3127,0.88"
"244.3327,0.93"
"244.3528,0.89"
"244.3728,0.91"
"244.3927,0.84"
"244.4128,0.89"
"244.4328,0.94"
"244.4527,0.93"
"244.4727,0.85"
"244.4928,0.93"
"244.5128,0.89"
"244.5327,0.98"
"244.5527,1.07"
"244.5728,1.04"
"244.5927,1.15"
"244.6127,1.16"
"244.6328,1.16"
"244.6528,1.11"
"244.6727,1.01"
"244.6927,1.09"
"244.7128,1.01"
"244.7328,1"
"244.7527,0.98"
"244.7728,0.96"
"244.7928,1"
"244.8127,1"
"244.8327,0.97"
"244.8528,1.02"
"244.8728,1.02"
"244.8927,0.98"
"244.9128,0.88"
"244.9328,0.95"
"244.9527,0.99"
"244.9727,1.04"
"244.9928,1.03"
"245.0128,1.01"
"245.0327,0.95"
"245.0527,1.02"
"245.0728,1.04"
"245.0927,0.99"
"245.1127,1.03"
"245.1328,1.13"
"245.1528,1.17"
"245.1727,1.24"
"245.1927,1.18"
"245.2128,1.17"
"245.2328,1.3"
"245.2527,1.33"
"245.2728,1.34"
"245.2928,1.34"
"245.3127,1.4"
"245.3327,1.5"
"245.3528,1.53"
"245.3728,1.63"
"245.3927,1.71"
"245.4128,1.7"
"245.4328,1.71"
"245.4527,1.82"
"245.4727,1.81"
"245.4928,1.78"
"245.5128,1.79"
"245.5327,1.73"
"245.5527,1.74"
"245.5728,1.69"
"245.5927,1.68"
"245.6127,1.66"
"245.6328,1.64"
"245.6528,1.6"
"245.6727,1.66"
"245.6927,1.63"
"245.7128,1.65"
"245.7328,1.6"
"245.7527,1.62"
"245.7728,1.64"
"245.7928,1.65"
"245.8127,1.61"
"245.8327,1.63"
"245.8528,1.6"
"245.8728,1.56"
"245.8927,1.53"
"245.9128,1.51"
"245.9328,1.55"
"245.9527,1.55"
"245.9727,1.51"
"245.9928,1.51"
"246.0128,1.51"
"246.0327,1.51"
"246.0527,1.51"
"246.0728,1.49"
"246.0927,1.49"
"246.1127,1.51"
"246.1328,1.51"
"246.1528,1.51"
"246.1727,1.51"
"246.1927,1.51"
"246.2128,1.49"
"246.2328,1.4"
"246.2527,1.36"
"246.2728,1.43"
"246.2928,1.35"
"246.3127,1.34"
"246.3327,1.34"
"246.3528,1.34"
"246.3728,1.34"
"246.3927,1.26"
"246.4128,1.27"
"246.4328,1.22"
"246.4527,1.27"
"246.4727,1.34"
"246.4928,1.18"
"246.5128,0.99"
"246.5327,1.19"
"246.5527,1.3"
"246.5728,1.2"
"246.5927,1.17"
"246.6127,1.22"
"246.6328,1.09"
"246.6528,0.99"
"246.6727,0.99"
"246.6927,0.87"
"246.7128,0.88"
"246.7328,0.89"
"246.7527,0.83"
"246.7728,0.83"
"246.7928,0.83"
"246.8127,0.81"
"246.8327,0.69"
"246.8528,0.68"
"246.8728,0.76"
"246.8927,0.85"
"246.9128,0.91"
"246.9328,1.05"
"246.9527,1.06"
"246.9727,1.08"
"246.9928,1.06"
"247.0128,0.93"
"247.0327,0.9"
"247.0527,0.94"
"247.0728,0.93"
"247.0927,0.89"
"247.1127,0.85"
"247.1328,0.71"
"247.1528,0.67"
"247.1727,0.6"
"247.1927,0.59"
"247.2128,0.54"
"247.2328,0.56"
"247.2527,0.59"
"247.2728,0.6"
"247.2928,0.66"
"247.3127,0.63"
"247.3327,0.62"
"247.3528,0.62"
"247.3728,0.71"
"247.3927,0.73"
"247.4128,0.79"
"247.4328,0.82"
"247.4527,0.74"
"247.4727,0.7"
"247.4928,0.58"
"247.5128,0.59"
"247.5327,0.59"
"247.5527,0.52"
"247.5728,0.55"
"247.5927,0.65"
"247.6127,0.69"
"247.6328,0.67"
"247.6528,0.67"
"247.6727,0.67"
"247.6927,0.6"
"247.7128,0.66"
"247.7328,0.69"
"247.7527,0.82"
"247.7728,0.81"
"247.7928,0.83"
"247.8127,0.87"
"247.8327,0.92"
"247.8528,0.84"
"247.8728,0.86"
"247.8927,0.88"
"247.9128,0.86"
"247.9328,0.97"
"247.9527,1.13"
"247.9727,1.15"
"247.9928,1.17"
"248.0128,1.06"
"248.0327,0.93"
"248.0527,0.89"
"248.0728,1.02"
"248.0927,1.13"
"248.1127,1.25"
"248.1328,1.18"
"248.1528,1.14"
"248.1727,1.09"
"248.1927,1"
"248.2128,1"
"248.2328,1.05"
"248.2527,1.1"
"248.2728,1.17"
"248.2928,1.13"
"248.3127,1.17"
"248.3327,1.16"
"248.3528,1.17"
"248.3728,1.17"
"248.3927,1.17"
"248.4128,1.24"
"248.4328,1.25"
"248.4527,1.19"
"248.4727,1.17"
"248.4928,1.13"
"248.5128,1.09"
"248.5327,1.1"
"248.5527,1.12"
"248.5728,1.04"
"248.5927,1.07"
"248.6127,1.05"
"248.6328,0.95"
"248.6528,0.92"
"248.6727,0.89"
"248.6927,0.97"
"248.7128,0.87"
"248.7328,0.83"
"248.7527,0.83"
"248.7728,0.83"
"248.7928,0.71"
"248.8127,0.81"
"248.8327,0.92"
"248.8528,0.94"
"248.8728,0.84"
"248.8927,0.96"
"248.9128,0.87"
"248.9328,0.83"
"248.9527,0.97"
"248.9727,0.95"
"248.9928,0.97"
"249.0128,1"
"249.0327,0.86"
"249.0527,0.83"
"249.0728,0.73"
"249.0927,0.67"
"249.1127,0.59"
"249.1328,0.45"
"249.1528,0.34"
"249.1727,0.33"
"249.1927,0.32"
"249.2128,0.32"
"249.2328,0.25"
"249.2527,0.28"
"249.2728,0.3"
"249.2928,0.27"
"249.3127,0.32"
"249.3327,0.33"
"249.3528,0.38"
"249.3728,0.49"
"249.3927,0.5"
"249.4128,0.5"
"249.4328,0.59"
"249.4527,0.52"
"249.4727,0.56"
"249.4928,0.56"
"249.5128,0.62"
"249.5327,0.52"
"249.5527,0.5"
"249.5728,0.5"
"249.5927,0.48"
"249.6127,0.5"
"249.6328,0.5"
"249.6528,0.5"
"249.6727,0.62"
"249.6927,0.62"
"249.7128,0.62"
"249.7328,0.57"
"249.7527,0.58"
"249.7728,0.55"
"249.7928,0.63"
"249.8127,0.78"
"249.8327,0.83"
"249.8528,0.83"
"249.8728,0.92"
"249.8927,0.91"
"249.9128,0.88"
"249.9328,0.92"
"249.9527,0.86"
"249.9727,0.9"
"249.9928,0.86"
"250.0128,0.67"
"250.0327,0.69"
"250.0527,0.74"
"250.0728,0.75"
"250.0927,0.76"
"250.1127,0.83"
"250.1328,0.83"
"250.1528,0.96"
"250.1727,1.08"
"250.1927,1"
"250.2128,0.95"
"250.2328,1.03"
"250.2527,0.99"
"250.2728,0.89"
"250.2928,0.94"
"250.3127,0.89"
"250.3327,0.84"
"250.3528,0.73"
"250.3728,0.61"
"250.3927,0.66"
"250.4128,0.67"
"250.4328,0.61"
"250.4527,0.64"
"250.4727,0.76"
"250.4928,0.69"
"250.5128,0.76"
"250.5327,0.83"
"250.5527,0.83"
"250.5728,0.74"
"250.5927,0.76"
"250.6127,0.78"
"250.6328,0.76"
"250.6528,0.79"
"250.6727,0.78"
"250.6927,0.71"
"250.7128,0.72"
"250.7328,0.77"
"250.7527,0.77"
"250.7728,0.82"
"250.7928,0.73"
"250.8127,0.75"
"250.8327,0.67"
"250.8528,0.64"
"250.8728,0.67"
"250.8927,0.67"
"250.9128,0.69"
"250.9328,0.71"
"250.9527,0.71"
"250.9727,0.7"
"250.9928,0.73"
"251.0128,0.67"
"251.0327,0.67"
"251.0527,0.74"
"251.0728,0.78"
"251.0927,0.68"
"251.1127,0.67"
"251.1328,0.67"
"251.1528,0.64"
"251.1727,0.6"
"251.1927,0.66"
"251.2128,0.67"
"251.2328,0.52"
"251.2527,0.5"
"251.2728,0.42"
"251.2928,0.47"
"251.3127,0.49"
"251.3327,0.54"
"251.3528,0.5"
"251.3728,0.63"
"251.3927,0.65"
"251.4128,0.67"
"251.4328,0.67"
"251.4527,0.62"
"251.4727,0.65"
"251.4928,0.67"
"251.5128,0.54"
"251.5327,0.63"
"251.5527,0.53"
"251.5728,0.48"
"251.5927,0.54"
"251.6127,0.39"
"251.6328,0.27"
"251.6528,0.31"
"251.6727,0.32"
"251.6927,0.22"
"251.7128,0.23"
"251.7328,0.17"
"251.7527,0.16"
"251.7728,0.05"
"251.7928,0.06"
"251.8127,0.08"
"251.8327,0.09"
"251.8528,0.16"
"251.8728,0.05"
"251.8927,0"
"251.9128,0.17"
"251.9328,0.32"
"251.9527,0.42"
"251.9727,0.42"
"251.9928,0.38"
"252.0128,0.47"
"252.0327,0.49"
"252.0527,0.42"
"252.0728,0.47"
"252.0927,0.41"
"252.1127,0.34"
"252.1328,0.27"
"252.1528,0.14"
"252.1727,0.16"
"252.1927,0.07"
"252.2128,0"
"252.2328,0"
"252.2527,0.01"
"252.2728,0.1"
"252.2928,0.15"
"252.3127,0.13"
"252.3327,0.24"
"252.3528,0.1"
"252.3728,0.1"
"252.3927,0.11"
"252.4128,0.23"
"252.4328,0.48"
"252.4527,0.46"
"252.4727,0.34"
"252.4928,0.27"
"252.5128,0.22"
"252.5327,0.14"
"252.5527,0.2"
"252.5728,0.2"
"252.5927,0.25"
"252.6127,0.16"
"252.6328,0.14"
"252.6528,0.15"
"252.6727,0.12"
"252.6927,0.13"
"252.7128,0.08"
"252.7328,0.04"
"252.7527,0.11"
"252.7728,0.09"
"252.7917,0.01"
"252.8118,0.06"
"252.8327,0.19"
"252.8517,0.15"
"252.8717,0.02"
"252.8918,0.06"
"252.9117,0.05"
"252.9328,0.01"
"252.9527,0.06"
"252.9727,0.11"
"252.9928,0.24"
"253.0128,0.4"
"253.0327,0.56"
"253.0527,0.71"
"253.0728,0.84"
"253.0927,1.02"
"253.1127,1.21"
"253.1328,1.27"
"253.1528,1.26"
"253.1727,1.29"
"253.1927,1.35"
"253.2128,1.4"
"253.2328,1.38"
"253.2527,1.34"
"253.2728,1.38"
"253.2928,1.36"
"253.3127,1.24"
"253.3327,1.23"
"253.3528,1.19"
"253.3728,1.19"
"253.3927,1.2"
"253.4128,1.24"
"253.4328,1.34"
"253.4527,1.33"
"253.4727,1.29"
"253.4928,1.4"
"253.5128,1.51"
"253.5327,1.57"
"253.5527,1.49"
"253.5728,1.42"
"253.5927,1.46"
"253.6127,1.49"
"253.6328,1.4"
"253.6528,1.42"
"253.6727,1.44"
"253.6927,1.54"
"253.7128,1.58"
"253.7328,1.54"
"253.7527,1.62"
"253.7728,1.61"
"253.7928,1.56"
"253.8127,1.56"
"253.8327,1.72"
"253.8528,1.67"
"253.8728,1.68"
"253.8927,1.7"
"253.9128,1.68"
"253.9328,1.68"
"253.9527,1.65"
"253.9727,1.56"
"253.9928,1.54"
"254.0128,1.51"
"254.0327,1.61"
"254.0527,1.61"
"254.0728,1.65"
"254.0927,1.64"
"254.1127,1.53"
"254.1328,1.49"
"254.1528,1.4"
"254.1727,1.33"
"254.1927,1.2"
"254.2128,1.13"
"254.2328,1.06"
"254.2527,0.91"
"254.2728,0.7"
"254.2928,0.56"
"254.3127,0.33"
"254.3327,0.14"
"254.3528,0.02"
"254.3728,0"
"254.3927,0.1"
"254.4128,0.18"
"254.4328,0.16"
"254.4527,0.11"
"254.4727,0.15"
"254.4928,0.25"
"254.5128,0.19"
"254.5327,0.29"
"254.5527,0.33"
"254.5728,0.34"
"254.5927,0.58"
"254.6127,0.72"
"254.6328,0.97"
"254.6528,1.25"
"254.6727,1.48"
"254.6927,1.65"
"254.7128,1.97"
"254.7328,2.17"
"254.7527,2.41"
"254.7728,2.74"
"254.7928,2.85"
"254.8127,2.98"
"254.8327,3.14"
"254.8528,3.21"
"254.8728,3.34"
"254.8927,3.36"
"254.9128,3.41"
"254.9328,3.51"
"254.9527,3.66"
"254.9727,3.57"
"254.9928,3.53"
"255.0128,3.67"
"255.0327,3.74"
"255.0527,3.88"
"255.0728,4"
"255.0927,4.05"
"255.1127,4.05"
"255.1328,4.06"
"255.1528,4.22"
"255.1727,4.37"
"255.1927,4.39"
"255.2128,4.57"
"255.2328,4.57"
"255.2527,4.38"
"255.2728,4.28"
"255.2928,4.36"
"255.3127,4.22"
"255.3327,4.18"
"255.3528,4.17"
"255.3728,3.97"
"255.3927,3.86"
"255.4128,3.8"
"255.4328,3.86"
"255.4527,3.87"
"255.4727,3.8"
"255.4928,3.67"
"255.5128,3.84"
"255.5327,3.75"
"255.5527,3.72"
"255.5728,3.69"
"255.5927,3.56"
"255.6127,3.37"
"255.6328,3.37"
"255.6528,3.49"
"255.6727,3.68"
"255.6927,3.61"
"255.7128,3.46"
"255.7328,3.25"
"255.7527,2.96"
"255.7728,2.84"
"255.7928,2.71"
"255.8127,2.66"
"255.8327,2.69"
"255.8528,2.57"
"255.8728,2.53"
"255.8927,2.66"
"255.9128,2.69"
"255.9328,2.72"
"255.9527,2.84"
"255.9727,2.85"
"255.9928,2.75"
"256.0128,2.67"
"256.0327,2.74"
"256.0528,2.7"
"256.0728,2.78"
"256.0927,2.66"
"256.1128,2.6"
"256.1328,2.58"
"256.1527,2.72"
"256.1728,2.71"
"256.1927,2.69"
"256.2127,2.8"
"256.2328,2.51"
"256.2527,2.11"
"256.2727,1.99"
"256.2928,2.07"
"256.3127,1.98"
"256.3328,2.01"
"256.3528,2.21"
"256.3727,2.09"
"256.3928,2.07"
"256.4128,2.09"
"256.4327,2.24"
"256.4528,2.35"
"256.4727,2.23"
"256.4927,2.25"
"256.5128,2.34"
"256.5327,2.32"
"256.5528,2.32"
"256.5728,2.4"
"256.5927,2.27"
"256.6128,2.33"
"256.6328,2.27"
"256.6527,2.18"
"256.6728,2.06"
"256.6927,2.06"
"256.7127,1.88"
"256.7328,1.82"
"256.7527,1.74"
"256.7727,1.77"
"256.7928,1.76"
"256.8127,1.78"
"256.8328,1.83"
"256.8528,1.67"
"256.8727,1.56"
"256.8928,1.65"
"256.9128,1.66"
"256.9327,1.57"
"256.9528,1.76"
"256.9727,1.75"
"256.9927,1.69"
"257.0128,1.78"
"257.0327,1.7"
"257.0528,1.69"
"257.0728,1.72"
"257.0927,1.71"
"257.1128,1.57"
"257.1328,1.51"
"257.1527,1.44"
"257.1728,1.32"
"257.1927,1.36"
"257.2127,1.35"
"257.2328,1.34"
"257.2527,1.37"
"257.2727,1.46"
"257.2928,1.51"
"257.3127,1.54"
"257.3328,1.55"
"257.3528,1.6"
"257.3727,1.77"
"257.3928,1.73"
"257.4128,1.68"
"257.4327,1.67"
"257.4528,1.54"
"257.4727,1.39"
"257.4927,1.32"
"257.5128,1.28"
"257.5327,1.13"
"257.5528,0.87"
"257.5728,0.75"
"257.5927,0.49"
"257.6128,0.62"
"257.6328,0.55"
"257.6527,0.63"
"257.6728,0.65"
"257.6927,0.52"
"257.7127,0.54"
"257.7328,0.53"
"257.7527,0.73"
"257.7727,0.76"
"257.7928,0.83"
"257.8127,0.88"
"257.8328,0.87"
"257.8528,1.02"
"257.8727,0.86"
"257.8928,0.89"
"257.9128,0.91"
"257.9327,0.95"
"257.9528,0.89"
"257.9727,0.98"
"257.9927,0.89"
"258.0128,0.81"
"258.0327,0.71"
"258.0528,0.78"
"258.0728,0.95"
"258.0927,0.9"
"258.1128,0.83"
"258.1328,0.83"
"258.1518,0.72"
"258.1728,0.72"
"258.1917,0.74"
"258.2127,0.87"
"258.2328,1.04"
"258.2527,1.04"
"258.2727,1.14"
"258.2928,1.14"
"258.3127,1.16"
"258.3328,1.3"
"258.3528,1.39"
"258.3727,1.4"
"258.3928,1.41"
"258.4128,1.33"
"258.4327,1.25"
"258.4528,1.22"
"258.4727,1.13"
"258.4927,1.16"
"258.5128,1.17"
"258.5327,1.17"
"258.5528,1.17"
"258.5728,1.29"
"258.5927,1.37"
"258.6128,1.5"
"258.6328,1.63"
"258.6527,1.7"
"258.6728,1.72"
"258.6927,1.88"
"258.7127,1.98"
"258.7328,2.01"
"258.7517,2.01"
"258.7718,1.93"
"258.7917,1.89"
"258.8117,1.79"
"258.8328,1.62"
"258.8517,1.56"
"258.8718,1.51"
"258.8918,1.47"
"258.9117,1.42"
"258.9327,1.34"
"258.9518,1.31"
"258.9717,1.28"
"258.9918,1.34"
"259.0117,1.4"
"259.0327,1.36"
"259.0518,1.52"
"259.0717,1.71"
"259.0917,1.48"
"259.1118,1.39"
"259.1328,1.52"
"259.1527,1.51"
"259.1728,1.46"
"259.1927,1.44"
"259.2127,1.17"
"259.2328,1.06"
"259.2527,1.01"
"259.2727,1"
"259.2928,1.05"
"259.3127,1.01"
"259.3328,0.93"
"259.3528,0.81"
"259.3727,0.71"
"259.3928,0.82"
"259.4128,0.85"
"259.4327,0.87"
"259.4528,0.96"
"259.4727,1.19"
"259.4927,1.22"
"259.5128,1.39"
"259.5327,1.54"
"259.5528,1.76"
"259.5728,1.71"
"259.5927,1.82"
"259.6128,1.85"
"259.6328,1.85"
"259.6527,1.85"
"259.6728,1.8"
"259.6927,1.79"
"259.7127,1.69"
"259.7328,1.65"
"259.7527,1.68"
"259.7727,1.68"
"259.7928,1.68"
"259.8127,1.78"
"259.8328,1.77"
"259.8528,1.69"
"259.8727,1.68"
"259.8928,1.62"
"259.9128,1.51"
"259.9327,1.51"
"259.9528,1.49"
"259.9727,1.36"
"259.9927,1.34"
"260.0128,1.28"
"260.0327,1.17"
"260.0518,1.09"
"260.0717,0.99"
"260.0917,0.96"
"260.1118,0.89"
"260.1328,0.93"
"260.1518,0.91"
"260.1718,0.86"
"260.1917,0.92"
"260.2118,0.92"
"260.2328,0.86"
"260.2517,0.77"
"260.2718,0.78"
"260.2917,0.93"
"260.3117,0.87"
"260.3328,0.83"
"260.3517,0.8"
"260.3718,0.83"
"260.3918,0.87"
"260.4117,0.89"
"260.4327,0.98"
"260.4518,1.03"
"260.4717,1.04"
"260.4918,1.04"
"260.5117,0.86"
"260.5327,0.74"
"260.5518,0.79"
"260.5717,0.83"
"260.5917,0.77"
"260.6118,0.68"
"260.6328,0.67"
"260.6518,0.67"
"260.6718,0.81"
"260.6917,1.1"
"260.7118,1.18"
"260.7328,1.3"
"260.7517,1.26"
"260.7718,1.17"
"260.7917,1.28"
"260.8117,1.18"
"260.8328,1.17"
"260.8517,1.22"
"260.8718,1.24"
"260.8918,1.19"
"260.9117,1.21"
"260.9327,1.13"
"260.9518,1.03"
"260.9717,1.05"
"260.9918,1.16"
"261.0117,1.27"
"261.0327,1.34"
"261.0518,1.26"
"261.0717,1.18"
"261.0917,1.01"
"261.1118,0.97"
"261.1328,0.87"
"261.1518,0.88"
"261.1718,0.83"
"261.1917,0.83"
"261.2118,0.76"
"261.2328,0.7"
"261.2517,0.83"
"261.2718,0.71"
"261.2917,0.82"
"261.3117,0.88"
"261.3328,0.8"
"261.3517,0.97"
"261.3718,0.94"
"261.3918,0.84"
"261.4117,0.76"
"261.4327,0.73"
"261.4518,0.74"
"261.4717,0.53"
"261.4918,0.25"
"261.5117,0.28"
"261.5327,0.36"
"261.5518,0.48"
"261.5717,0.5"
"261.5917,0.6"
"261.6118,0.66"
"261.6328,0.54"
"261.6518,0.36"
"261.6718,0.5"
"261.6917,0.39"
"261.7118,0.36"
"261.7328,0.33"
"261.7517,0.26"
"261.7718,0.35"
"261.7917,0.41"
"261.8117,0.52"
"261.8328,0.71"
"261.8517,1.09"
"261.8718,1.32"
"261.8918,1.4"
"261.9117,1.55"
"261.9327,1.69"
"261.9518,1.78"
"261.9717,1.9"
"261.9918,2.14"
"262.0117,2.39"
"262.0317,2.76"
"262.0518,2.98"
"262.0717,3.17"
"262.0917,3.54"
"262.1118,3.82"
"262.1317,4.1"
"262.1518,4.1"
"262.1718,4.18"
"262.1917,4.37"
"262.2118,4.45"
"262.2318,4.38"
"262.2517,4.37"
"262.2718,4.47"
"262.2917,4.43"
"262.3117,4.48"
"262.3318,4.53"
"262.3517,4.62"
"262.3718,4.44"
"262.3918,4.37"
"262.4117,4.33"
"262.4318,4.23"
"262.4518,4.2"
"262.4717,4.32"
"262.4918,4.37"
"262.5117,4.37"
"262.5317,4.24"
"262.5518,4.24"
"262.5717,4.37"
"262.5917,4.45"
"262.6118,4.38"
"262.6317,4.17"
"262.6518,4.04"
"262.6718,3.9"
"262.6917,3.74"
"262.7118,3.57"
"262.7318,3.44"
"262.7517,3.23"
"262.7718,3.02"
"262.7917,2.84"
"262.8117,2.56"
"262.8318,2.38"
"262.8517,2.41"
"262.8718,2.49"
"262.8918,2.31"
"262.9117,2.11"
"262.9318,2.13"
"262.9518,2.05"
"262.9717,1.9"
"262.9918,1.89"
"263.0117,1.76"
"263.0317,1.72"
"263.0518,1.83"
"263.0717,1.82"
"263.0917,1.89"
"263.1118,2.12"
"263.1317,2.18"
"263.1518,2.18"
"263.1718,2.33"
"263.1917,2.45"
"263.2118,2.58"
"263.2328,2.7"
"263.2517,2.83"
"263.2718,2.73"
"263.2917,2.63"
"263.3117,2.7"
"263.3318,2.94"
"263.3517,3.01"
"263.3718,3"
"263.3918,2.99"
"263.4117,3.02"
"263.4327,3.17"
"263.4518,3.2"
"263.4717,3.18"
"263.4918,3.27"
"263.5117,3.4"
"263.5327,3.5"
"263.5518,3.6"
"263.5717,3.69"
"263.5917,3.87"
"263.6118,4.02"
"263.6317,4.04"
"263.6518,4.04"
"263.6718,4.1"
"263.6917,4.2"
"263.7118,4.22"
"263.7318,4.27"
"263.7517,4.21"
"263.7718,4.2"
"263.7917,4.36"
"263.8117,4.46"
"263.8318,4.54"
"263.8517,4.59"
"263.8718,4.72"
"263.8918,4.87"
"263.9117,4.96"
"263.9318,5.15"
"263.9518,5.41"
"263.9717,5.61"
"263.9918,5.85"
"264.0117,6"
"264.0317,6.18"
"264.0518,6.61"
"264.0717,6.87"
"264.0917,6.99"
"264.1118,6.87"
"264.1317,6.89"
"264.1518,6.98"
"264.1718,6.99"
"264.1917,6.82"
"264.2118,6.62"
"264.2318,6.56"
"264.2517,6.39"
"264.2718,6.05"
"264.2917,5.86"
"264.3117,5.61"
"264.3318,5.4"
"264.3517,5.23"
"264.3718,5.02"
"264.3918,4.89"
"264.4117,4.88"
"264.4318,4.73"
"264.4518,4.53"
"264.4717,4.45"
"264.4918,4.3"
"264.5117,4.21"
"264.5317,4.2"
"264.5518,4.03"
"264.5717,3.78"
"264.5917,3.68"
"264.6118,3.6"
"264.6317,3.53"
"264.6518,3.45"
"264.6718,3.34"
"264.6917,3.11"
"264.7118,3.14"
"264.7318,3.11"
"264.7517,2.98"
"264.7718,2.87"
"264.7917,2.95"
"264.8117,2.92"
"264.8318,2.92"
"264.8517,3.01"
"264.8718,3.01"
"264.8918,2.98"
"264.9117,2.87"
"264.9318,2.85"
"264.9518,2.71"
"264.9717,2.69"
"264.9918,2.73"
"265.0117,2.83"
"265.0317,2.83"
"265.0518,2.78"
"265.0717,2.85"
"265.0917,2.86"
"265.1118,2.86"
"265.1317,2.86"
"265.1518,2.91"
"265.1718,3.13"
"265.1917,3.24"
"265.2118,3.27"
"265.2318,3.34"
"265.2517,3.48"
"265.2718,3.63"
"265.2917,3.69"
"265.3117,3.7"
"265.3318,3.7"
"265.3517,3.87"
"265.3718,3.93"
"265.3918,4.14"
"265.4117,4.21"
"265.4318,4.38"
"265.4518,4.52"
"265.4717,4.54"
"265.4918,4.54"
"265.5117,4.47"
"265.5317,4.61"
"265.5518,4.52"
"265.5717,4.48"
"265.5917,4.44"
"265.6118,4.15"
"265.6317,4.05"
"265.6518,4.04"
"265.6718,3.88"
"265.6917,3.77"
"265.7118,3.97"
"265.7318,4.08"
"265.7517,4.06"
"265.7718,4.18"
"265.7917,4.18"
"265.8117,4.19"
"265.8318,4.31"
"265.8517,4.37"
"265.8718,4.31"
"265.8918,4.25"
"265.9117,4.43"
"265.9318,4.31"
"265.9518,4.37"
"265.9717,4.32"
"265.9918,4.37"
"266.0117,4.39"
"266.0317,4.36"
"266.0518,4.44"
"266.0717,4.28"
"266.0917,4.37"
"266.1118,4.56"
"266.1317,4.75"
"266.1518,4.75"
"266.1718,4.84"
"266.1917,4.88"
"266.2118,4.93"
"266.2318,4.89"
"266.2517,4.88"
"266.2718,4.87"
"266.2917,4.88"
"266.3117,4.88"
"266.3318,4.82"
"266.3517,4.84"
"266.3718,4.83"
"266.3918,4.89"
"266.4117,4.86"
"266.4318,4.79"
"266.4518,4.81"
"266.4717,4.87"
"266.4918,4.79"
"266.5117,4.72"
"266.5317,4.7"
"266.5518,4.76"
"266.5717,4.87"
"266.5917,4.86"
"266.6118,4.88"
"266.6317,4.9"
"266.6518,5.02"
"266.6718,4.91"
"266.6917,4.88"
"266.7118,4.94"
"266.7318,5.05"
"266.7517,5.19"
"266.7718,5.29"
"266.7917,5.25"
"266.8117,5.23"
"266.8318,5.22"
"266.8517,5.29"
"266.8718,5.43"
"266.8918,5.4"
"266.9117,5.4"
"266.9318,5.49"
"266.9518,5.26"
"266.9717,5.22"
"266.9918,5.12"
"267.0117,5.2"
"267.0317,5.14"
"267.0518,5.06"
"267.0717,5.01"
"267.0917,4.93"
"267.1118,4.87"
"267.1317,4.8"
"267.1518,4.87"
"267.1718,4.75"
"267.1917,4.76"
"267.2118,4.84"
"267.2318,4.76"
"267.2517,4.69"
"267.2718,4.56"
"267.2917,4.54"
"267.3117,4.54"
"267.3318,4.68"
"267.3517,4.71"
"267.3718,4.71"
"267.3918,4.83"
"267.4117,4.95"
"267.4318,5.08"
"267.4518,5.1"
"267.4717,5.12"
"267.4918,5.39"
"267.5117,5.5"
"267.5317,5.48"
"267.5518,5.46"
"267.5717,5.6"
"267.5917,5.44"
"267.6118,5.3"
"267.6317,5.35"
"267.6518,5.16"
"267.6718,5.16"
"267.6917,5.27"
"267.7118,5.17"
"267.7318,5.06"
"267.7517,5.16"
"267.7718,5.18"
"267.7917,5.09"
"267.8117,5.03"
"267.8318,4.89"
"267.8517,4.75"
"267.8718,4.71"
"267.8918,4.73"
"267.9117,4.74"
"267.9318,4.72"
