time,FuelTank
0.00171875,27
0.02171875,27
0.04171875,27
0.08171875,27
0.1017188,27
0.1217187,27
0.1427187,27
0.1627187,27
0.1817188,27
0.2017187,27
0.2217187,27
0.2417188,27
0.2627187,27
0.2817188,27
0.3017187,27
0.3217188,27
0.3427188,27
0.3627188,27
0.3817188,27
0.4017187,27
0.4217187,27
0.4427187,27
0.4627188,27
0.4817187,27
0.5017188,27
0.5217187,27
0.5417187,27
0.5617188,27
0.5817187,27
0.6017187,27
0.6217188,27
0.6417187,27
0.6617187,27
0.6817188,27
0.7017187,27
0.7217187,27
0.7417188,27
0.7617188,27
0.7817187,27
0.8017188,27
0.8217188,27
0.8427187,27
0.8617188,27
0.8817188,27
0.9017187,27
0.9217188,27
0.9417188,27
0.9627187,27
0.9817188,27
1.001719,27
1.021719,27
1.041719,27
1.061719,27
1.081719,27
1.101719,27
1.121719,27
1.142719,27
1.161719,27
1.181719,27
1.201719,27
1.222719,27
1.242719,27
1.262719,27
1.281719,27
1.301719,27
1.322719,27
1.341719,27
1.362719,27
1.381719,27
1.401719,27
1.421719,27
1.442719,27
1.461719,27
1.481719,27
1.501719,27
1.521719,27
1.541719,27
1.561719,27
1.581719,27
1.601719,27
1.621719,27
1.641719,27
1.661719,27
1.681719,27
1.701719,27
1.721719,27
1.741719,27
1.761719,27
1.781719,27
1.801719,27
1.821719,27
1.842719,27
1.861719,27
1.881719,27
1.901719,27
1.921719,27
1.942719,27
1.962719,27
1.981719,27
2.001719,27
2.021719,27
2.042719,27
2.062719,27
2.081719,27
2.101719,27
2.122719,27
2.142719,27
2.162719,27
2.181719,27
2.201719,27
2.222719,27
2.242719,27
2.262719,27
2.281719,27
2.301719,27
2.322719,27
2.342719,27
2.362719,27
2.381719,27
2.401719,27
2.421719,27
2.441719,27
2.461719,27
2.481719,27
2.501719,27
2.521719,27
2.541719,27
2.561719,27
2.581719,27
2.601719,27
2.621719,27
2.641719,27
2.661719,27
2.681719,27
2.701719,27
2.721719,27
2.742719,27
2.761719,27
2.781719,27
2.801719,27
2.821719,27
2.841719,27
2.861719,27
2.881719,27
2.901719,27
2.921719,27
2.941719,27
2.961719,27
2.981719,27
3.001719,27
3.021719,27
3.042719,27
3.062719,27
3.081719,27
3.101719,27
3.121719,27
3.141719,27
3.161719,27
3.181719,27
3.201719,27
3.221719,27
3.242719,27
3.261719,27
3.281719,27
3.301719,27
3.321719,27
3.341719,27
3.362719,27
3.381719,27
3.401719,27
3.421719,27
3.442719,27
3.461719,27
3.481719,27
3.501719,27
3.521719,27
3.542719,27
3.561719,27
3.581719,27
3.601719,27
3.621719,27
3.642719,27
3.661719,27
3.681719,27
3.701719,27
3.721719,27
3.741719,27
3.761719,27
3.781719,27
3.801719,27
3.821719,27
3.841719,27
3.861719,27
3.881719,27
3.901719,27
3.921719,27
3.941719,27
3.961719,27
3.981719,27
4.001719,27
4.021719,27
4.042719,27
4.061719,27
4.081719,27
4.101719,27
4.121719,27
4.142719,27
4.161719,27
4.181719,27
4.201719,27
4.221719,27
4.242719,27
4.261719,27
4.281719,27
4.301719,27
4.321719,27
4.342719,27
4.362719,27
4.381719,27
4.401719,27
4.421719,27
4.441719,27
4.461719,27
4.481719,27
4.501719,27
4.521719,27
4.542719,27
4.562719,27
4.581719,27
4.601719,27
4.621719,27
4.642719,27
4.661719,27
4.681719,27
4.701719,27
4.721719,27
4.742719,27
4.761719,27
4.781719,27
4.801719,27
4.821719,27
4.842719,27
4.862719,27
4.881719,27
4.901719,27
4.921719,27
4.942719,27
4.961719,27
4.981719,27
5.001719,27
5.022719,27
5.042719,27
5.062719,27
5.081719,27
5.101719,27
5.121719,27
5.142719,27
5.162719,27
5.181719,27
5.201719,27
5.221719,27
5.241719,27
5.261719,27
5.281719,27
5.301719,27
5.322719,27
5.342719,27
5.362719,27
5.381719,27
5.401719,27
5.421719,27
5.442719,27
5.461719,27
5.481719,27
5.501719,27
5.521719,27
5.541719,27
5.562719,27
5.581719,27
5.601719,27
5.621719,27
5.641719,27
5.662719,27
5.681719,27
5.701719,27
5.721719,27
5.742719,27
5.762719,27
5.781719,27
5.801719,27
5.821719,27
5.841719,27
5.861719,27
5.881719,27
5.901719,27
5.921719,27
5.942719,27
5.961719,27
5.981719,27
6.001719,27
6.021719,27
6.042719,27
6.061719,27
6.081719,27
6.101719,27
6.121719,27
6.141719,27
6.161719,27
6.181719,27
6.201719,27
6.221719,27
6.242719,27
6.261719,27
6.281719,27
6.301719,27
6.321719,27
6.341719,27
6.361719,27
6.381719,27
6.401719,27
6.421719,27
6.442719,27
6.461719,27
6.481719,27
6.501719,27
6.521719,27
6.542719,27
6.562719,27
6.581719,27
6.601719,27
6.621719,27
6.642719,27
6.661719,27
6.681719,27
6.701719,27
6.721719,27
6.741719,27
6.761719,27
6.781719,27
6.801719,27
6.821719,27
6.842719,27
6.861719,27
6.881719,27
6.901719,27
6.921719,27
6.942719,27
6.961719,27
6.981719,27
7.001719,27
7.021719,27
7.041719,27
7.061719,27
7.081719,27
7.101719,27
7.121719,27
7.141719,27
7.161719,27
7.181719,27
7.201719,27
7.221719,27
7.242719,27
7.262719,27
7.281719,27
7.301719,27
7.321719,27
7.342719,27
7.361719,27
7.381719,27
7.401719,27
7.421719,27
7.441719,27
7.461719,27
7.481719,27
7.501719,27
7.521719,27
7.542719,27
7.561719,27
7.581719,27
7.601719,27
7.621719,27
7.641719,27
7.661719,27
7.681719,27
7.701719,27
7.721719,27
7.742719,27
7.761719,27
7.781719,27
7.801719,27
7.821719,27
7.841719,27
7.861719,27
7.881719,27
7.901719,27
7.921719,27
7.942719,27
7.961719,27
7.981719,27
8.001719,27
8.021719,27
8.041718,27
8.061719,27
8.081718,27
8.101719,27
8.121718,27
8.142718,27
8.161718,27
8.181719,27
8.201718,27
8.221719,27
8.241718,27
8.262719,27
8.281719,27
8.301719,27
8.322719,27
8.341719,27
8.362719,27
8.381719,27
8.401719,27
8.421719,27
8.442719,27
8.461719,27
8.481719,27
8.501719,27
8.521719,27
8.541718,27
8.561719,27
8.581718,27
8.601719,27
8.621718,27
8.641719,27
