time,TravelKM
-0.00071875,178620
0.1992812,178620
0.3992813,178620
0.5992813,178620
0.7992812,178620
0.9992812,178620
1.200281,178620
1.399281,178620
1.600281,178620
1.799281,178620
1.999281,178620
2.199281,178620
2.399281,178620
2.599281,178620
2.799281,178620
2.999281,178620
3.199281,178620
3.399281,178620
3.599281,178620
3.799281,178620
3.999281,178620
4.199281,178620
4.399281,178620
4.599281,178620
4.799281,178620
5.000281,178620
5.200281,178620
5.400281,178620
5.599281,178620
5.799281,178620
5.999281,178620
6.199281,178620
6.399281,178620
6.599281,178620
6.799281,178620
7.000281,178620
7.199281,178620
7.399281,178620
7.599281,178620
7.799281,178620
7.999281,178620
8.199282,178620
8.399282,178620
8.599281,178620
8.799281,178620
8.999281,178620
9.199282,178620
9.399282,178620
9.599281,178620
9.799281,178620
9.999281,178620
10.19928,178620
10.39928,178620
10.59928,178620
10.79928,178620
10.99928,178620
11.19928,178620
11.39928,178620
11.59928,178620
11.79928,178620
11.99928,178620
12.19928,178620
12.39928,178620
12.59928,178620
12.80028,178620
13.00028,178620
13.19928,178620
13.39928,178620
13.59928,178620
13.79928,178620
13.99928,178620
14.19928,178620
14.39928,178620
14.59928,178620
14.79928,178620
14.99928,178620
15.19928,178620
15.39928,178620
15.59928,178620
15.79928,178620
15.99928,178620
16.19928,178620
16.39928,178620
16.59928,178620
16.79928,178620
16.99928,178620
17.19928,178620
17.39928,178620
17.59928,178620
17.79928,178620
17.99928,178620
18.19928,178620
18.39928,178620
18.59928,178620
18.79928,178620
18.99928,178620
19.19928,178620
19.39928,178620
19.59928,178620
19.79928,178620
19.99928,178620
20.19928,178620
20.39928,178620
20.59928,178620
20.79928,178620
20.99928,178620
21.19928,178620
21.39928,178620
21.59928,178620
21.79928,178620
21.99928,178620
22.19928,178620
22.39928,178620
22.59928,178620
22.79928,178620
22.99928,178620
23.19928,178620
23.39928,178620
23.59928,178620
23.79928,178620
23.99928,178620
24.19928,178620
24.39928,178620
24.59928,178620
24.79928,178620
24.99828,178620
25.19928,178620
25.39928,178620
25.59928,178620
25.79928,178620
25.99928,178620
26.19928,178620
26.39928,178620
26.59928,178620
26.79928,178620
26.99928,178620
27.19928,178620
27.39928,178620
27.59928,178620
27.79928,178620
27.99928,178620
28.19928,178620
28.39928,178620
28.59928,178620
28.79928,178620
28.99928,178620
29.19928,178620
29.39928,178620
29.59928,178620
29.79928,178620
29.99928,178620
30.19928,178620
30.39928,178620
30.59928,178620
30.79928,178620
30.99928,178620
31.19928,178620
31.39928,178620
31.59928,178620
31.79928,178620
31.99928,178620
32.19928,178620
32.39928,178620
32.59928,178620
32.79928,178620
32.99928,178620
33.19928,178620
33.39928,178620
33.59928,178620
33.79928,178620
33.99928,178620
34.19928,178620
34.39928,178620
34.59928,178620
34.79928,178620
34.99928,178620
35.19928,178620
35.39928,178620
35.59928,178620
35.79928,178620
35.99928,178620
36.19928,178620
36.39928,178620
36.59828,178620
36.79928,178620
36.99928,178620
37.19928,178620
37.39928,178620
37.59928,178620
37.79928,178620
37.99928,178620
38.19928,178620
38.39928,178620
38.59928,178620
38.79928,178620
38.99928,178620
39.19928,178620
39.39928,178620
39.59928,178620
39.79928,178620
39.99928,178620
40.19928,178620
40.39928,178620
40.59928,178620
40.79928,178620
40.99928,178620
41.19928,178620
41.39928,178620
41.59928,178620
41.79928,178620
41.99928,178620
42.19828,178620
42.39928,178620
42.59828,178620
42.79828,178620
42.99828,178620
43.19928,178620
43.39928,178620
43.59828,178620
43.79928,178620
43.99928,178620
44.19928,178620
44.39928,178620
44.59928,178620
44.79928,178620
44.99928,178620
45.19928,178620
45.39928,178620
45.59928,178620
45.79828,178620
45.99928,178620
46.19828,178620
46.39828,178620
46.59928,178620
46.79928,178620
46.99828,178620
47.19928,178620
47.39928,178620
47.59828,178620
47.79928,178620
47.99828,178620
48.19828,178620
48.39928,178620
48.59828,178620
48.79828,178620
48.99928,178620
49.19928,178620
49.39828,178620
49.59928,178620
49.79928,178620
49.99828,178620
50.19928,178620
50.39928,178620
50.59828,178620
50.79828,178620
50.99828,178620
51.19928,178620
51.39828,178620
51.59928,178620
51.79928,178620
51.99828,178620
52.19828,178620
52.39828,178620
52.59828,178620
52.79828,178620
52.99828,178620
53.19828,178620
53.39828,178620
53.59828,178620
53.79828,178620
53.99828,178620
54.19828,178620
54.39828,178620
54.59828,178620
54.79828,178620
54.99828,178620
55.19928,178620
55.39828,178620
55.59828,178620
55.79828,178620
55.99828,178620
56.19828,178620
56.39828,178620
56.59828,178620
56.79828,178620
56.99828,178620
57.19828,178620
57.39828,178620
57.59828,178620
57.79828,178620
57.99828,178620
58.19828,178620
58.39828,178620
58.59828,178620
58.79828,178620
58.99828,178620
59.19828,178620
59.39828,178620
59.59828,178620
59.79828,178620
59.99828,178620
60.19828,178620
60.39828,178620
60.59828,178620
60.79828,178620
60.99828,178620
61.19828,178620
61.39828,178620
61.59828,178620
61.79828,178620
61.99928,178620
62.19928,178620
62.39828,178620
62.59828,178620
62.79828,178620
62.99828,178620
63.19828,178620
63.39828,178620
63.59828,178620
63.79828,178620
63.99828,178620
64.19828,178620
64.39828,178620
64.59828,178620
64.79828,178620
64.99828,178620
65.19828,178620
65.39828,178620
65.59828,178620
65.79828,178620
65.99828,178620
66.19828,178620
66.39828,178620
66.59828,178620
66.79828,178620
66.99828,178620
67.19828,178620
67.39828,178620
67.59828,178620
67.79828,178620
67.99828,178620
68.19828,178620
68.39828,178620
68.59828,178620
68.79828,178620
68.99828,178620
69.19828,178620
69.39828,178620
69.59828,178620
69.79828,178620
69.99828,178620
70.19828,178620
70.39828,178620
70.59828,178620
70.79828,178620
70.99828,178620
71.19928,178620
71.39828,178620
71.59828,178620
71.79828,178620
71.99828,178620
72.19828,178620
72.39828,178620
72.59828,178620
72.79828,178620
72.99828,178620
73.19828,178620
73.39828,178620
73.59828,178620
73.79828,178620
73.99828,178620
74.19828,178620
74.39828,178620
74.59828,178620
74.79828,178620
74.99828,178620
75.19828,178620
75.39828,178620
75.59828,178620
75.79828,178620
75.99828,178620
76.19828,178620
76.39828,178620
76.59828,178620
76.79828,178620
76.99828,178620
77.19828,178620
77.39828,178620
77.59828,178620
77.79828,178620
77.99828,178620
78.19828,178620
78.39828,178620
78.59828,178620
78.79828,178620
78.99828,178620
79.19828,178620
79.39828,178620
79.59828,178620
79.79828,178620
79.99828,178620
80.19828,178620
80.39828,178620
80.59828,178620
80.79828,178620
80.99828,178620
81.19828,178620
81.39828,178620
81.59828,178620
81.79828,178620
81.99828,178620
82.19828,178620
82.39828,178620
82.59828,178620
82.79828,178620
82.99828,178620
83.19828,178620
83.39828,178620
83.59828,178620
83.79828,178620
83.99828,178620
84.19828,178620
84.39828,178620
84.59828,178620
84.79828,178620
84.99828,178620
85.19828,178620
85.39828,178620
85.59828,178620
85.79828,178620
85.99828,178620
86.19828,178620
86.39828,178620
86.59828,178620
86.79828,178620
86.99828,178620
87.19828,178620
87.39828,178620
87.59828,178620
87.79828,178620
87.99828,178620
88.19828,178620
88.39828,178620
88.59828,178620
88.79828,178620
88.99828,178620
89.19828,178620
89.39828,178620
89.59828,178620
89.79828,178620
89.99828,178620
90.19828,178620
90.39828,178620
90.59928,178620
90.79928,178620
90.99828,178620
91.19828,178620
91.39828,178620
91.59828,178620
91.79928,178620
91.99928,178620
92.19928,178620
92.39928,178620
92.59928,178620
92.79928,178620
92.99828,178620
93.19828,178620
93.39828,178620
93.59828,178620
93.79828,178620
93.99828,178620
94.19828,178620
94.39928,178620
94.59928,178620
94.79928,178620
94.99928,178620
95.19828,178620
95.39828,178620
95.59828,178620
95.79928,178620
95.99828,178620
96.19828,178620
96.39828,178620
96.59828,178620
96.79828,178620
96.99828,178620
97.19828,178620
97.39828,178620
97.59828,178620
97.79828,178620
97.99828,178620
98.19828,178620
98.39828,178620
98.59828,178620
98.79828,178620
98.99828,178620
99.19828,178620
99.39828,178620
99.59828,178620
99.79828,178620
99.99828,178620
100.1983,178620
100.3983,178620
100.5983,178620
100.7983,178620
100.9983,178620
101.1983,178620
101.3983,178620
101.5983,178620
101.7983,178620
101.9983,178620
102.1983,178620
102.3983,178620
102.5983,178620
102.7983,178620
102.9983,178620
103.1983,178620
103.3983,178620
103.5983,178620
103.7983,178620
103.9983,178620
104.1983,178620
104.3983,178620
104.5983,178620
104.7983,178620
104.9983,178620
105.1983,178620
105.3983,178620
105.5983,178620
105.7983,178620
105.9983,178620
