time,DeTorque
-0.0001875,6.24
0.0198125,5.85
0.0398125,5.85
0.0798125,5.46
0.0998125,5.46
0.1198125,5.46
0.1398125,5.46
0.1598125,5.46
0.1798125,5.85
0.1998125,5.85
0.2188125,5.46
0.2398125,5.85
0.2598125,5.85
0.2798125,5.46
0.2998125,5.46
0.3198125,5.46
0.3398125,5.46
0.3598125,5.46
0.3788125,5.07
0.3988125,5.07
0.4198125,5.07
0.4398125,5.07
0.4598125,5.07
0.4798125,5.07
0.4988125,5.46
0.5198125,5.07
0.5388125,5.07
0.5588125,5.07
0.5788125,5.07
0.5988125,5.07
0.6188125,5.07
0.6388125,5.07
0.6588125,5.07
0.6788125,5.07
0.6988125,5.07
0.7188125,5.07
0.7388125,5.46
0.7588125,5.46
0.7788125,5.46
0.7988125,5.46
0.8188125,5.85
0.8388125,6.24
0.8588125,6.24
0.8788125,6.63
0.8988125,6.63
0.9188125,7.02
0.9388125,7.41
0.9588125,7.41
0.9788125,7.41
0.9988125,7.8
1.018813,7.8
1.038813,8.19
1.058812,8.19
1.078812,8.19
1.098812,8.19
1.118812,8.19
1.138813,8.19
1.158813,8.19
1.178813,8.58
1.198812,8.97
1.218812,8.97
1.238812,9.75
1.258813,10.14
1.278813,10.53
1.298813,11.31
1.318812,11.7
1.338812,12.48
1.358812,12.87
1.378813,13.26
1.398813,13.26
1.418813,13.65
1.438812,13.65
1.458812,13.65
1.478812,13.65
1.498813,13.65
1.518813,14.04
1.538813,14.04
1.558812,14.04
1.578812,14.43
1.598812,14.43
1.618812,14.43
1.638813,14.82
1.658813,14.82
1.678813,15.21
1.698812,15.21
1.718812,15.6
1.738812,15.6
1.758813,15.6
1.778813,15.99
1.798813,15.99
1.818812,15.99
1.838812,15.99
1.858812,15.99
1.878813,16.38
1.898813,16.38
1.918813,16.38
1.937812,16.38
1.957813,16.38
1.977813,16.38
1.997813,16.38
2.018812,16.77
2.037812,17.16
2.057812,17.55
2.077812,17.94
2.097812,18.33
2.117812,18.33
2.137813,18.72
