time,OutsTemp
0.001625,15
0.201625,15
0.401625,15
0.601625,15
0.801625,15
1.001625,15
1.202625,15
1.402625,15
1.601625,15
1.801625,15
2.001625,15
2.201625,15
2.401625,15
2.601625,15
2.801625,15
3.001625,15
3.201625,15
3.401625,15
3.601625,15
3.801625,15
4.001625,15
4.201625,15
4.401625,15
4.601625,15
4.801625,15
5.001625,15
5.201625,15
5.401625,15
5.601625,15
5.801625,15
6.001625,15
6.201625,15
6.401625,15
6.601625,15
6.801625,15
7.001625,15
7.201625,15
7.401625,15
7.601625,15
7.801625,15
8.001625,15
8.201625,15
8.401625,15
8.601625,15
8.801625,15
9.001625,15
9.201625,15
9.401625,15
9.601625,15
9.801625,15
10.00163,15
10.20162,15
10.40162,15
10.60163,15
10.80163,15
11.00163,15
11.20162,15
11.40162,15
11.60163,15
11.80163,15
12.00163,15
12.20162,15
12.40162,15
12.60163,15
12.80163,15
13.00163,15
13.20162,15
13.40162,15
13.60163,15
13.80163,15
14.00163,15
14.20162,15
14.40162,15
14.60163,15
14.80163,15
15.00163,15
15.20162,15
15.40162,15
15.60163,15
15.80163,15
16.00163,15
16.20163,15
16.40162,15
16.60163,15
16.80162,15
17.00163,15
17.20163,15
17.40162,15
17.60163,15
17.80162,15
18.00163,15
18.20163,15
18.40162,15
18.60163,15
18.80162,15
19.00163,15
19.20163,15
19.40162,15
19.60163,15
19.80162,15
20.00163,15
20.20163,15
20.40162,15
20.60163,15
20.80162,15
21.00163,15
21.20163,15
21.40162,15
21.60163,15
21.80162,15
22.00163,15
22.20163,15
22.40162,15
22.60163,15
22.80162,15
23.00163,15
23.20163,15
23.40162,15
23.60163,15
23.80162,15
24.00163,15
24.20163,15
24.40162,15
24.60163,15
24.80162,15
25.00163,15
25.20163,15
25.40162,15
25.60163,15
25.80162,15
26.00163,15
26.20163,15
26.40162,15
26.60062,15
26.80162,15
27.00163,15
27.20163,15
27.40162,15
27.60163,15
27.80162,15
28.00163,15
28.20163,15
28.40162,15
28.60163,15
28.80162,15
29.00163,15
29.20163,15
29.40162,15
29.60163,15
29.80162,15
30.00163,15
30.20163,15
30.40162,15
30.60163,15
30.80062,15
31.00163,15
31.20163,15
31.40162,15
31.60163,15
31.80162,15
32.00163,15
32.20163,15
32.40163,15
32.60162,15
32.80162,15
33.00163,15
33.20163,15
33.40163,15
33.60162,15
33.80062,15
34.00063,15
34.20163,15
34.40163,15
34.60162,15
34.80162,15
35.00163,15
35.20163,15
35.40163,15
35.60162,15
35.80062,15
36.00163,15
36.20163,15
36.40163,15
36.60162,15
36.80162,15
37.00163,15
37.20163,15
37.40163,15
37.60162,15
37.80162,15
38.00163,15
38.20163,15
38.40163,15
38.60162,15
38.80162,15
39.00163,15
39.20163,15
39.40163,15
39.60162,15
39.80162,15
40.00163,15
40.20163,15
40.40062,15
40.60162,15
40.80162,15
41.00063,15
41.20163,15
41.40062,15
41.60062,15
41.80062,15
42.00063,15
42.20063,15
42.40062,15
42.60062,15
42.80062,15
43.00063,15
43.20163,15
43.40062,15
43.60162,15
43.80162,15
44.00163,15
44.20063,15
44.40163,15
44.60062,15
44.80162,15
45.00163,15
45.20163,15
45.40062,15
45.60162,15
45.80162,15
46.00063,15
46.20063,15
46.40062,15
46.60062,15
46.80062,15
47.00163,15
47.20063,15
47.40062,15
47.60062,15
47.80162,15
48.00163,15
48.20163,15
48.40062,15
48.60062,15
48.80062,15
49.00063,15
49.20063,15
49.40163,15
49.60062,15
49.80062,15
50.00063,15
50.20063,15
50.40163,15
50.60062,15
50.80062,15
51.00063,15
51.20063,15
51.40062,15
51.60062,15
51.80062,15
52.00063,15
52.20063,15
52.40062,15
52.60062,15
52.80062,15
53.00063,15
53.20063,15
53.40062,15
53.60062,15
53.80062,15
54.00063,15
54.20063,15
54.40062,15
54.60062,15
54.80062,15
55.00063,15
55.20063,15
55.40062,15
55.60162,15
55.80062,15
56.00063,15
56.20063,15
56.40062,15
56.60062,15
56.80062,15
57.00063,15
57.20063,15
57.40062,15
57.60062,15
57.80062,15
58.00063,15
58.20063,15
58.40062,15
58.60062,15
58.80062,15
59.00063,15
59.20063,15
59.40062,15
59.60062,15
59.80062,15
60.00063,15
60.20063,15
60.40062,15
60.60062,15
60.80062,15
61.00063,15
61.20063,15
61.40062,15
61.60062,15
61.80162,15
62.00063,15
62.20063,15
62.40062,15
62.60062,15
62.80062,15
63.00063,15
63.20063,15
63.40062,15
63.60062,15
63.80062,15
64.00063,15
64.20062,15
64.40063,15
64.60062,15
64.80063,15
65.00063,15
65.20062,15
65.40063,15
65.60062,15
65.80063,15
66.00063,15
66.20062,15
66.40063,15
66.60062,15
66.80063,15
67.00063,15
67.20062,15
67.40063,15
67.60062,15
67.80063,15
68.00063,15
68.20062,15
68.40063,15
68.60062,15
68.80063,15
69.00063,15
69.20062,15
69.40063,15
69.60062,15
69.80063,15
70.00063,15
70.20062,15
70.40063,15
70.60062,15
70.80063,15
71.00063,15
71.20062,15
71.40063,15
71.60062,15
71.80063,15
72.00063,15
72.20062,15
72.40063,15
72.60062,15
72.80063,15
73.00063,15
73.20062,15
73.40063,15
73.60062,15
73.80063,15
74.00063,15
74.20062,15
74.40063,15
74.60062,15
74.80063,15
75.00063,15
75.20062,15
75.40063,15
75.60062,15
75.80063,15
76.00063,15
76.20062,15
76.40063,15
76.60062,15
76.80063,15
77.00063,15
77.20062,15
77.40063,15
77.60062,15
77.80063,15
78.00063,15
78.20062,15
78.40063,15
78.60062,15
78.80063,15
79.00063,15
79.20062,15
79.40063,15
79.60062,15
79.80063,15
80.00063,15
80.20062,15
80.40063,15
80.60062,15
80.80063,15
81.00063,15
81.20062,15
81.40063,15
81.60062,15
81.80063,15
82.00063,15
82.20062,15
82.40063,15
82.60062,15
82.80063,15
83.00063,15
83.20062,15
83.40063,15
83.60062,15
83.80063,15
84.00063,15
84.20062,15
84.40063,15
84.60062,15
84.80063,15
85.00063,15
85.20062,15
85.40063,15
85.60062,15
85.80063,15
86.00063,15
86.20062,15
86.40063,15
86.60062,15
86.80063,15
87.00063,15
87.20062,15
87.40063,15
87.60062,15
87.80063,15
88.00063,15
88.20062,15
88.40063,15
88.60062,15
88.80063,15
89.00063,15
89.20062,15
89.40063,15
89.60062,15
89.80063,15
90.00063,15
90.20062,15
90.40063,15
90.60062,15
90.80063,15
91.00063,15
91.20062,15
91.40063,15
91.60062,15
91.80163,15
92.00163,15
92.20162,15
92.40163,15
92.60162,15
92.80163,15
93.00063,15
93.20062,15
93.40063,15
93.60062,15
93.80063,15
94.00163,15
94.20062,15
94.40163,15
94.60062,15
94.80063,15
95.00063,15
95.20062,15
95.40063,15
95.60062,15
95.80063,15
96.00063,15
96.20062,15
96.40063,15
96.60062,15
96.80063,15
97.00063,15
97.20062,15
97.40063,15
97.60062,15
97.80063,15
98.00063,15
98.20062,15
98.40063,15
98.60062,15
98.80063,15
99.00063,15
99.20062,15
99.40063,15
99.60062,15
99.80063,15
100.0006,15
100.2006,15
100.4006,15
100.6006,15
100.8006,15
101.0006,15
101.2006,15
101.4006,15
101.6006,15
101.8006,15
102.0006,15
102.2006,15
102.4006,15
102.6006,15
102.8006,15
103.0006,15
103.2006,15
103.4006,15
103.6006,15
103.8006,15
104.0006,15
104.2006,15
104.4006,15
104.6006,15
104.8006,15
105.0006,15
105.2006,15
105.4006,15
105.6006,15
105.8006,15
106.0006,15
106.2006,15
106.4006,15
106.6006,15
106.8006,15
107.0006,15
107.2006,15
107.4006,15
107.6006,15
107.7996,15
107.9996,15
108.1996,15
108.4006,15
108.5996,15
108.7996,15
108.9996,15
109.2006,15
109.4006,15
109.5996,15
109.8006,15
110.0006,15
110.1996,15
110.3996,15
110.6006,15
110.8006,15
110.9996,15
111.1996,15
111.3996,15
111.5996,15
111.7996,15
111.9996,15
112.1996,15
112.4006,15
112.6006,15
112.7996,15
113.0006,15
113.2006,15
113.3996,15
113.6006,15
113.8006,15
113.9996,15
114.1996,15
114.3996,15
114.5996,15
114.7996,15
115.0006,15
115.1996,15
115.3996,15
115.5996,15
115.7996,15
116.0006,15
116.1996,15
116.3996,15
116.6006,15
116.8006,15
117.0006,15
117.2006,15
117.4006,15
117.5996,15
117.7996,15
117.9996,15
118.1996,15
118.3996,15
118.5996,14.5
118.7996,14.5
118.9996,14.5
119.1996,14.5
119.3996,14.5
119.5996,14.5
119.7996,14.5
119.9996,14.5
120.2006,14.5
120.4006,14.5
120.6006,14.5
120.7996,14.5
121.0006,14.5
121.1996,14.5
121.4006,14.5
121.6006,14.5
121.7996,14.5
121.9996,14.5
122.1996,14.5
122.3996,14.5
122.5996,14.5
122.8006,14.5
122.9996,14.5
123.2006,14.5
123.3996,14.5
123.5996,14.5
123.7996,14.5
123.9996,14.5
124.1996,14.5
124.3996,14.5
124.5996,14.5
124.8006,14.5
124.9996,14.5
125.2006,14.5
125.3996,14.5
125.5996,14.5
125.8006,14.5
125.9996,14.5
126.1996,14.5
126.4006,14.5
126.6006,14.5
126.7996,14.5
127.0006,14.5
127.1996,14.5
127.3996,14.5
127.5996,14.5
127.7996,14.5
127.9996,14.5
128.1996,14.5
128.3996,14.5
128.6006,14.5
128.7996,14.5
128.9996,14.5
129.1996,14.5
129.4006,14.5
129.5996,14.5
129.7996,14.5
129.9996,14.5
130.1996,14.5
130.3996,14.5
130.5996,14.5
130.7996,14.5
130.9996,14.5
131.1996,14.5
131.3996,14.5
131.5996,14.5
131.7996,14.5
131.9996,14.5
132.1996,14.5
132.4006,14.5
132.6006,14.5
132.7996,14.5
133.0006,14.5
133.1996,14.5
133.3996,14.5
133.5996,14.5
133.7996,14.5
133.9996,14.5
134.1996,14.5
134.3996,14.5
134.5996,14.5
134.7996,14.5
134.9996,14.5
135.1996,14.5
135.3996,14.5
135.5996,14.5
135.7996,14.5
135.9996,14.5
136.1996,14.5
136.3996,14.5
136.5996,14.5
136.7996,14.5
136.9996,14.5
137.1996,14.5
137.3996,14.5
137.5996,14.5
137.7996,14.5
137.9996,14.5
138.1996,14.5
138.3996,14.5
138.5996,14.5
138.7996,14.5
138.9996,14.5
