time,OperTime
-0.00071875,26936
0.1992812,26936
0.3992813,26936
0.5992813,26936
0.7992812,26936
0.9992812,26936
1.200281,26936
1.399281,26936
1.600281,26936
1.799281,26936
1.999281,26936
2.199281,26936
2.399281,26936
2.599281,26936
2.799281,26936
2.999281,26936
3.199281,26936
3.399281,26936
3.599281,26936
3.799281,26936
3.999281,26936
4.199281,26936
4.399281,26936
4.599281,26936
4.799281,26936
5.000281,26936
5.200281,26936
5.400281,26936
5.599281,26936
5.799281,26936
5.999281,26936
6.199281,26936
6.399281,26936
6.599281,26936
6.799281,26936
7.000281,26936
7.199281,26936
7.399281,26936
7.599281,26936
7.799281,26936
7.999281,26936
8.199282,26936
8.399282,26936
8.599281,26936
8.799281,26936
8.999281,26936
9.199282,26936
9.399282,26936
9.599281,26936
9.799281,26936
9.999281,26936
10.19928,26936
10.39928,26936
10.59928,26936
10.79928,26936
10.99928,26936
11.19928,26936
11.39928,26936
11.59928,26936
11.79928,26936
11.99928,26936
12.19928,26936
12.39928,26936
12.59928,26936
12.80028,26936
13.00028,26936
13.19928,26936
13.39928,26936
13.59928,26936
13.79928,26936
13.99928,26936
14.19928,26936
14.39928,26936
14.59928,26936
14.79928,26936
14.99928,26936
15.19928,26936
15.39928,26936
15.59928,26936
15.79928,26936
15.99928,26936
16.19928,26936
16.39928,26936
16.59928,26936
16.79928,26936
16.99928,26936
17.19928,26936
17.39928,26936
17.59928,26936
17.79928,26936
17.99928,26936
18.19928,26936
18.39928,26936
18.59928,26936
18.79928,26936
18.99928,26936
19.19928,26936
19.39928,26936
19.59928,26936
19.79928,26936
19.99928,26936
20.19928,26936
20.39928,26936
20.59928,26936
20.79928,26936
20.99928,26936
21.19928,26936
21.39928,26936
21.59928,26936
21.79928,26936
21.99928,26936
22.19928,26936
22.39928,26936
22.59928,26936
22.79928,26936
22.99928,26936
23.19928,26936
23.39928,26936
23.59928,26936
23.79928,26936
23.99928,26936
24.19928,26936
24.39928,26936
24.59928,26936
24.79928,26936
24.99828,26936
25.19928,26936
25.39928,26936
25.59928,26936
25.79928,26936
25.99928,26936
26.19928,26936
26.39928,26936
26.59928,26936
26.79928,26936
26.99928,26936
27.19928,26936
27.39928,26936
27.59928,26936
27.79928,26936
27.99928,26936
28.19928,26936
28.39928,26936
28.59928,26936
28.79928,26936
28.99928,26936
29.19928,26936
29.39928,26936
29.59928,26936
29.79928,26936
29.99928,26936
30.19928,26936
30.39928,26936
30.59928,26936
30.79928,26936
30.99928,26936
31.19928,26936
31.39928,26936
31.59928,26936
31.79928,26936
31.99928,26936
32.19928,26936
32.39928,26936
32.59928,26936
32.79928,26936
32.99928,26936
33.19928,26936
33.39928,26936
33.59928,26936
33.79928,26936
33.99928,26936
34.19928,26936
34.39928,26936
34.59928,26936
34.79928,26936
34.99928,26936
35.19928,26936
35.39928,26936
35.59928,26936
35.79928,26936
35.99928,26936
36.19928,26936
36.39928,26936
36.59828,26936
36.79928,26936
36.99928,26936
37.19928,26936
37.39928,26936
37.59928,26936
37.79928,26936
37.99928,26936
38.19928,26936
38.39928,26936
38.59928,26936
38.79928,26936
38.99928,26936
39.19928,26936
39.39928,26936
39.59928,26936
39.79928,26936
39.99928,26936
40.19928,26936
40.39928,26936
40.59928,26936
40.79928,26936
40.99928,26936
41.19928,26936
41.39928,26936
41.59928,26936
41.79928,26936
41.99928,26936
42.19828,26936
42.39928,26936
42.59828,26936
42.79828,26936
42.99828,26936
43.19928,26936
43.39928,26936
43.59828,26936
43.79928,26936
43.99928,26936
44.19928,26936
44.39928,26936
44.59928,26936
44.79928,26936
44.99928,26936
45.19928,26936
45.39928,26936
45.59928,26936
45.79828,26936
45.99928,26936
46.19828,26936
46.39828,26936
46.59928,26936
46.79928,26936
46.99828,26936
47.19928,26936
47.39928,26936
47.59828,26936
47.79928,26936
47.99828,26936
48.19828,26936
48.39928,26936
48.59828,26936
48.79828,26936
48.99928,26936
49.19928,26936
49.39828,26936
49.59928,26936
49.79928,26936
49.99828,26936
50.19928,26936
50.39928,26936
50.59828,26936
50.79828,26936
50.99828,26936
51.19928,26936
51.39828,26936
51.59928,26936
51.79928,26936
51.99828,26936
52.19828,26936
52.39828,26936
52.59828,26936
52.79828,26936
52.99828,26936
53.19828,26936
53.39828,26936
53.59828,26936
53.79828,26936
53.99828,26936
54.19828,26936
54.39828,26936
54.59828,26936
54.79828,26936
54.99828,26936
55.19928,26936
55.39828,26936
55.59828,26936
55.79828,26936
55.99828,26936
56.19828,26936
56.39828,26936
56.59828,26936
56.79828,26936
56.99828,26936
57.19828,26936
57.39828,26936
57.59828,26936
57.79828,26936
57.99828,26936
58.19828,26936
58.39828,26936
58.59828,26936
58.79828,26936
58.99828,26936
59.19828,26936
59.39828,26936
59.59828,26936
59.79828,26936
59.99828,26936
60.19828,26936
60.39828,26936
60.59828,26936
60.79828,26936
60.99828,26936
61.19828,26936
61.39828,26936
61.59828,26936
61.79828,26936
61.99928,26936
62.19928,26936
62.39828,26936
62.59828,26936
62.79828,26936
62.99828,26936
63.19828,26936
63.39828,26936
63.59828,26936
63.79828,26936
63.99828,26936
64.19828,26936
64.39828,26936
64.59828,26936
64.79828,26936
64.99828,26936
65.19828,26936
65.39828,26936
65.59828,26936
65.79828,26936
65.99828,26936
66.19828,26936
66.39828,26936
66.59828,26936
66.79828,26936
66.99828,26936
67.19828,26936
67.39828,26936
67.59828,26936
67.79828,26936
67.99828,26936
68.19828,26936
68.39828,26936
68.59828,26936
68.79828,26936
68.99828,26936
69.19828,26936
69.39828,26936
69.59828,26936
69.79828,26936
69.99828,26936
70.19828,26936
70.39828,26936
70.59828,26936
70.79828,26936
70.99828,26936
71.19928,26936
71.39828,26936
71.59828,26936
71.79828,26936
71.99828,26936
72.19828,26936
72.39828,26936
72.59828,26936
72.79828,26936
72.99828,26936
73.19828,26936
73.39828,26936
73.59828,26936
73.79828,26936
73.99828,26936
74.19828,26936
74.39828,26936
74.59828,26936
74.79828,26936
74.99828,26936
75.19828,26936
75.39828,26936
75.59828,26936
75.79828,26936
75.99828,26936
76.19828,26936
76.39828,26936
76.59828,26936
76.79828,26936
76.99828,26936
77.19828,26936
77.39828,26936
77.59828,26936
77.79828,26936
77.99828,26936
78.19828,26936
78.39828,26936
78.59828,26936
78.79828,26936
78.99828,26936
79.19828,26936
79.39828,26936
79.59828,26936
79.79828,26936
79.99828,26936
80.19828,26936
80.39828,26936
80.59828,26936
80.79828,26936
80.99828,26936
81.19828,26936
81.39828,26936
81.59828,26936
81.79828,26936
81.99828,26936
82.19828,26936
82.39828,26936
82.59828,26936
82.79828,26936
82.99828,26936
83.19828,26936
83.39828,26936
83.59828,26936
83.79828,26936
83.99828,26936
84.19828,26936
84.39828,26936
84.59828,26936
84.79828,26936
84.99828,26936
85.19828,26936
85.39828,26936
85.59828,26936
85.79828,26936
85.99828,26936
86.19828,26936
86.39828,26936
86.59828,26936
86.79828,26936
86.99828,26936
87.19828,26936
87.39828,26936
87.59828,26936
87.79828,26936
87.99828,26936
88.19828,26936
88.39828,26936
88.59828,26936
88.79828,26936
88.99828,26936
89.19828,26936
89.39828,26936
89.59828,26936
89.79828,26936
89.99828,26936
90.19828,26936
90.39828,26936
90.59928,26936
90.79928,26936
90.99828,26936
91.19828,26936
91.39828,26936
91.59828,26936
91.79928,26936
91.99928,26936
92.19928,26936
92.39928,26936
92.59928,26936
92.79928,26936
92.99828,26936
93.19828,26936
93.39828,26936
93.59828,26936
93.79828,26936
93.99828,26936
94.19828,26936
94.39928,26936
94.59928,26936
94.79928,26936
94.99928,26936
95.19828,26936
95.39828,26936
95.59828,26936
95.79928,26936
95.99828,26936
96.19828,26936
96.39828,26936
96.59828,26936
96.79828,26936
96.99828,26936
97.19828,26936
97.39828,26936
97.59828,26936
97.79828,26936
97.99828,26936
98.19828,26936
98.39828,26936
98.59828,26936
98.79828,26936
98.99828,26936
99.19828,26936
99.39828,26936
99.59828,26936
99.79828,26936
99.99828,26936
100.1983,26936
100.3983,26936
100.5983,26936
100.7983,26936
100.9983,26936
101.1983,26936
101.3983,26936
101.5983,26936
101.7983,26936
101.9983,26936
102.1983,26936
102.3983,26936
102.5983,26936
102.7983,26936
102.9983,26936
103.1983,26936
103.3983,26936
103.5983,26936
103.7983,26936
103.9983,26936
104.1983,26936
104.3983,26936
104.5983,26936
104.7983,26936
104.9983,26936
105.1983,26936
105.3983,26936
105.5983,26936
105.7983,26936
105.9983,26936
106.1983,26936
106.3983,26936
106.5983,26936
106.7983,26936
106.9983,26936
107.1973,26936
107.3983,26936
107.5983,26936
107.7983,26936
107.9983,26936
108.1973,26936
108.3983,26936
108.5983,26936
108.7983,26936
108.9983,26936
109.1983,26936
109.3983,26936
109.5983,26936
109.7983,26936
109.9983,26936
110.1983,26936
110.3983,26936
110.5983,26936
110.7983,26936
110.9983,26936
111.1973,26936
111.3973,26936
111.5983,26936
111.7973,26936
111.9983,26936
112.1973,26936
112.3983,26936
112.5973,26936
112.7973,26936
112.9983,26936
113.1973,26936
113.3973,26936
113.5973,26936
113.7973,26936
113.9983,26936
114.1983,26936
114.3973,26936
114.5973,26936
114.7973,26936
114.9973,26936
115.1973,26936
115.3973,26936
115.5983,26936
115.7983,26936
115.9983,26936
116.1973,26936
116.3973,26936
116.5983,26936
116.7973,26936
116.9983,26936
117.1983,26936
117.3973,26936
117.5983,26936
117.7973,26936
117.9973,26936
118.1973,26936
118.3973,26936
118.5973,26936
118.7973,26936
118.9973,26936
119.1973,26936
119.3973,26936
119.5973,26936
119.7973,26936
119.9973,26936
120.1973,26936
120.3973,26936
120.5983,26936
120.7983,26936
120.9983,26936
121.1973,26936
121.3973,26936
121.5973,26936
121.7973,26936
121.9973,26936
122.1973,26936
122.3973,26936
122.5973,26936
122.7973,26936
122.9973,26936
123.1973,26936
123.3983,26936
123.5973,26936
123.7973,26936
123.9973,26936
124.1973,26936
124.3983,26936
124.5973,26936
124.7983,26936
124.9983,26936
125.1983,26936
125.3983,26936
125.5983,26936
125.7983,26936
125.9983,26936
126.1983,26936
126.3983,26936
126.5973,26936
126.7973,26936
126.9973,26936
127.1973,26936
127.3973,26936
127.5973,26936
127.7973,26936
127.9973,26936
128.1973,26936
128.3973,26936
128.5983,26936
128.7983,26936
128.9973,26936
129.1983,26936
129.3973,26936
129.5973,26936
129.7973,26936
129.9973,26936
130.1973,26936
130.3973,26936
130.5973,26936
130.7973,26936
130.9973,26936
131.1973,26936
131.3973,26936
131.5973,26936
131.7973,26936
131.9973,26936
132.1973,26936
132.3983,26936
132.5983,26936
132.7973,26936
132.9973,26936
133.1973,26936
133.3973,26936
133.5973,26936
133.7973,26936
133.9973,26936
134.1973,26936
134.3973,26936
134.5973,26936
134.7973,26936
134.9973,26936
135.1973,26936
135.3973,26936
135.5973,26936
135.7973,26936
135.9973,26936
136.1973,26936
136.3973,26936
136.5973,26936
136.7973,26936
136.9973,26936
137.1973,26936
137.3973,26936
137.5973,26936
137.7973,26936
137.9973,26936
138.1973,26936
138.3973,26936
138.5973,26936
138.7973,26936
138.9973,26936
139.1973,26936
139.3973,26936
139.5973,26936
139.7973,26936
139.9973,26936
140.1973,26936
140.3973,26936
140.5973,26936
140.7973,26936
140.9973,26936
141.1973,26936
141.3973,26936
141.5973,26936
141.7973,26936
141.9973,26936
142.1973,26936
142.3973,26936
142.5973,26936
142.7973,26936
142.9973,26936
143.1973,26936
143.3973,26936
143.5973,26936
143.7973,26936
143.9973,26936
144.1973,26936
144.3973,26936
144.5973,26936
144.7973,26936
144.9973,26936
145.1973,26936
145.3973,26936
145.5973,26936
145.7973,26936
145.9973,26936
146.1973,26936
146.3973,26936
146.5973,26936
146.7973,26936
146.9973,26936
147.1973,26936
147.3973,26936
147.5973,26936
147.7973,26936
147.9973,26936
148.1973,26936
148.3973,26936
148.5973,26936
148.7973,26936
148.9973,26936
149.1973,26936
149.3973,26936
149.5973,26936
149.7973,26936
149.9973,26936
150.1973,26936
150.3973,26936
150.5973,26936
150.7973,26936
150.9973,26936
151.1973,26936
151.3973,26936
151.5973,26936
151.7973,26936
151.9973,26936
152.1973,26936
152.3973,26936
152.5973,26936
152.7973,26936
152.9973,26936
153.1973,26936
153.3973,26936
153.5973,26936
153.7973,26936
153.9973,26936
154.1973,26936
154.3973,26936
154.5973,26936
154.7973,26936
154.9973,26936
155.1973,26936
155.3973,26936
155.5973,26936
155.7973,26936
155.9973,26936
156.1973,26936
156.3973,26936
156.5973,26936
156.7973,26936
156.9973,26936
157.1973,26936
157.3973,26936
157.5973,26936
157.7973,26936
157.9973,26936
158.1973,26936
158.3973,26936
158.5973,26936
158.7973,26936
158.9973,26936
159.1973,26936
159.3973,26936
159.5973,26936
159.7973,26936
159.9973,26936
160.1973,26936
160.3973,26936
160.5973,26936
160.7973,26936
160.9973,26936
161.1973,26936
161.3973,26936
161.5973,26936
161.7963,26936
161.9963,26936
162.1963,26936
162.3963,26936
162.5963,26936
162.7963,26936
162.9963,26936
163.1973,26936
163.3973,26936
163.5973,26936
163.7973,26936
163.9973,26936
164.1963,26936
164.3963,26936
164.5963,26936
164.7963,26936
164.9963,26936
165.1963,26936
165.3963,26936
165.5963,26936
165.7963,26936
165.9963,26936
166.1963,26936
166.3973,26936
166.5963,26936
166.7973,26936
166.9963,26936
167.1963,26936
167.3963,26936
167.5963,26936
167.7963,26936
167.9963,26936
168.1963,26936
168.3963,26936
168.5963,26936
168.7963,26936
168.9963,26936
169.1963,26936
169.3973,26936
169.5963,26936
169.7963,26936
169.9963,26936
170.1963,26936
170.3963,26936
170.5963,26936
170.7963,26936
170.9963,26936
171.1963,26936
171.3963,26936
171.5963,26936
171.7963,26936
171.9963,26936
172.1963,26936
172.3963,26936
172.5963,26936
172.7963,26936
172.9963,26936
173.1963,26936
173.3963,26936
173.5963,26936
173.7963,26936
173.9963,26936
174.1963,26936
174.3963,26936
174.5963,26936
174.7963,26936
174.9963,26936
175.1963,26936
175.3963,26936
175.5963,26936
175.7963,26936
175.9963,26936
176.1963,26936
176.3963,26936
176.5963,26936
176.7963,26936
176.9963,26936
177.1963,26936
177.3963,26936
177.5963,26936
177.7963,26936
177.9963,26936
178.1963,26936
178.3963,26936
178.5963,26936
178.7963,26936
178.9963,26936
179.1963,26936
179.3963,26936
179.5963,26936
179.7963,26936
179.9963,26936
180.1963,26936
180.3963,26936
180.5963,26936
180.7963,26936
180.9963,26936
181.1963,26936
181.3963,26936
181.5963,26936
181.7963,26936
181.9963,26936
182.1963,26936
182.3963,26936
182.5963,26936
182.7963,26936
182.9963,26936
183.1963,26936
183.3963,26936
183.5963,26936
183.7963,26936
183.9963,26936
184.1963,26936
184.3963,26936
184.5963,26936
184.7963,26936
184.9963,26936
185.1963,26936
185.3963,26936
185.5963,26936
185.7963,26936
185.9963,26936
186.1963,26936
186.3963,26936
186.5963,26936
186.7963,26936
186.9963,26936
187.1963,26936
187.3963,26936
187.5963,26936
187.7963,26936
187.9963,26936
188.1963,26936
188.3963,26936
188.5963,26936
188.7963,26936
188.9963,26936
189.1963,26936
189.3963,26936
189.5963,26936
189.7963,26936
189.9963,26936
190.1963,26936
190.3963,26936
190.5963,26936
190.7963,26936
190.9963,26936
191.1963,26936
191.3963,26936
191.5963,26936
191.7963,26936
191.9963,26936
192.1963,26936
192.3963,26936
192.5963,26936
192.7963,26936
192.9963,26936
193.1963,26936
193.3963,26936
193.5963,26936
193.7963,26936
193.9963,26936
194.1963,26936
194.3963,26936
194.5963,26936
194.7963,26936
194.9963,26936
195.1963,26936
195.3963,26936
195.5963,26936
195.7963,26936
195.9963,26936
196.1963,26936
196.3963,26936
196.5963,26936
196.7963,26936
196.9963,26936
197.1963,26936
197.3963,26936
197.5963,26936
197.7963,26936
197.9963,26936
198.1963,26936
198.3963,26936
198.5963,26936
198.7963,26936
198.9963,26936
199.1963,26936
199.3963,26936
199.5963,26936
199.7963,26936
199.9963,26936
200.1963,26936
200.3963,26936
200.5963,26936
200.7963,26936
200.9963,26936
201.1963,26936
201.3963,26936
201.5963,26936
201.7963,26936
201.9963,26936
202.1963,26936
202.3963,26936
202.5963,26936
202.7963,26936
202.9963,26936
203.1963,26936
203.3963,26936
203.5963,26936
203.7963,26936
203.9963,26936
204.1963,26936
204.3963,26936
204.5963,26936
204.7963,26936
204.9963,26936
205.1963,26936
205.3963,26936
205.5963,26936
205.7963,26936
205.9963,26936
206.1963,26936
206.3963,26936
206.5963,26936
206.7963,26936
206.9963,26936
207.1963,26936
207.3963,26936
207.5963,26936
207.7963,26936
207.9963,26936
208.1963,26936
208.3963,26936
208.5963,26936
208.7963,26936
208.9963,26936
209.1963,26936
209.3963,26936
209.5963,26936
209.7963,26936
209.9963,26936
210.1963,26936
210.3963,26936
210.5963,26936
210.7963,26936
210.9963,26936
211.1963,26936
211.3963,26936
211.5963,26936
211.7963,26936
211.9963,26936
212.1963,26936
212.3963,26936
212.5963,26936
212.7963,26936
212.9963,26936
213.1963,26936
213.3963,26936
213.5963,26936
213.7963,26936
213.9963,26936
214.1963,26936
214.3963,26936
214.5963,26936
214.7963,26936
214.9963,26936
215.1963,26936
215.3963,26936
215.5963,26936
