time,GRAAccel
0.0018125,0
0.0218125,0
0.0418125,0
0.0618125,0
0.0818125,0
0.1018125,0
0.1218125,0
0.1418125,0
0.1618125,0
0.1818125,0
0.2018125,0
0.2218125,0
0.2408125,0
0.2608125,0
0.2808125,0
0.3008125,0
0.3208125,0
0.3408125,0
0.3608125,0
0.3808125,0
0.4008125,0
0.4208125,0
0.4408125,0
0.4608125,0
0.4808125,0
0.5008125,0
0.5208125,0
0.5408125,0
0.5608125,0
0.5808125,0
0.6008125,0
0.6208125,0
0.6408125,0
0.6608125,0
0.6808125,0
0.7008125,0
0.7208125,0
0.7408125,0
0.7608125,0
0.7808125,0
0.8008125,0
0.8208125,0
0.8408125,0
0.8608125,0
0.8808125,0
0.9008125,0
0.9208125,0
0.9408125,0
0.9608125,0
0.9808125,0
1.000813,0
1.020813,0
1.040812,0
1.060812,0
1.080812,0
1.100813,0
1.120813,0
1.140813,0
1.160812,0
1.180812,0
1.200812,0
1.220813,0
1.240813,0
1.260813,0
1.280813,0
1.300812,0
1.320812,0
1.340812,0
1.360813,0
1.380813,0
1.400813,0
1.420812,0
1.440812,0
1.460812,0
1.480813,0
1.500813,0
1.520813,0
1.540812,0
1.560812,0
1.580812,0
1.600813,0
1.620813,0
1.640813,0
1.660812,0
1.680812,0
1.700812,0
1.720813,0
1.740813,0
1.759812,0
1.779812,0
1.799813,0
1.820812,0
1.839813,0
1.859812,0
1.880813,0
1.900813,0
1.919812,0
1.939813,0
1.960812,0
1.980813,0
2.000813,0
2.019813,0
2.040812,0
2.059813,0
2.080812,0
2.099813,0
2.119812,0
2.139812,0
2.159812,0
2.179812,0
2.199812,0
2.219812,0
2.239813,0
2.259813,0
2.279813,0
2.299813,0
2.319813,0
2.339813,0
2.359812,0
2.379812,0
2.399812,0
2.419812,0
2.439812,0
2.459812,0
2.479812,0
2.499813,0
2.519813,0
2.539813,0
2.559813,0
2.579813,0
2.599813,0
2.619812,0
2.639812,0
2.659812,0
2.679812,0
2.699812,0
2.719812,0
2.739813,0
2.759813,0
2.779813,0
2.799813,0
2.819813,0
2.839813,0
2.859812,0
2.879812,0
2.899812,0
2.919812,0
2.939812,0
2.959812,0
2.979812,0
2.999813,0
3.019813,0
3.039813,0
3.059813,0
3.079813,0
3.099813,0
3.119812,0
3.139812,0
3.159812,0
3.179812,0
3.199812,0
3.219812,0
3.239813,0
3.259813,0
3.279813,0
3.299813,0
3.319813,0
3.338813,0
3.358813,0
3.379812,0
3.398813,0
3.418813,0
3.438812,0
3.458812,0
3.478812,0
3.498812,0
3.518812,0
3.538812,0
3.558813,0
3.578813,0
3.598813,0
3.619812,0
3.638813,0
3.658813,0
3.678813,0
3.698812,0
3.718812,0
3.738812,0
3.758812,0
3.778812,0
3.798812,0
3.818813,0
3.838813,0
3.858813,0
3.878813,0
3.898813,0
3.918813,0
3.938812,0
3.958812,0
3.978812,0
3.998812,0
4.018813,0
4.038813,0
4.058813,0
4.078813,0
4.098813,0
4.118813,0
4.138813,0
4.158813,0
4.178813,0
4.198812,0
4.218812,0
4.238812,0
4.258812,0
4.278812,0
4.298812,0
4.318812,0
4.338812,0
4.358812,0
4.378812,0
4.398812,0
4.418812,0
4.438813,0
4.458813,0
4.478813,0
4.498813,0
4.518813,0
4.538813,0
4.558813,0
4.578813,0
4.598813,0
4.618813,0
4.638813,0
4.658813,0
4.678813,0
4.698812,0
4.718812,0
4.738812,0
4.758812,0
4.778812,0
4.798812,0
4.818812,0
4.838812,0
4.857812,0
4.878812,0
4.898812,0
4.918812,0
4.937812,0
4.958813,0
4.978813,0
4.998813,0
5.018813,0
5.038813,0
5.058813,0
5.078813,0
5.098813,0
5.118813,0
5.138813,0
5.158813,0
5.178813,0
5.197813,0
5.218812,0
5.238812,0
5.258812,0
5.278812,0
5.298812,0
5.317812,0
5.337812,0
5.357812,0
5.378812,0
5.398812,0
5.418812,0
5.437812,0
5.458813,0
5.477812,0
5.497812,0
5.518813,0
5.537813,0
5.557813,0
5.577813,0
5.597813,0
5.618813,0
5.638813,0
5.657813,0
5.677813,0
5.697813,0
5.717813,0
5.737813,0
5.757813,0
5.777812,0
5.797812,0
5.817812,0
5.837812,0
5.857812,0
5.877812,0
5.897812,0
5.917812,0
5.937812,0
5.957812,0
5.977812,0
5.997812,0
6.017813,0
6.037813,0
6.057813,0
6.077813,0
6.097813,0
6.117813,0
6.137813,0
6.157813,0
6.177813,0
6.197813,0
6.216813,0
6.236813,0
6.256813,0
6.276813,0
6.296813,0
6.316813,0
6.336812,0
6.356812,0
6.376812,0
6.396812,0
6.416812,0
6.436812,0
6.456812,0
6.476812,0
6.496812,0
6.516812,0
6.536812,0
6.556812,0
6.576812,0
6.596813,0
6.616813,0
6.636813,0
6.656813,0
6.676813,0
6.696813,0
6.716813,0
6.736813,0
6.756813,0
6.776813,0
6.796813,0
6.816813,0
6.836812,0
6.856812,0
6.876812,0
6.896812,0
6.916812,0
6.936812,0
6.956812,0
6.976812,0
6.996812,0
7.016812,0
7.036812,0
7.056812,0
7.076812,0
7.096813,0
7.116813,0
7.136813,0
7.156813,0
7.176813,0
7.196813,0
7.216813,0
7.236813,0
7.256813,0
7.276813,0
7.296813,0
7.316813,0
7.336812,0
7.356812,0
7.376812,0
7.396812,0
7.416812,0
7.436812,0
7.456812,0
7.476812,0
7.496812,0
7.516812,0
7.536812,0
7.556812,0
7.576812,0
7.596813,0
7.616813,0
7.636813,0
7.656813,0
7.676813,0
7.696813,0
7.715813,0
7.735813,0
7.755813,0
7.775813,0
7.795813,0
7.815813,0
7.835813,0
7.855813,0
7.875813,0
7.895813,0
7.915812,0
7.935812,0
7.955812,0
7.975812,0
7.995812,0
8.015813,0
8.035812,0
8.055813,0
8.075812,0
8.095813,0
8.115812,0
8.135813,0
8.155812,0
8.175813,0
8.195812,0
8.215813,0
8.235812,0
8.255813,0
8.275812,0
8.295813,0
8.315812,0
8.335813,0
8.355812,0
8.375813,0
8.395812,0
8.415812,0
8.435813,0
8.455812,0
8.475813,0
8.495812,0
8.515813,0
8.535812,0
8.555813,0
8.575812,0
8.595813,0
8.615812,0
8.635813,0
8.655812,0
8.675813,0
8.695812,0
8.715813,0
8.735812,0
8.755813,0
8.775812,0
8.795813,0
8.815812,0
8.835813,0
8.855812,0
8.875813,0
8.895812,0
8.915812,0
8.935813,0
8.955812,0
8.975813,0
8.995812,0
9.015813,0
9.035812,0
9.055813,0
9.075812,0
9.095813,0
9.115812,0
9.135813,0
9.155812,0
9.175813,0
9.195812,0
9.214812,0
9.234813,0
9.254812,0
9.274813,0
9.294812,0
9.314813,0
9.334812,0
9.354813,0
9.374812,0
9.394813,0
9.414812,0
9.434813,0
9.454812,0
9.474813,0
9.494813,0
9.514812,0
9.534813,0
9.554812,0
9.574813,0
9.594812,0
9.614813,0
9.634812,0
9.654813,0
9.674812,0
9.694813,0
9.714812,0
9.734813,0
9.754812,0
9.774813,0
9.794812,0
9.814813,0
9.834812,0
9.854813,0
9.874812,0
9.894813,0
9.914812,0
9.934813,0
9.954812,0
9.974813,0
9.994813,0
10.01481,0
10.03481,0
10.05481,0
10.07481,0
10.09481,0
10.11481,0
10.13481,0
10.15481,0
10.17481,0
10.19481,0
10.21481,0
10.23481,0
10.25481,0
10.27481,0
10.29481,0
10.31481,0
10.33481,0
10.35481,0
10.37481,0
10.39481,0
10.41481,0
10.43481,0
10.45481,0
10.47481,0
10.49481,0
10.51481,0
10.53481,0
10.55481,0
10.57481,0
10.59481,0
10.61481,0
10.63481,0
10.65481,0
10.67481,0
10.69481,0
10.71481,0
10.73481,0
10.75481,0
10.77481,0
10.79481,0
10.81481,0
10.83481,0
10.85381,0
10.87381,0
10.89481,0
10.91381,0
10.93381,0
10.95381,0
10.97381,0
10.99381,0
11.01381,0
11.03381,0
11.05381,0
11.07381,0
11.09381,0
11.11381,0
11.13381,0
11.15381,0
11.17381,0
11.19381,0
11.21381,0
11.23381,0
11.25381,0
11.27381,0
11.29381,0
11.31381,0
11.33381,0
11.35381,0
11.37381,0
11.39381,0
11.41381,0
11.43381,0
11.45381,0
11.47381,0
11.49381,0
11.51381,0
11.53381,0
11.55381,0
11.57381,0
11.59381,0
11.61381,0
11.63381,0
11.65381,0
11.67381,0
11.69381,0
11.71381,0
11.73381,0
11.75381,0
11.77381,0
11.79381,0
11.81381,0
11.83381,0
11.85381,0
11.87381,0
11.89381,0
11.91381,0
11.93381,0
11.95381,0
11.97381,0
11.99381,0
12.01381,0
12.03381,0
12.05381,0
12.07381,0
12.09381,0
12.11381,0
12.13381,0
12.15381,0
12.17381,0
12.19381,0
12.21281,0
12.23281,0
12.25281,0
12.27281,0
12.29281,0
12.31281,0
12.33281,0
12.35281,0
12.37281,0
12.39281,0
12.41281,0
12.43281,0
12.45281,0
12.47281,0
12.49281,0
12.51281,0
12.53281,0
12.55281,0
12.57281,0
12.59281,0
12.61281,0
12.63281,0
12.65281,0
12.67281,0
12.69281,0
12.71281,0
12.73281,0
12.75281,0
12.77281,0
12.79281,0
12.81281,0
12.83281,0
12.85281,0
12.87281,0
12.89281,0
12.91281,0
12.93281,0
12.95281,0
12.97281,0
12.99281,0
13.01281,0
13.03281,0
13.05281,0
13.07281,0
13.09281,0
13.11281,0
13.13281,0
13.15281,0
13.17281,0
13.19281,0
13.21281,0
13.23281,0
13.25281,0
13.27281,0
13.29281,0
13.31281,0
13.33281,0
13.35281,0
13.37281,0
13.39281,0
13.41281,0
13.43281,0
13.45281,0
13.47281,0
13.49281,0
13.51281,0
13.53281,0
13.55281,0
13.57281,0
13.59281,0
13.61281,0
13.63281,0
13.65281,0
13.67281,0
13.69181,0
13.71181,0
13.73181,0
13.75181,0
13.77181,0
13.79181,0
13.81181,0
13.83181,0
13.85181,0
13.87181,0
13.89181,0
13.91181,0
13.93181,0
13.95181,0
13.97181,0
13.99181,0
14.01181,0
14.03181,0
14.05181,0
14.07181,0
14.09181,0
14.11181,0
14.13181,0
14.15181,0
14.17181,0
14.19181,0
14.21181,0
14.23181,0
14.25181,0
14.27181,0
14.29181,0
14.31181,0
14.33181,0
14.35181,0
14.37181,0
14.39181,0
14.41181,0
14.43181,0
14.45181,0
14.47181,0
14.49181,0
14.51181,0
14.53181,0
14.55181,0
14.57181,0
14.59181,0
14.61181,0
14.63181,0
14.65181,0
14.67181,0
14.69181,0
14.71181,0
14.73181,0
14.75181,0
14.77181,0
14.79181,0
14.81181,0
14.83181,0
14.85181,0
14.87181,0
14.89181,0
14.91181,0
14.93181,0
14.95181,0
14.97181,0
14.99181,0
15.01181,0
15.03181,0
15.05181,0
15.07181,0
15.09181,0
15.11181,0
15.13181,0
15.15181,0
15.17181,0
15.19081,0
15.21081,0
15.23081,0
15.25081,0
15.27081,0
15.29081,0
15.31081,0
15.33081,0
15.35081,0
15.37081,0
15.39081,0
15.41081,0
15.43081,0
15.45081,0
15.47081,0
15.49081,0
15.51081,0
15.53081,0
15.55081,0
15.57081,0
15.59081,0
15.61081,0
15.63081,0
15.65081,0
15.67081,0
15.69081,0
15.71081,0
15.73081,0
15.75081,0
15.77081,0
15.79081,0
15.81081,0
15.83081,0
15.85081,0
15.87081,0
15.89081,0
15.91081,0
15.93081,0
15.95081,0
15.97081,0
15.99081,0
16.01081,0
16.03081,0
16.05081,0
16.07081,0
16.09081,0
16.11081,0
16.13081,0
16.15081,0
16.17081,0
16.19081,0
16.21081,0
16.23081,0
16.25081,0
16.27081,0
16.29081,0
16.31081,0
16.33081,0
16.35081,0
16.37081,0
16.39081,0
16.41081,0
16.43081,0
16.45081,0
16.47081,0
16.49081,0
16.51081,0
16.53081,0
16.55081,0
16.57081,0
16.59081,0
16.61081,0
16.63081,0
16.65081,0
16.67081,0
16.69081,0
16.70981,0
16.72981,0
16.74981,0
16.76981,0
16.78981,0
16.81081,0
16.82981,0
16.84981,0
16.86981,0
16.88981,0
16.90981,0
16.92981,0
16.94981,0
16.96981,0
16.98981,0
17.00981,0
17.02981,0
17.04981,0
17.06981,0
