time,AccPedal
7.553094,48.8
7.573094,48.4
7.593094,48.4
7.613094,48.4
7.633094,48.4
7.653094,48.4
7.673094,48.4
7.693094,48
7.712094,48
7.732094,48
7.752094,48
7.772094,47.6
7.792094,47.2
7.812094,46.8
7.832094,46.4
7.852094,45.6
7.872094,45.2
7.892094,45.2
7.912094,44.8
7.932094,44.8
7.952094,44.4
7.972094,44
7.992094,43.6
8.012094,43.6
8.032094,43.2
8.052094,42.8
8.072094,42.4
8.092093,42
8.112094,41.6
8.132093,41.2
8.152094,41.2
8.172093,40.8
8.192094,40.8
8.212093,40.8
8.232094,40.4
8.252093,40.4
8.272094,40.4
8.292093,40
8.312094,40
8.332094,40
8.352094,40
8.372094,39.6
8.392094,39.6
8.412094,39.2
8.432094,39.2
8.452094,39.2
8.472094,39.2
8.492094,39.2
8.512094,39.2
8.532094,39.2
8.552094,39.2
8.572094,39.2
8.592093,39.2
8.612094,39.2
8.632093,39.2
8.652094,39.2
8.672093,39.2
8.692094,39.2
8.712093,39.2
8.732094,39.2
8.752093,39.2
8.772094,39.2
8.792093,39.2
8.812094,39.2
8.832094,38.8
8.852094,38.8
8.872094,38.8
8.892094,38.8
8.912094,38.8
8.932094,38.8
8.952094,38.8
8.972094,38.8
8.992094,38.8
9.012094,38.8
9.032094,38.8
9.052094,38.8
9.072094,38.8
9.092093,38.8
9.112094,38.8
9.132093,38.8
9.152094,38.8
9.171094,38.8
9.191093,38.8
9.211094,38.8
9.231093,38.8
9.251094,38.8
9.272094,38.4
9.292093,38
9.311093,37.6
9.331094,37.2
9.351093,36.8
9.371094,36.8
9.391094,36.8
9.411094,36.4
9.431094,36.4
9.451094,36.4
9.471094,36.4
9.491094,36.4
9.511094,36.4
9.531094,36.4
9.551094,36.4
9.571094,36.4
9.591094,36.4
9.611094,36.4
9.631094,36.4
9.651093,36.4
9.671094,36.4
9.691093,36.4
9.711094,36.4
9.731093,36.4
9.751094,36.4
9.771093,36.4
9.791094,36.4
9.811093,36.4
9.831094,36.4
9.851093,36.4
9.871094,36.4
9.891094,36.4
9.911094,36.4
9.931094,36.4
9.951094,36.4
9.971094,36.4
9.991094,36.4
10.01109,36.4
10.03109,36.4
