time,OperTime
0.00125,53056
0.20125,53056
0.40125,53056
0.60125,53056
0.80125,53056
1.00125,53056
1.20125,53056
1.40125,53056
1.60125,53056
1.80125,53056
2.00125,53056
2.20125,53056
2.40125,53056
2.60125,53056
2.80125,53056
3.00125,53056
3.20125,53056
3.40125,53056
3.60125,53056
3.80125,53056
4.00125,53056
4.20125,53056
4.40125,53056
4.60125,53056
4.80125,53056
5.00125,53056
5.20125,53056
5.40125,53056
5.60125,53056
5.80125,53056
6.00125,53056
6.20125,53056
6.40125,53056
6.60125,53056
6.80125,53056
7.00125,53056
7.20125,53056
7.40125,53056
7.60125,53056
7.80125,53056
8.00125,53056
8.20125,53056
8.40125,53056
8.60125,53056
8.80125,53056
9.00125,53056
9.20125,53056
9.40125,53056
9.60125,53056
9.80125,53056
10.00125,53056
10.20125,53056
10.40125,53056
10.60125,53056
10.80125,53056
11.00125,53056
11.20125,53056
11.40125,53056
11.60125,53056
11.80125,53056
12.00125,53056
12.20125,53056
12.40125,53056
12.60125,53056
12.80125,53056
13.00125,53056
13.20125,53056
13.40125,53056
13.60125,53056
13.80125,53056
14.00125,53056
14.20125,53056
14.40125,53056
14.60125,53056
14.80125,53056
15.00125,53056
15.20125,53056
15.40125,53056
15.60125,53056
15.80125,53056
16.00125,53056
16.20125,53056
16.40125,53056
16.60125,53056
16.80125,53056
17.00125,53056
17.20125,53056
17.40125,53056
17.60125,53056
17.80125,53056
18.00125,53056
18.20125,53056
18.40125,53056
18.60125,53056
18.80125,53056
19.00125,53056
19.20125,53056
19.40125,53056
19.60125,53056
19.80225,53056
20.00125,53056
20.20125,53056
20.40125,53056
20.60125,53056
20.80125,53056
21.00125,53056
21.20125,53056
21.40125,53056
21.60125,53056
21.80125,53056
22.00125,53056
22.20125,53056
22.40125,53056
22.60125,53056
22.80125,53056
23.00025,53056
23.20025,53056
23.40125,53056
23.60125,53056
23.80125,53056
24.00125,53056
24.20125,53056
24.40125,53056
24.60125,53056
24.80125,53056
25.00125,53056
25.20125,53056
25.40125,53056
25.60125,53056
25.80125,53056
26.00125,53056
26.20125,53056
26.40125,53056
26.60125,53056
26.80125,53056
27.00125,53056
27.20125,53056
27.40125,53056
27.60125,53056
27.80125,53056
28.00125,53056
28.20125,53056
28.40125,53056
28.60125,53056
28.80125,53056
29.00125,53056
29.20125,53056
29.40125,53056
29.60125,53056
29.80125,53056
30.00125,53056
30.20125,53056
30.40125,53056
30.60125,53056
30.80125,53056
31.00125,53056
31.20125,53056
31.40125,53056
31.60125,53056
31.80125,53056
32.00125,53056
32.20125,53056
32.40125,53056
32.60125,53056
32.80125,53056
33.00125,53056
33.20125,53056
33.40125,53056
33.60125,53056
33.80025,53056
34.00025,53056
34.20025,53056
34.40125,53056
34.60025,53056
34.80125,53056
35.00025,53056
35.20125,53056
35.40125,53056
35.60125,53056
35.80125,53056
36.00125,53056
36.20125,53056
36.40125,53056
36.60125,53056
36.80025,53056
37.00025,53056
37.20025,53056
37.40125,53056
37.60025,53056
37.80025,53056
38.00025,53056
38.20025,53056
38.40125,53056
38.60025,53056
38.80025,53056
39.00025,53056
39.20025,53056
39.40025,53056
39.60025,53056
39.80025,53056
40.00025,53056
40.20025,53056
40.40025,53056
40.60025,53056
40.80125,53056
41.00025,53056
41.20125,53056
41.40125,53056
41.60025,53056
41.80025,53056
42.00025,53056
42.20125,53056
42.40025,53056
42.60025,53056
42.80025,53056
43.00025,53056
43.20025,53056
43.40025,53056
43.60125,53056
43.80125,53056
44.00025,53056
44.20125,53056
44.40125,53056
44.60125,53056
44.80025,53056
45.00025,53056
45.20025,53056
45.40025,53056
45.60025,53056
45.80025,53056
46.00025,53056
46.20025,53056
46.40025,53056
46.60025,53056
46.80125,53056
47.00125,53056
47.20025,53056
47.40025,53056
47.60125,53056
47.80025,53056
48.00025,53056
48.20025,53056
48.40025,53056
48.60025,53056
48.80025,53056
49.00025,53056
49.20025,53056
49.40025,53056
49.60025,53056
49.80025,53056
50.00125,53056
50.20125,53056
50.40125,53056
50.60125,53056
50.80025,53056
51.00025,53056
51.20025,53056
51.40025,53056
51.60025,53056
51.80025,53056
52.00025,53056
52.20025,53056
52.40025,53056
52.60025,53056
52.80025,53056
53.00025,53056
53.20025,53056
53.40025,53056
53.60025,53056
53.80025,53056
54.00025,53056
54.20025,53056
54.40025,53056
54.60025,53056
54.80025,53056
55.00025,53056
55.20025,53056
55.40025,53056
55.60025,53056
55.80025,53056
56.00025,53056
56.20025,53056
56.40025,53056
56.60025,53056
56.80025,53056
57.00025,53056
57.20025,53056
57.40125,53056
57.60025,53056
57.80025,53056
58.00025,53056
58.20025,53056
58.40025,53056
58.60025,53056
58.80025,53056
59.00025,53056
59.20025,53056
59.40025,53056
59.60025,53056
59.80025,53056
60.00025,53056
60.20025,53056
60.40025,53056
60.60025,53056
60.80025,53056
61.00025,53056
61.20025,53056
61.40025,53056
61.60025,53056
61.80025,53056
62.00025,53056
62.20025,53056
62.40025,53056
62.60025,53056
62.80025,53056
63.00025,53056
63.20125,53056
63.40025,53056
63.60025,53056
63.80025,53056
64.00025,53056
64.20025,53056
64.40025,53056
64.60025,53056
64.80025,53056
65.00025,53056
65.20025,53056
65.40025,53056
65.60025,53056
65.80025,53056
66.00025,53056
66.20025,53056
66.40025,53056
66.60025,53056
66.80025,53056
67.00025,53056
67.20025,53056
67.40025,53056
67.60025,53056
67.80025,53056
68.00025,53056
68.20025,53056
68.40025,53056
68.60025,53056
68.80025,53056
69.00025,53056
69.20025,53056
69.40025,53056
69.60025,53056
69.80025,53056
70.00025,53056
70.20025,53056
70.40025,53056
70.60025,53056
70.80025,53056
71.00025,53056
71.20025,53056
71.40025,53056
71.60025,53056
71.80025,53056
72.00025,53056
72.20025,53056
72.40025,53056
72.60025,53056
72.80025,53056
73.00025,53056
73.20025,53056
73.40025,53056
73.60025,53056
73.80025,53056
74.00025,53056
74.20025,53056
74.40025,53056
74.60025,53056
74.80025,53056
75.00025,53056
75.20025,53056
75.40025,53056
75.60025,53056
75.80025,53056
76.00025,53056
76.20025,53056
76.40025,53056
76.60025,53056
76.80025,53056
77.00025,53056
77.20025,53056
77.40025,53056
77.60025,53056
77.80025,53056
78.00025,53056
78.20025,53056
78.40025,53056
78.60025,53056
78.80025,53056
79.00025,53056
79.20025,53056
79.40025,53056
79.60025,53056
79.80025,53056
80.00025,53056
80.20025,53056
80.40025,53056
80.60025,53056
80.80025,53056
81.00025,53056
81.20025,53056
81.40025,53056
81.60025,53056
81.80025,53056
82.00025,53056
82.20025,53056
82.40025,53056
82.60025,53056
82.80025,53056
83.00025,53056
83.20025,53056
83.40025,53056
83.60025,53056
83.80025,53056
84.00025,53056
84.20025,53056
84.40025,53056
84.60025,53056
84.80025,53056
85.00025,53056
85.20025,53056
85.40025,53056
85.60025,53056
85.80025,53056
86.00025,53056
86.20025,53056
86.40025,53056
86.60025,53056
86.80025,53056
87.00025,53056
87.20025,53056
87.40025,53056
87.60025,53056
87.80025,53056
88.00025,53056
88.20025,53056
88.40025,53056
88.60025,53056
88.80025,53056
89.00025,53056
89.20025,53056
89.40025,53056
89.60025,53056
89.80025,53056
90.00025,53056
90.20025,53056
90.40025,53056
90.60025,53056
90.80025,53056
91.00025,53056
91.20025,53056
91.40025,53056
91.60025,53056
91.80025,53056
92.00025,53056
92.20025,53056
92.40025,53056
92.60025,53056
92.80025,53056
92.99925,53056
93.20025,53056
93.40025,53056
93.59925,53056
93.79925,53056
94.00025,53056
94.19925,53056
94.40025,53056
94.59925,53056
94.79925,53056
94.99925,53056
95.19925,53056
95.39925,53056
95.60025,53056
95.79925,53056
95.99925,53056
96.20025,53056
96.40025,53056
96.60025,53056
96.80025,53056
96.99925,53056
97.19925,53056
97.39925,53056
97.59925,53056
97.79925,53056
98.00025,53056
98.19925,53056
98.39925,53056
98.59925,53056
98.79925,53056
98.99925,53056
99.19925,53056
99.39925,53056
99.59925,53056
99.79925,53056
99.99925,53056
100.1992,53056
100.3992,53056
100.5993,53056
100.7992,53056
101.0003,53056
101.1992,53056
101.3992,53056
101.5993,53056
101.8002,53056
101.9993,53056
102.2002,53056
102.3992,53056
102.5993,53056
102.7992,53056
102.9993,53056
103.1992,53056
103.4003,53056
103.5993,53056
103.7992,53056
103.9993,53056
104.1992,53056
104.3992,53056
104.5993,53056
104.7992,53056
104.9993,53056
105.1992,53056
105.3992,53056
105.5993,53056
105.8002,53056
105.9993,53056
106.1992,53056
106.3992,53056
106.5993,53056
106.7992,53056
106.9993,53056
107.1992,53056
107.3992,53056
107.5993,53056
107.7992,53056
107.9993,53056
108.1992,53056
108.3992,53056
108.5993,53056
108.7992,53056
108.9993,53056
109.1992,53056
109.3992,53056
109.6003,53056
109.7992,53056
109.9993,53056
110.1992,53056
110.3992,53056
110.5993,53056
110.7992,53056
110.9993,53056
111.1992,53056
111.4003,53056
111.6003,53056
111.8002,53056
112.0003,53056
112.1992,53056
112.3992,53056
112.5993,53056
112.7992,53056
112.9993,53056
113.1992,53056
113.3992,53056
113.5993,53056
113.7992,53056
113.9993,53056
114.1992,53056
114.3992,53056
114.5993,53056
114.7992,53056
114.9993,53056
115.1992,53056
115.4003,53056
115.5993,53056
115.7992,53056
115.9993,53056
116.1992,53056
116.3992,53056
116.5993,53056
116.7992,53056
116.9993,53056
117.1992,53056
117.3992,53056
117.5993,53056
117.7992,53056
117.9993,53056
118.1992,53056
118.3992,53056
118.5993,53056
118.7992,53056
118.9993,53056
119.1992,53056
119.3992,53056
119.5993,53056
119.7992,53056
119.9993,53056
120.1992,53056
120.3992,53056
120.5993,53056
120.7992,53056
120.9993,53056
121.1992,53056
121.3992,53056
121.5993,53056
121.7992,53056
121.9993,53056
122.1992,53056
122.3992,53056
122.5993,53056
122.7992,53056
122.9993,53056
123.1992,53056
123.3992,53056
123.5993,53056
123.7992,53056
123.9993,53056
124.1992,53056
124.3992,53056
124.5993,53056
124.7992,53056
124.9993,53056
125.1992,53056
125.3992,53056
125.5993,53056
125.7992,53056
125.9993,53056
126.1992,53056
126.3992,53056
126.5993,53056
126.7992,53056
126.9993,53056
127.1992,53056
127.3992,53056
127.5993,53056
127.7992,53056
127.9993,53056
128.1992,53056
128.3992,53056
128.5992,53056
128.7993,53056
128.9993,53056
129.1992,53056
129.3992,53056
129.5992,53056
129.7993,53056
129.9993,53056
130.1992,53056
130.3992,53056
130.5992,53056
130.7993,53056
130.9993,53056
131.1992,53056
131.3992,53056
131.5992,53056
131.7993,53056
131.9993,53056
132.1992,53056
132.3992,53056
132.5992,53056
132.7993,53056
132.9993,53056
133.1992,53056
133.3992,53056
133.5992,53056
133.7993,53056
133.9993,53056
134.1992,53056
134.3992,53056
134.5992,53056
134.7993,53056
134.9993,53056
135.1992,53056
135.3992,53056
135.5992,53056
135.7993,53056
135.9993,53056
136.1992,53056
136.3992,53056
136.5992,53056
136.7993,53056
136.9993,53056
137.1992,53056
137.3992,53056
137.5992,53056
137.7993,53056
137.9993,53056
138.1992,53056
138.3992,53056
138.5992,53056
138.7993,53056
138.9993,53056
139.1992,53056
139.3992,53056
139.5992,53056
139.7993,53056
139.9993,53056
140.1992,53056
140.3992,53056
140.5992,53056
140.7993,53056
140.9993,53056
141.1992,53056
141.3992,53056
141.5992,53056
141.7993,53056
141.9993,53056
142.1992,53056
142.3992,53056
142.5992,53056
142.7993,53056
142.9993,53056
143.1992,53056
143.3992,53056
143.5992,53056
143.7993,53056
143.9993,53056
144.1992,53056
144.3992,53056
144.5992,53056
144.7993,53056
144.9993,53056
145.1992,53056
145.3992,53056
145.5992,53056
145.7993,53056
145.9993,53056
146.1992,53056
146.3992,53056
146.5992,53056
146.7993,53056
146.9993,53056
147.1992,53056
