time,WheelSpd
-0.0011875,0
0.0088125,0
0.0188125,0
0.0298125,0
0.0398125,0
0.0498125,0
0.0598125,0
0.0798125,14.875
0.0898125,14.875
0.0998125,14.875
0.1098125,14.875
0.1198125,14.875
0.1298125,14.875
0.1398125,14.875
0.1498125,14.875
0.1598125,14.875
0.1698125,14.875
0.1798125,0
0.1898125,0
0.1998125,0
0.2098125,0
0.2198125,0
0.2298125,0
0.2398125,0
0.2498125,0
0.2598125,0
0.2698125,0
0.2798125,0
0.2898125,0
0.2998125,0
0.3098125,0
0.3198125,0
0.3298125,0
0.3398125,0
0.3498125,0
0.3598125,0
0.3698125,0
0.3798125,0
0.3898125,0
0.3998125,0
0.4108125,0
0.4208125,0
0.4308125,0
0.4408125,0
0.4508125,0
0.4608125,0
0.4708125,0
0.4808125,0
0.4908125,0
0.5008125,0
0.5108125,0
0.5208125,0
0.5308125,0
0.5408125,0
0.5508125,0
0.5608125,0
0.5708125,0
0.5808125,0
0.5908125,0
0.6008125,0
0.6108125,0
0.6208125,0
0.6308125,0
0.6408125,0
0.6508125,0
0.6608125,0
0.6708125,0
0.6808125,0
0.6908125,0
0.7008125,0
0.7108125,0
0.7208125,0
0.7308125,0
0.7408125,0
0.7508125,0
0.7608125,0
0.7708125,0
0.7808125,0
0.7908125,0
0.8018125,0
0.8118125,0
0.8218125,0
0.8318125,0
0.8418125,0
0.8518125,0
0.8618125,0
0.8718125,0
0.8818125,0
0.8918125,0
0.9018125,0
0.9118125,0
0.9218125,0
0.9318125,0
0.9418125,0
0.9518125,0
0.9618125,0
0.9718125,0
0.9818125,0
0.9918125,0
1.001812,0
1.011812,0
1.021813,0
1.031813,0
1.041813,0
1.051813,0
1.061813,0
1.071813,0
1.081813,0
1.091812,0
1.101812,0
1.111812,0
1.121812,0
1.131812,0
1.141812,0
1.151813,0
1.161813,0
1.171813,0
1.181813,0
1.192812,0
1.202813,0
1.212813,0
1.222813,0
1.232813,0
1.242813,0
1.252813,0
1.262812,0
1.272812,0
1.282812,0
1.292812,0
1.302812,0
1.312812,0
1.322813,0
1.332813,0
1.342813,0
1.352813,0
1.362813,0
1.372813,0
1.382813,0
1.392812,0
1.402812,0
1.412812,0
1.422812,0
1.432812,0
1.442812,0
1.452813,0
1.462813,0
1.472813,0
1.482813,0
1.492813,0
1.502813,0
1.512812,0
1.522812,0
1.532812,0
1.542812,0
1.552812,0
1.562812,0
1.573812,0
1.583812,0
1.593812,0
1.603812,0
1.613812,0
1.623813,0
1.633813,0
1.643813,0
1.653813,0
1.663813,0
1.673813,0
1.683812,0
1.693812,0
1.703812,0
1.713812,0
1.723812,0
1.733812,0
1.743812,0
1.753813,14.875
1.763813,14.875
1.773813,14.875
1.783813,14.875
1.793813,14.875
1.803813,14.875
1.813812,14.875
1.823812,29.925
1.833812,29.925
1.843812,29.925
1.853812,29.925
1.863812,29.925
1.873813,44.975
1.883813,44.975
1.893813,59.85
1.903813,74.9
1.913813,74.9
1.923813,74.9
1.933812,89.95
1.943812,105
1.953812,105
1.964813,119.875
1.974813,134.925
1.984812,149.975
1.994812,149.975
2.004812,164.85
2.014812,194.95
2.024812,194.95
2.034812,210
2.044812,210
2.054812,224.875
2.064812,239.925
2.074812,224.875
2.084812,239.925
2.094812,254.975
2.104812,239.925
2.114813,239.925
2.124813,254.975
2.134813,239.925
2.144813,254.975
2.154813,254.975
2.164813,254.975
2.174813,254.975
2.184813,254.975
2.194813,254.975
2.204813,254.975
2.214813,254.975
2.224813,254.975
2.234812,254.975
2.244812,254.975
2.254812,239.925
2.264812,239.925
2.274812,239.925
2.284812,239.925
2.294812,224.875
2.305813,239.925
2.314812,224.875
2.324812,210
2.334812,224.875
2.344812,210
2.354812,210
2.365813,194.95
2.375813,210
2.385813,194.95
2.395813,194.95
2.405813,194.95
2.415812,194.95
2.425812,194.95
2.435812,179.9
2.445812,179.9
2.455812,179.9
2.465812,179.9
2.475812,164.85
2.485812,164.85
2.495812,164.85
2.505812,149.975
2.515812,149.975
2.525812,149.975
2.535813,164.85
2.545813,164.85
2.555813,164.85
2.565813,164.85
2.575813,179.9
2.585813,179.9
2.595813,194.95
2.605813,194.95
2.615813,194.95
2.625813,210
2.635813,210
2.645813,224.875
2.655813,224.875
2.665812,224.875
2.675812,224.875
2.685812,239.925
2.695812,224.875
2.705812,224.875
2.715812,239.925
2.725812,224.875
2.735812,210
2.745812,194.95
2.756813,194.95
2.766813,194.95
2.776813,179.9
2.786813,179.9
2.796813,179.9
2.806813,164.85
2.816813,149.975
2.826813,149.975
2.836812,149.975
2.846812,149.975
2.856812,149.975
2.866812,149.975
2.876812,134.925
2.886812,134.925
2.896812,119.875
2.906812,134.925
2.916812,134.925
2.926812,119.875
2.936812,119.875
2.946812,119.875
2.956812,119.875
2.966813,105
2.976813,119.875
2.986813,89.95
2.996813,105
3.006813,89.95
3.016813,89.95
3.026813,105
3.036813,89.95
3.046813,89.95
3.056813,74.9
3.066813,89.95
3.076813,89.95
3.086812,89.95
3.096812,74.9
3.106812,89.95
3.116812,74.9
3.127812,74.9
3.137813,74.9
