time,DegOfDev
6.978813,1.01
6.998813,1.12
7.018813,1.17
7.038813,1.09
7.058813,1.08
7.078813,1.22
7.098813,1.17
7.118813,1.16
7.138813,1.19
7.158813,1.18
7.178813,1.17
7.198812,1.13
7.218812,1.15
7.238812,1.17
7.258812,1.17
7.278812,1.15
7.298812,1.15
7.318812,1.15
7.338812,1.16
7.358812,1.2
7.378812,1.28
7.398812,1.33
7.418812,1.34
7.438813,1.37
7.458813,1.37
7.478813,1.48
7.498813,1.45
7.518813,1.42
7.538813,1.5
7.558813,1.35
7.578813,1.34
7.598813,1.34
7.618813,1.34
7.638813,1.34
7.658813,1.34
7.678813,1.42
7.698812,1.43
7.718812,1.37
7.738812,1.34
7.758812,1.34
7.778812,1.36
7.798812,1.34
7.818812,1.23
7.838812,1.17
7.858812,1.19
7.878812,1.16
7.898812,1.25
7.918812,1.34
7.938813,1.34
7.958813,1.34
7.978813,1.42
7.998813,1.44
8.018812,1.51
8.038813,1.53
8.058812,1.67
8.078813,1.68
8.098812,1.65
8.118813,1.52
8.138812,1.5
8.158813,1.51
8.178812,1.4
8.198812,1.34
8.218813,1.34
8.238812,1.3
8.258813,1.29
8.278812,1.34
8.298813,1.33
8.318812,1.44
8.338813,1.51
8.358812,1.51
8.378813,1.49
8.398812,1.38
8.418813,1.32
8.438812,1.34
8.458813,1.34
8.478812,1.31
8.498813,1.33
8.518812,1.3
8.538813,1.34
8.558812,1.38
8.578813,1.48
8.598812,1.51
8.618813,1.6
8.638812,1.67
8.658813,1.73
8.678812,1.82
8.698812,1.83
8.718813,1.98
8.738812,2.03
8.758813,2.21
8.778812,2.43
8.798813,2.43
8.818812,2.41
8.838813,2.52
8.858812,2.53
8.878813,2.63
8.898812,2.54
8.918813,2.52
8.938812,2.52
8.958813,2.45
8.978812,2.4
8.998813,2.49
9.018812,2.42
9.038813,2.56
9.058812,2.6
9.078813,2.58
9.098812,2.68
9.118813,2.7
9.138812,2.82
9.158813,3.03
9.178812,3.17
9.198812,3.36
9.218813,3.55
9.238812,3.78
9.258813,4.01
9.278812,4.31
9.298813,4.6
9.318812,4.91
9.338813,5.19
9.358812,5.34
9.378813,5.46
9.398812,5.55
9.418813,5.6
9.438812,5.75
9.458813,5.77
9.478812,5.9
9.498813,6.03
9.518812,6.09
9.538813,6.21
9.558812,6.25
9.578813,6.28
9.598812,6.4
9.618813,6.52
9.638812,6.6
9.658813,6.75
9.678812,6.87
9.698812,7.05
9.718813,7.14
9.738812,7.34
9.758813,7.5
9.778812,7.57
9.798813,7.82
9.818812,7.94
9.838813,8.02
9.858812,8.28
9.878813,8.43
9.898812,8.61
9.918813,8.86
9.938812,9.07
9.958813,9.31
9.978812,9.43
9.998813,9.52
10.01881,9.61
10.03881,9.73
10.05881,9.84
10.07881,9.92
10.09881,10.02
10.11881,10.22
10.13881,10.42
10.15881,10.66
10.17881,10.82
10.19881,10.95
10.21881,11.08
10.23881,11.26
10.25881,11.45
10.27881,11.53
10.29881,11.61
10.31881,11.64
