time,TravelKM
0.00125,178834
0.20125,178834
0.40125,178834
0.60125,178834
0.80125,178834
1.00125,178834
1.20125,178834
1.40125,178834
1.60125,178834
1.80125,178834
2.00125,178834
2.20125,178834
2.40125,178834
2.60125,178834
2.80125,178834
3.00125,178834
3.20125,178834
3.40125,178834
3.60125,178834
3.80125,178834
4.00125,178834
4.20125,178834
4.40125,178834
4.60125,178834
4.80125,178834
5.00125,178834
5.20125,178834
5.40125,178834
5.60125,178834
5.80125,178834
6.00125,178834
6.20125,178834
6.40125,178834
6.60125,178835
6.80125,178835
7.00125,178835
7.20125,178835
7.40125,178835
7.60125,178835
7.80125,178835
8.00125,178835
8.20125,178835
8.40125,178835
8.60125,178835
8.80125,178835
9.00125,178835
9.20125,178835
9.40125,178835
9.60125,178835
9.80125,178835
10.00125,178835
10.20125,178835
10.40125,178835
10.60125,178835
10.80125,178835
11.00125,178835
11.20125,178835
11.40125,178835
11.60125,178835
11.80125,178835
12.00125,178835
12.20125,178835
12.40125,178835
12.60125,178835
12.80125,178835
13.00125,178835
13.20125,178835
13.40125,178835
13.60125,178835
13.80125,178835
14.00125,178835
14.20125,178835
14.40125,178835
14.60125,178835
14.80125,178835
15.00125,178835
15.20125,178835
15.40125,178835
15.60125,178835
15.80125,178835
16.00125,178835
16.20125,178835
16.40125,178835
16.60125,178835
16.80125,178835
17.00125,178835
17.20125,178835
17.40125,178835
17.60125,178835
17.80125,178835
18.00125,178835
18.20125,178835
18.40125,178835
18.60125,178835
18.80125,178835
19.00125,178835
19.20125,178835
19.40125,178835
19.60125,178835
19.80225,178835
20.00125,178835
20.20125,178835
20.40125,178835
20.60125,178835
20.80125,178835
21.00125,178835
21.20125,178835
21.40125,178835
21.60125,178835
21.80125,178835
22.00125,178835
22.20125,178835
22.40125,178835
22.60125,178835
22.80125,178835
23.00025,178835
23.20025,178835
23.40125,178835
23.60125,178835
23.80125,178835
24.00125,178835
24.20125,178835
24.40125,178835
24.60125,178835
24.80125,178835
25.00125,178835
25.20125,178835
25.40125,178835
25.60125,178835
25.80125,178835
26.00125,178835
26.20125,178835
26.40125,178835
26.60125,178835
26.80125,178835
27.00125,178835
27.20125,178835
27.40125,178835
27.60125,178835
27.80125,178835
28.00125,178835
28.20125,178835
28.40125,178835
28.60125,178835
28.80125,178835
29.00125,178835
29.20125,178835
29.40125,178835
29.60125,178835
29.80125,178835
30.00125,178835
30.20125,178835
30.40125,178835
30.60125,178835
30.80125,178835
31.00125,178835
31.20125,178835
31.40125,178835
31.60125,178835
31.80125,178835
32.00125,178835
32.20125,178835
32.40125,178835
32.60125,178835
32.80125,178835
33.00125,178835
33.20125,178835
33.40125,178835
33.60125,178835
33.80025,178835
34.00025,178835
34.20025,178835
34.40125,178835
34.60025,178835
34.80125,178835
35.00025,178835
35.20125,178835
35.40125,178835
35.60125,178835
35.80125,178835
36.00125,178835
36.20125,178835
36.40125,178835
36.60125,178835
36.80025,178835
37.00025,178835
37.20025,178835
37.40125,178835
37.60025,178835
37.80025,178835
38.00025,178835
38.20025,178835
38.40125,178835
38.60025,178835
38.80025,178835
39.00025,178835
39.20025,178835
39.40025,178835
39.60025,178835
39.80025,178835
40.00025,178835
40.20025,178835
40.40025,178835
40.60025,178835
40.80125,178835
41.00025,178835
41.20125,178835
41.40125,178835
41.60025,178835
41.80025,178835
42.00025,178835
42.20125,178835
42.40025,178835
42.60025,178835
42.80025,178835
43.00025,178835
43.20025,178835
43.40025,178835
43.60125,178835
43.80125,178835
44.00025,178835
44.20125,178835
44.40125,178835
44.60125,178835
44.80025,178835
45.00025,178835
45.20025,178835
45.40025,178835
45.60025,178835
45.80025,178835
46.00025,178835
46.20025,178835
46.40025,178835
46.60025,178835
46.80125,178835
47.00125,178835
47.20025,178835
47.40025,178835
47.60125,178835
47.80025,178835
48.00025,178835
48.20025,178835
48.40025,178835
48.60025,178835
48.80025,178835
49.00025,178835
49.20025,178835
49.40025,178835
49.60025,178835
49.80025,178835
50.00125,178835
50.20125,178835
50.40125,178835
50.60125,178835
50.80025,178835
51.00025,178835
51.20025,178835
51.40025,178835
51.60025,178835
51.80025,178835
52.00025,178835
52.20025,178835
52.40025,178835
52.60025,178835
52.80025,178835
53.00025,178835
53.20025,178835
53.40025,178835
53.60025,178835
53.80025,178835
54.00025,178835
54.20025,178835
54.40025,178835
54.60025,178835
54.80025,178835
55.00025,178835
55.20025,178835
55.40025,178835
55.60025,178835
55.80025,178835
56.00025,178835
56.20025,178835
56.40025,178835
56.60025,178835
56.80025,178835
57.00025,178835
57.20025,178835
57.40125,178835
57.60025,178835
57.80025,178835
58.00025,178835
58.20025,178835
58.40025,178835
58.60025,178835
58.80025,178835
59.00025,178835
59.20025,178835
59.40025,178835
59.60025,178835
59.80025,178835
60.00025,178835
60.20025,178835
60.40025,178835
60.60025,178835
60.80025,178835
61.00025,178835
61.20025,178835
61.40025,178835
61.60025,178835
61.80025,178835
62.00025,178835
62.20025,178835
62.40025,178835
62.60025,178835
62.80025,178835
63.00025,178835
63.20125,178835
63.40025,178835
63.60025,178835
63.80025,178835
64.00025,178835
64.20025,178835
64.40025,178835
64.60025,178835
64.80025,178835
65.00025,178835
65.20025,178835
65.40025,178835
65.60025,178835
65.80025,178835
66.00025,178835
66.20025,178835
66.40025,178835
66.60025,178835
66.80025,178835
67.00025,178835
67.20025,178835
67.40025,178835
67.60025,178835
67.80025,178835
68.00025,178835
68.20025,178835
68.40025,178835
68.60025,178835
68.80025,178835
69.00025,178835
69.20025,178835
69.40025,178835
69.60025,178835
69.80025,178835
70.00025,178835
70.20025,178835
70.40025,178835
70.60025,178835
70.80025,178835
71.00025,178835
71.20025,178835
71.40025,178835
71.60025,178835
71.80025,178835
72.00025,178835
72.20025,178835
72.40025,178835
72.60025,178835
72.80025,178835
73.00025,178835
73.20025,178835
73.40025,178835
73.60025,178835
73.80025,178835
74.00025,178835
74.20025,178835
74.40025,178835
74.60025,178835
74.80025,178835
75.00025,178835
75.20025,178835
75.40025,178835
75.60025,178835
75.80025,178835
76.00025,178835
76.20025,178835
76.40025,178835
76.60025,178835
76.80025,178835
77.00025,178835
77.20025,178835
77.40025,178835
77.60025,178835
77.80025,178835
78.00025,178835
78.20025,178835
78.40025,178835
78.60025,178835
78.80025,178835
79.00025,178835
79.20025,178835
79.40025,178835
79.60025,178835
79.80025,178835
80.00025,178835
80.20025,178835
80.40025,178835
80.60025,178835
80.80025,178835
81.00025,178835
81.20025,178835
81.40025,178835
81.60025,178835
81.80025,178835
82.00025,178835
82.20025,178835
82.40025,178835
82.60025,178835
82.80025,178835
83.00025,178835
83.20025,178835
83.40025,178835
83.60025,178835
83.80025,178835
84.00025,178835
84.20025,178835
84.40025,178835
84.60025,178835
84.80025,178835
85.00025,178835
85.20025,178835
85.40025,178835
85.60025,178835
85.80025,178835
86.00025,178835
86.20025,178835
86.40025,178835
86.60025,178835
86.80025,178835
87.00025,178835
87.20025,178835
87.40025,178835
87.60025,178835
87.80025,178835
88.00025,178835
88.20025,178835
88.40025,178835
88.60025,178835
88.80025,178835
89.00025,178835
89.20025,178835
89.40025,178835
89.60025,178835
89.80025,178835
90.00025,178835
90.20025,178835
90.40025,178835
90.60025,178835
90.80025,178835
91.00025,178835
91.20025,178835
91.40025,178835
91.60025,178835
91.80025,178835
92.00025,178835
92.20025,178835
92.40025,178835
92.60025,178835
92.80025,178835
92.99925,178835
93.20025,178835
93.40025,178835
93.59925,178835
93.79925,178835
94.00025,178835
94.19925,178835
94.40025,178835
94.59925,178835
94.79925,178835
94.99925,178835
95.19925,178835
95.39925,178835
95.60025,178835
95.79925,178835
95.99925,178835
96.20025,178835
96.40025,178835
96.60025,178835
96.80025,178835
96.99925,178835
97.19925,178835
97.39925,178835
97.59925,178835
97.79925,178835
98.00025,178835
98.19925,178835
98.39925,178835
98.59925,178835
98.79925,178835
98.99925,178835
99.19925,178835
99.39925,178835
99.59925,178835
99.79925,178835
99.99925,178835
100.1992,178835
100.3992,178835
100.5993,178835
100.7992,178835
101.0003,178835
101.1992,178835
101.3992,178835
101.5993,178835
101.8002,178835
101.9993,178835
102.2002,178835
102.3992,178835
102.5993,178835
102.7992,178835
102.9993,178835
103.1992,178835
103.4003,178835
103.5993,178835
103.7992,178835
103.9993,178835
104.1992,178835
104.3992,178835
104.5993,178835
104.7992,178835
104.9993,178835
105.1992,178835
105.3992,178835
105.5993,178835
105.8002,178835
105.9993,178835
106.1992,178835
106.3992,178835
106.5993,178835
106.7992,178835
106.9993,178835
107.1992,178835
107.3992,178835
107.5993,178835
107.7992,178835
107.9993,178835
108.1992,178835
108.3992,178835
108.5993,178835
108.7992,178835
108.9993,178835
109.1992,178835
109.3992,178835
109.6003,178835
109.7992,178835
109.9993,178835
110.1992,178835
110.3992,178835
110.5993,178835
110.7992,178835
110.9993,178835
111.1992,178835
111.4003,178835
111.6003,178835
111.8002,178835
112.0003,178835
112.1992,178835
112.3992,178835
112.5993,178835
112.7992,178835
112.9993,178835
113.1992,178835
113.3992,178835
113.5993,178835
113.7992,178835
113.9993,178835
114.1992,178835
114.3992,178835
114.5993,178835
114.7992,178835
114.9993,178835
115.1992,178835
115.4003,178835
115.5993,178835
115.7992,178835
115.9993,178835
116.1992,178835
116.3992,178835
116.5993,178835
116.7992,178835
116.9993,178835
117.1992,178835
117.3992,178835
117.5993,178835
117.7992,178835
117.9993,178835
118.1992,178835
118.3992,178835
118.5993,178835
118.7992,178835
118.9993,178835
119.1992,178835
119.3992,178835
119.5993,178835
119.7992,178835
119.9993,178835
120.1992,178835
120.3992,178835
120.5993,178835
120.7992,178835
120.9993,178835
121.1992,178835
121.3992,178835
121.5993,178835
121.7992,178835
121.9993,178835
122.1992,178835
122.3992,178835
122.5993,178835
122.7992,178835
122.9993,178835
123.1992,178835
123.3992,178835
123.5993,178835
123.7992,178835
123.9993,178835
124.1992,178835
124.3992,178835
124.5993,178835
124.7992,178835
124.9993,178835
125.1992,178835
125.3992,178835
125.5993,178835
125.7992,178835
125.9993,178835
126.1992,178835
126.3992,178835
126.5993,178835
126.7992,178835
126.9993,178835
127.1992,178835
127.3992,178835
127.5993,178835
127.7992,178835
127.9993,178835
128.1992,178835
128.3992,178835
128.5992,178835
128.7993,178835
128.9993,178835
129.1992,178835
129.3992,178835
129.5992,178835
129.7993,178835
129.9993,178835
130.1992,178835
130.3992,178835
130.5992,178835
130.7993,178835
130.9993,178835
131.1992,178835
131.3992,178835
131.5992,178835
131.7993,178835
131.9993,178835
132.1992,178835
132.3992,178835
132.5992,178835
132.7993,178835
132.9993,178835
133.1992,178835
133.3992,178835
133.5992,178835
133.7993,178835
133.9993,178835
134.1992,178835
134.3992,178835
134.5992,178835
134.7993,178835
134.9993,178835
135.1992,178835
135.3992,178835
135.5992,178835
135.7993,178835
135.9993,178835
136.1992,178835
136.3992,178835
136.5992,178835
136.7993,178835
136.9993,178835
137.1992,178835
137.3992,178835
137.5992,178835
137.7993,178835
137.9993,178835
138.1992,178835
138.3992,178835
138.5992,178835
138.7993,178835
138.9993,178835
139.1992,178835
139.3992,178835
139.5992,178835
139.7993,178835
139.9993,178835
140.1992,178835
140.3992,178835
140.5992,178835
140.7993,178835
140.9993,178835
141.1992,178835
141.3992,178835
141.5992,178835
141.7993,178835
141.9993,178835
142.1992,178835
142.3992,178835
142.5992,178836
142.7993,178836
142.9993,178836
143.1992,178836
143.3992,178836
143.5992,178836
143.7993,178836
143.9993,178836
144.1992,178836
144.3992,178836
144.5992,178836
144.7993,178836
144.9993,178836
145.1992,178836
145.3992,178836
145.5992,178836
145.7993,178836
145.9993,178836
146.1992,178836
146.3992,178836
146.5992,178836
146.7993,178836
146.9993,178836
147.1992,178836
147.3992,178836
147.5992,178836
147.7993,178836
147.9993,178836
148.1992,178836
148.3992,178836
148.5992,178836
148.7993,178836
148.9993,178836
149.1992,178836
149.3992,178836
149.5992,178836
149.7993,178836
149.9993,178836
150.1992,178836
150.3992,178836
150.5992,178836
150.7993,178836
150.9993,178836
151.1992,178836
151.3992,178836
151.5992,178836
151.7993,178836
151.9993,178836
152.1992,178836
152.3992,178836
152.5992,178836
152.7993,178836
152.9993,178836
153.1992,178836
153.3992,178836
153.5992,178836
153.7993,178836
153.9993,178836
154.1992,178836
154.3992,178836
154.5992,178836
154.7993,178836
154.9993,178836
155.1992,178836
155.3992,178836
155.5992,178836
155.7993,178836
155.9993,178836
156.1992,178836
156.3992,178836
156.5992,178836
156.7993,178836
156.9993,178836
157.1992,178836
157.3992,178836
157.5992,178836
157.7993,178836
157.9993,178836
158.1992,178836
158.3992,178836
158.5992,178836
158.7993,178836
158.9993,178836
159.1992,178836
159.3992,178836
159.5992,178836
159.7993,178836
159.9993,178836
160.1992,178836
160.3992,178836
160.5992,178836
160.7993,178836
160.9993,178836
161.1992,178836
161.3992,178836
161.5992,178836
161.7993,178836
161.9982,178836
162.1992,178836
162.3983,178836
162.5983,178836
162.7982,178836
162.9982,178836
163.1992,178836
163.3983,178836
163.5992,178836
163.7993,178836
163.9993,178836
164.1992,178836
164.3992,178836
164.5983,178836
164.7982,178836
164.9982,178836
165.1983,178836
165.3983,178836
165.5992,178836
165.7982,178836
165.9993,178836
166.1992,178836
166.3992,178836
166.5992,178836
166.7993,178836
166.9993,178836
167.1992,178836
167.3992,178836
167.5992,178836
167.7982,178836
167.9982,178836
168.1983,178836
168.3983,178836
168.5983,178836
168.7982,178836
168.9982,178836
169.1983,178836
169.3983,178836
169.5992,178836
169.7993,178836
169.9993,178836
170.1983,178836
170.3983,178836
170.5983,178836
170.7982,178836
170.9982,178836
171.1983,178836
171.3983,178836
171.5992,178836
171.7982,178836
171.9982,178836
172.1983,178836
172.3983,178836
172.5992,178836
172.7982,178836
172.9982,178836
173.1983,178836
173.3983,178836
173.5983,178836
173.7982,178836
173.9982,178836
174.1983,178836
174.3983,178836
174.5983,178836
174.7982,178836
174.9982,178836
