time,FuelTank
0.0018125,52
0.0228125,52
0.0428125,52
0.0618125,52
0.0818125,52
0.1018125,52
0.1228125,52
0.1428125,52
0.1618125,52
0.1818125,52
0.2018125,52
0.2228125,52
0.2418125,52
0.2618125,52
0.2818125,52
0.3018125,52
0.3218125,52
0.3428125,52
0.3618125,52
0.3818125,52
0.4018125,52
0.4218125,52
0.4428125,52
0.4618125,52
0.4818125,52
0.5018125,52
0.5218125,52
0.5418125,52
0.5618125,52
0.5818125,52
0.6018125,52
0.6228125,52
0.6428125,52
0.6618125,52
0.6818125,52
0.7018125,52
0.7228125,52
0.7428125,52
0.7618125,52
0.7818125,52
0.8018125,52
0.8228125,52
0.8428125,52
0.8618125,52
0.8818125,52
0.9018125,52
0.9228125,52
0.9428125,52
0.9618125,52
0.9818125,52
1.001812,52
1.022812,52
1.041813,52
1.061813,52
1.081813,52
1.102813,52
1.122813,52
1.142812,52
1.161813,52
1.181813,52
1.201813,52
1.222813,52
1.241812,52
1.261812,52
1.281813,52
1.301813,52
1.322813,52
1.342813,52
1.361812,52
1.381812,52
1.401813,52
1.422812,52
1.442812,52
1.461812,52
1.481812,52
1.501812,52
1.522812,52
1.542812,52
1.561813,52
1.581813,52
1.601812,52
1.622813,52
1.642812,52
1.661813,52
1.681813,52
1.701813,52
1.722813,52
1.742813,52
1.761812,52
1.781813,52
1.801813,52
1.822813,52
1.841812,52
1.861812,52
1.881812,52
1.901813,52
1.922812,52
1.941813,52
1.961812,52
1.981812,52
2.001812,52
2.021812,52
2.041812,52
2.061812,52
2.081812,52
2.101813,52
2.122813,52
2.142812,52
2.161813,52
2.181813,52
2.201813,52
2.222812,52
2.242812,52
2.261812,52
2.281812,52
2.301812,52
2.322813,52
2.342813,52
2.361813,52
2.381813,52
2.401813,52
2.422812,52
2.442812,52
2.461812,52
2.481812,52
2.501812,52
2.522813,52
2.542813,52
2.561812,52
2.581812,52
2.601813,52
2.622813,52
2.641813,52
2.661813,52
2.681813,52
2.701813,52
2.721812,52
2.741812,52
2.761812,52
2.781812,52
2.801812,52
2.822813,52
2.841813,52
2.861813,52
2.881813,52
2.901813,52
2.922812,52
2.942812,52
2.961812,52
2.981812,52
3.001812,52
3.021812,52
3.042813,52
3.061812,52
3.081812,52
3.101813,52
3.122813,52
3.142812,52
3.161813,52
3.181813,52
