time,OutsTemp
0.00109375,18.5
0.2010937,18.5
0.4010938,18.5
0.6010938,18.5
0.8010938,18.5
1.001094,18.5
1.201094,18.5
1.401094,18.5
1.601094,18.5
1.801094,18.5
2.001094,18.5
2.201094,18.5
2.401094,18.5
2.601094,18.5
2.801094,18.5
3.001094,18.5
3.201094,18.5
3.401094,18.5
3.601094,18.5
3.801094,18.5
4.001094,18.5
4.201094,18.5
4.401094,18.5
4.601094,18.5
4.801094,18.5
5.001094,18.5
5.201094,18.5
5.401094,18.5
5.601094,18.5
5.801094,18.5
6.001094,18.5
6.201094,18.5
6.401094,18.5
6.601094,18.5
6.801094,18.5
7.001094,18.5
7.201094,18.5
7.401094,18.5
7.601094,18.5
7.801094,18.5
8.001094,18.5
8.201094,18.5
8.401093,18.5
8.601093,18.5
8.801094,18.5
9.001094,18.5
9.201094,18.5
9.401093,18.5
9.601093,18.5
9.801094,18.5
10.00109,18.5
10.20109,18.5
10.40109,18.5
10.60109,18.5
10.80109,18.5
11.00109,18.5
11.20109,18.5
11.40109,18.5
11.60109,18.5
11.80109,18.5
12.00109,18.5
12.20109,18.5
12.40109,18.5
12.60109,18.5
12.80109,18.5
13.00109,18.5
13.20109,18.5
13.40109,18.5
13.60109,18.5
13.80109,18.5
14.00109,18.5
14.20109,18.5
14.40109,18.5
14.60109,18.5
14.80109,18.5
15.00109,18.5
15.20109,18.5
15.40109,18.5
15.60109,18.5
15.80109,18.5
16.00109,18.5
16.20109,18.5
16.40109,18.5
16.60109,18.5
16.80109,18.5
17.00109,18.5
17.20109,18.5
17.40109,18.5
17.60109,18.5
17.80109,18.5
18.00009,18.5
18.20009,18.5
18.40009,18.5
18.60009,18.5
18.80009,18.5
19.00009,18.5
19.20009,18.5
19.40009,18.5
19.60009,18.5
19.80109,18.5
20.00109,18.5
20.20109,18.5
20.40109,18.5
20.60109,18.5
20.80009,18.5
21.00009,18.5
21.20009,18.5
21.40009,18.5
21.60009,18.5
21.80009,18.5
22.00009,18.5
22.20009,18.5
22.40009,18.5
22.60009,18.5
22.80009,18.5
23.00109,18.5
23.20109,18.5
23.40009,18.5
23.60009,18.5
23.80009,18.5
24.00109,18.5
24.20109,18.5
24.40109,18.5
