time,OperTime
-0.00128125,25144
0.1987188,25144
0.3987187,25144
0.5987188,25144
0.7987188,25144
0.9987187,25144
1.198719,25144
1.398719,25144
1.598719,25144
1.798719,25144
1.998719,25144
2.198719,25144
2.398719,25144
2.598719,25144
2.798719,25144
2.998719,25144
3.198719,25144
3.398719,25144
3.598719,25144
3.798719,25144
3.998719,25144
4.198719,25144
4.398719,25144
4.598719,25144
4.798719,25144
4.998719,25144
5.198719,25144
5.398719,25144
5.598719,25144
5.798719,25144
5.998719,25144
6.198719,25144
6.398719,25144
6.598719,25144
6.798719,25144
6.998719,25144
7.198719,25144
7.398719,25144
7.598719,25144
7.798719,25144
7.998719,25144
8.198719,25144
8.398719,25144
8.598719,25144
8.798718,25144
8.998719,25144
9.198719,25144
9.398719,25144
9.598719,25144
9.798718,25144
9.998719,25144
10.19872,25144
10.39872,25144
10.59872,25144
10.79872,25144
10.99872,25144
11.19872,25144
11.39872,25144
11.59872,25144
11.79872,25144
11.99872,25144
12.19872,25144
12.39872,25144
12.59872,25144
12.79872,25144
12.99872,25144
13.19872,25144
13.39872,25144
13.59872,25144
13.79872,25144
13.99872,25144
14.19872,25144
14.39872,25144
14.59872,25144
14.79872,25144
14.99872,25144
15.19872,25144
15.39872,25144
15.59872,25144
15.79872,25144
15.99872,25144
16.19872,25144
16.39872,25144
16.59872,25144
16.79872,25144
16.99872,25144
17.19872,25144
17.39872,25144
17.59872,25144
17.79872,25144
17.99872,25144
18.19872,25144
18.39872,25144
18.59872,25144
18.79872,25144
18.99872,25144
19.19872,25144
19.39872,25144
19.59872,25144
19.79872,25144
19.99872,25144
20.19872,25144
20.39872,25144
20.59872,25144
20.79872,25144
20.99872,25144
21.19872,25144
21.39872,25144
21.59772,25144
21.79872,25144
21.99872,25144
22.19872,25144
22.39872,25144
22.59872,25144
22.79872,25144
22.99872,25144
23.19872,25144
23.39872,25144
23.59872,25144
23.79872,25144
23.99872,25144
24.19872,25144
24.39872,25144
24.59872,25144
24.79872,25144
24.99872,25144
25.19772,25144
25.39872,25144
25.59872,25144
25.79872,25144
25.99872,25144
26.19872,25144
26.39872,25144
26.59872,25144
26.79872,25144
26.99872,25144
27.19872,25144
27.39872,25144
27.59872,25144
27.79872,25144
27.99872,25144
28.19872,25144
28.39872,25144
28.59872,25144
28.79872,25144
28.99872,25144
29.19872,25144
29.39872,25144
29.59872,25144
29.79872,25144
29.99872,25144
30.19872,25144
30.39872,25144
30.59872,25144
30.79872,25144
30.99872,25144
31.19872,25144
31.39872,25144
31.59872,25144
31.79872,25144
31.99872,25144
32.19872,25144
32.39872,25144
32.59872,25144
