time,FuelTank
0.0006875,52
0.0206875,52
0.0406875,52
0.0606875,52
0.0806875,52
0.1006875,52
0.1206875,52
0.1406875,52
0.1606875,52
0.1806875,52
0.2006875,52
0.2206875,52
0.2406875,52
0.2606875,52
0.2806875,52
0.3006875,52
0.3206875,52
0.3406875,52
0.3606875,52
0.3806875,52
0.4006875,52
0.4206875,52
0.4406875,52
0.4606875,52
0.4806875,52
0.5006875,52
0.5206875,52
0.5406875,52
0.5606875,52
0.5806875,52
0.6006875,52
0.6206875,52
0.6406875,52
0.6606875,52
0.6806875,52
0.7006875,52
0.7206875,52
0.7406875,52
0.7606875,52
0.7806875,52
0.8006875,52
0.8206875,52
0.8406875,52
0.8606875,52
0.8806875,52
0.9006875,52
0.9206875,52
0.9406875,52
0.9606875,52
0.9816875,52
1.000687,52
1.020687,52
1.040687,52
1.060688,52
1.081687,52
1.100688,52
1.120687,52
1.140687,52
1.160687,52
1.180688,52
1.200688,52
1.220688,52
1.240687,52
1.260687,52
1.280687,52
1.300688,52
1.320688,52
1.341687,52
1.360687,52
1.380687,52
1.400687,52
1.420688,52
1.440688,52
1.460688,52
1.480687,52
1.500687,52
1.520687,52
1.540687,52
1.560688,52
1.580688,52
1.600688,52
1.620687,52
1.640687,52
1.660687,52
1.680688,52
1.700688,52
1.720688,52
1.740687,52
1.760687,52
1.780687,52
1.800688,52
1.820688,52
1.840688,52
1.860687,52
1.880687,52
1.900687,52
1.920688,52
1.940688,52
1.960688,52
1.980687,52
2.000688,52
2.020688,52
2.040688,52
2.060688,52
2.080688,52
2.100688,52
2.120687,52
2.140687,52
2.160687,52
2.181688,52
2.200687,52
2.220687,52
2.240688,52
2.260688,52
2.280688,52
2.300688,52
2.320688,52
2.340688,52
2.360687,52
2.380687,52
2.400687,52
2.420687,52
2.440687,52
2.460687,52
2.480688,52
2.500688,52
2.520688,52
2.540688,52
2.560688,52
2.580688,52
2.600688,52
2.620687,52
2.640687,52
2.660687,52
2.681688,52
2.700687,52
2.720687,52
2.740688,52
2.760688,52
2.781687,52
2.800688,52
2.820688,52
2.840688,52
2.860687,52
2.880687,52
2.900687,52
2.920687,52
2.940687,52
2.960687,52
2.980688,52
3.000688,52
3.020688,52
3.040688,52
3.060688,52
3.080688,52
3.100688,52
3.120687,52
3.140687,52
3.160687,52
3.180687,52
3.200687,52
3.220687,52
3.240688,52
3.260688,52
3.280688,52
3.300688,52
3.320688,52
3.340688,52
3.360687,52
3.380687,52
3.400687,52
3.420687,52
3.440687,52
3.460687,52
3.480688,52
3.500688,52
3.520688,52
3.540688,52
3.560688,52
3.580688,52
3.600688,52
3.620687,52
3.640687,52
3.660687,52
3.680687,52
3.700687,52
3.720687,52
3.740688,52
3.760688,52
3.780688,52
3.800688,52
3.820688,52
3.840688,52
3.860687,52
3.880687,52
3.900687,52
3.920687,52
3.940687,52
3.960687,52
3.980688,52
4.000688,52
4.020688,52
4.040688,52
4.060688,52
4.080688,52
4.100688,52
4.120687,52
4.140687,52
4.160687,52
4.180687,52
4.200687,52
4.220687,52
4.240687,52
4.260687,52
4.280687,52
4.300687,52
4.320687,52
4.340687,52
4.360688,52
4.380688,52
4.400688,52
4.420688,52
4.440688,52
4.460688,52
4.480688,52
4.500688,52
4.520688,52
4.540688,52
4.560688,52
4.580688,52
4.600688,52
4.620687,52
4.640687,52
4.660687,52
4.680687,52
4.700687,52
4.720687,52
4.740687,52
4.760687,52
4.780687,52
4.800687,52
4.820687,52
4.840687,52
4.860688,52
4.880688,52
4.900688,52
4.920688,52
4.940688,52
4.960688,52
4.980688,52
5.000688,52
5.020688,52
5.040688,52
5.060688,52
5.080688,52
5.100688,52
5.120687,52
5.140687,52
5.160687,52
5.180687,52
5.200687,52
5.220687,52
5.240687,52
5.260687,52
5.280687,52
5.300687,52
5.320687,52
5.340687,52
5.360688,52
5.380688,52
5.400688,52
5.420688,52
5.440688,52
5.460688,52
5.481688,52
5.500688,52
5.520688,52
5.540688,52
5.560688,52
5.580688,52
5.600688,52
5.620687,52
5.640687,52
5.660687,52
5.680687,52
5.700687,52
5.720687,52
5.740687,52
5.760687,52
5.781688,52
5.800687,52
5.820687,52
5.840687,52
5.860688,52
5.880688,52
5.900688,52
5.920688,52
5.940688,52
5.960688,52
5.980688,52
6.000688,52
6.020688,52
6.040688,52
6.060688,52
6.080688,52
6.100688,52
6.120687,52
6.140687,52
6.160687,52
6.180687,52
6.200687,52
6.220687,52
6.240687,52
6.260687,52
6.280687,52
6.300687,52
6.320687,52
6.340687,52
6.360688,52
6.380688,52
6.400688,52
6.420688,52
6.440688,52
6.460688,52
6.480688,52
6.500688,52
6.520688,52
6.540688,52
6.560688,52
6.581687,52
6.600688,52
6.620687,52
6.640687,52
6.660687,52
6.680687,52
6.700687,52
6.720687,52
6.740687,52
6.760687,52
6.780687,52
6.800687,52
6.820687,52
6.840687,52
6.860688,52
6.880688,52
6.900688,52
6.920688,52
6.940688,52
6.960688,52
6.981688,52
7.000688,52
7.020688,52
7.040688,52
7.060688,52
7.080688,52
7.100688,52
7.120687,52
7.140687,52
7.160687,52
7.180687,52
7.200687,52
7.220687,52
7.240687,52
7.260687,52
7.280687,52
7.300687,52
7.320687,52
7.340687,52
7.360688,52
7.380688,52
7.400688,52
7.420688,52
7.440688,52
7.460688,52
7.480688,52
7.500688,52
7.520688,52
7.540688,52
7.560688,52
7.580688,52
7.600688,52
7.620687,52
7.640687,52
7.660687,52
7.680687,52
7.700687,52
7.720687,52
7.740687,52
7.760687,52
7.781688,52
7.800687,52
7.820687,52
7.840687,52
7.860688,52
7.880688,52
7.900688,52
7.920688,52
7.940688,52
7.960688,52
7.980688,52
8.000688,52
8.020687,52
8.040688,52
8.060687,52
8.080688,52
8.100687,52
8.120687,52
8.140688,52
8.160687,52
8.180688,52
8.200687,52
8.220688,52
8.240687,52
8.260688,52
8.280687,52
8.300688,52
8.320687,52
8.340688,52
8.360687,52
8.380688,52
8.400687,52
8.420688,52
8.440687,52
8.460688,52
8.480687,52
8.500688,52
8.520687,52
8.540688,52
8.560687,52
8.580688,52
8.600687,52
8.620687,52
8.640688,52
8.660687,52
8.680688,52
8.700687,52
8.720688,52
8.740687,52
8.760688,52
8.780687,52
8.800688,52
8.820687,52
8.840688,52
8.860687,52
8.880688,52
8.900687,52
8.920688,52
8.940687,52
8.960688,52
8.980687,52
9.000688,52
9.020687,52
9.040688,52
9.060687,52
9.081688,52
9.100687,52
9.120687,52
9.140688,52
9.160687,52
9.180688,52
9.200687,52
9.220688,52
9.240687,52
9.260688,52
9.280687,52
9.300688,52
9.320687,52
9.340688,52
9.360687,52
9.380688,52
9.400687,52
9.420688,52
9.440687,52
9.460688,52
9.480687,52
9.500688,52
9.520687,52
9.540688,52
9.560687,52
9.580688,52
9.600687,52
9.620687,52
9.640688,52
9.660687,52
9.680688,52
9.700687,52
9.720688,52
9.740687,52
9.760688,52
9.780687,52
9.800688,52
9.820687,52
9.840688,52
9.860687,52
9.880688,52
9.900687,52
9.920688,52
9.940687,52
9.960688,52
9.980687,52
10.00069,52
10.02069,52
10.04069,52
10.06069,52
10.08069,52
10.10069,52
10.12069,52
10.14069,52
10.16069,52
10.18069,52
10.20069,52
10.22069,52
10.24069,52
10.26069,52
10.28069,52
10.30069,52
10.32069,52
10.34069,52
10.36069,52
10.38069,52
