time,DegOfDev
6.980594,0.67
7.000594,0.73
7.020594,0.8
7.040594,0.72
7.060594,0.77
7.080594,0.81
7.100594,0.68
7.120594,0.67
7.140594,0.71
7.160594,0.73
7.180594,0.69
7.200594,0.67
7.220594,0.67
7.240594,0.73
7.260594,0.71
7.280594,0.68
7.300594,0.67
7.320594,0.71
7.340594,0.67
7.360594,0.71
7.380594,0.67
7.400594,0.74
7.420594,0.7
7.440594,0.67
7.460594,0.69
7.480594,0.67
7.500594,0.69
7.520594,0.67
7.540594,0.67
7.560594,0.67
7.580594,0.67
7.600594,0.67
7.620594,0.67
7.640594,0.73
7.660594,0.68
7.680594,0.72
7.700594,0.69
7.720594,0.79
7.740594,0.69
7.760594,0.67
7.780594,0.67
7.800594,0.67
7.820594,0.67
7.840594,0.67
7.860594,0.67
7.880594,0.67
7.900594,0.77
7.920594,0.78
7.940594,0.69
7.960594,0.71
7.980594,0.74
8.000594,0.75
8.020594,0.81
8.040594,0.71
8.060594,0.68
8.080594,0.68
8.100594,0.76
8.120594,0.71
8.140594,0.71
8.160594,0.67
8.180593,0.73
8.200594,0.68
8.220593,0.75
8.240594,0.69
8.260593,0.67
8.280594,0.67
8.300593,0.67
8.320594,0.67
8.340593,0.81
8.360594,0.82
8.380593,0.7
8.400594,0.7
8.420594,0.68
8.440594,0.71
8.460594,0.71
8.480594,0.67
8.500594,0.67
8.520594,0.68
8.540594,0.67
8.560594,0.67
8.580594,0.67
8.600594,0.77
8.620594,0.77
8.640594,0.67
8.660594,0.73
8.680593,0.69
8.700594,0.71
8.720593,0.77
8.740594,0.73
8.760593,0.75
8.780594,0.69
8.800593,0.69
8.820594,0.67
8.840593,0.67
8.860594,0.67
8.880593,0.82
8.900594,0.73
8.920594,0.77
8.940594,0.77
8.960594,0.82
8.980594,0.71
9.000594,0.67
9.020594,0.78
9.040594,0.71
9.060594,0.67
9.080594,0.69
9.100594,0.67
9.120594,0.73
9.140594,0.73
9.160594,0.74
9.180593,0.74
9.200594,0.7
9.220593,0.69
9.240594,0.74
9.260593,0.75
9.280594,0.71
9.300593,0.71
9.320594,0.76
9.340593,0.69
9.360594,0.67
9.380593,0.67
9.400594,0.67
9.420594,0.67
9.440594,0.67
9.460594,0.67
9.480594,0.75
9.500594,0.69
9.520594,0.67
9.540594,0.78
9.560594,0.8
9.580594,0.7
9.600594,0.67
9.620594,0.67
9.640594,0.69
9.660594,0.67
9.680593,0.73
9.700594,0.69
9.720593,0.68
9.740594,0.68
9.760593,0.67
9.780594,0.73
9.800593,0.75
9.820594,0.69
9.840593,0.71
9.860594,0.73
9.880593,0.67
9.900594,0.69
9.920594,0.67
9.940594,0.67
9.960594,0.76
9.980594,0.73
10.00059,0.73
10.02059,0.69
10.04059,0.73
10.06059,0.7
10.08059,0.67
10.10059,0.71
10.12059,0.68
10.14059,0.75
10.16059,0.63
10.18059,0.78
10.20059,0.77
10.22059,0.83
10.24059,0.75
10.26059,0.71
10.28059,0.76
10.30059,0.69
10.32059,0.67
10.34059,0.7
10.36059,0.69
10.38059,0.68
10.40059,0.67
10.42059,0.67
10.44059,0.73
10.46059,0.68
10.48059,0.69
10.50059,0.7
10.52059,0.67
10.54059,0.69
10.56059,0.69
10.58059,0.72
10.60059,0.74
10.62059,0.69
10.64059,0.67
10.66059,0.67
10.68059,0.68
10.70059,0.71
10.72059,0.81
10.74059,0.74
10.76059,0.67
10.78059,0.69
10.80059,0.71
10.82059,0.71
10.84059,0.67
10.86059,0.72
10.88059,0.71
10.90059,0.82
10.92059,0.71
10.94059,0.75
10.96059,0.83
10.98059,0.73
11.00059,0.78
11.02059,0.69
11.04059,0.71
11.06059,0.68
11.08059,0.67
11.10059,0.72
11.12059,0.78
11.14059,0.75
11.16059,0.75
11.18059,0.83
11.20059,0.8
11.22059,0.69
11.24059,0.77
11.26059,0.81
11.28059,0.73
11.30059,0.78
11.32059,0.69
11.34059,0.68
11.36059,0.77
11.38059,0.69
11.40059,0.67
11.42059,0.67
11.44059,0.81
11.46059,0.75
11.48059,0.74
11.50059,0.83
11.52059,0.71
11.54059,0.72
11.56059,0.74
11.58059,0.75
11.60059,0.67
11.62059,0.76
11.64059,0.73
11.66059,0.78
11.68059,0.7
11.70059,0.69
11.72059,0.71
11.74059,0.69
11.76059,0.69
11.78059,0.67
11.80059,0.67
11.82059,0.67
11.84059,0.67
11.86059,0.67
11.88059,0.74
11.90059,0.81
11.92059,0.76
11.94059,0.73
11.96059,0.7
11.98059,0.68
12.00059,0.67
12.02059,0.69
12.04059,0.67
12.06059,0.67
12.08059,0.68
12.10059,0.67
12.12059,0.76
12.14059,0.74
12.16059,0.8
12.18059,0.72
12.20059,0.73
12.22059,0.67
12.24059,0.68
12.26059,0.68
12.28059,0.69
12.30059,0.71
12.32059,0.76
12.34059,0.81
12.36059,0.76
12.38059,0.71
12.40059,0.67
12.42059,0.67
12.44059,0.71
12.46059,0.69
12.48059,0.67
12.50059,0.74
12.52059,0.67
12.54059,0.67
12.56059,0.67
12.58059,0.7
12.60059,0.8
12.62059,0.77
12.64059,0.78
12.66059,0.75
12.68059,0.67
12.70059,0.69
12.72059,0.73
12.74059,0.76
12.76059,0.8
12.78059,0.82
12.80059,0.71
